construct_a,construct_b,n,distance_correlation,distance_correlation_n_used,estimator,p_value,significance_family
MR-001,LIQ-001,3753,0.7152827027740695,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
MR-001,VOL-001,3753,0.6429166798993964,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
MR-001,BRD-001,3573,0.4998455658762739,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
MR-001,COR-001,3712,0.61313306808208,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
MR-001,CRD-001,368,0.630976644496183,368,exact,,nonlinear_descriptive_only
MR-001,FUND-001,3871,0.21857600323613405,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
MR-001,OPT-001,4509,0.560116122629205,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
LIQ-001,VOL-001,3753,0.7830203817729015,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
LIQ-001,BRD-001,3573,0.5905807716797965,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
LIQ-001,COR-001,3712,0.7074103578510602,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
LIQ-001,CRD-001,368,0.5059376111395555,368,exact,,nonlinear_descriptive_only
LIQ-001,FUND-001,3166,0.39141243343796284,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
LIQ-001,OPT-001,3753,0.6533144155393034,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
VOL-001,BRD-001,3573,0.5909192489136256,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
VOL-001,COR-001,3712,0.6929749827297165,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
VOL-001,CRD-001,368,0.524103124279128,368,exact,,nonlinear_descriptive_only
VOL-001,FUND-001,3166,0.35668778318265243,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
VOL-001,OPT-001,3753,0.7215638232039709,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
BRD-001,COR-001,3573,0.5727396397730425,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
BRD-001,CRD-001,367,0.4561574005529011,367,exact,,nonlinear_descriptive_only
BRD-001,FUND-001,2989,0.3406414700111147,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
BRD-001,OPT-001,3573,0.679750984084217,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
COR-001,CRD-001,367,0.6303233164259344,367,exact,,nonlinear_descriptive_only
COR-001,FUND-001,3126,0.366792724978306,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
COR-001,OPT-001,3712,0.6009728795311841,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
CRD-001,FUND-001,262,0.19189204188569997,262,exact,,nonlinear_descriptive_only
CRD-001,OPT-001,524,0.442027898027494,524,exact,,nonlinear_descriptive_only
FUND-001,OPT-001,6459,0.2832911938411515,2000,deterministic_subsample_2000,,nonlinear_descriptive_only
