construct_a,construct_b,n,normalized_mutual_information,estimator,p_value,significance_family
MR-001,LIQ-001,3753,0.15830331556012067,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,VOL-001,3753,0.12963747056763086,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,BRD-001,3573,0.0719221037822099,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,COR-001,3712,0.12426962311834033,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,CRD-001,368,0.21114227568602875,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,FUND-001,3871,0.034421112290312694,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
MR-001,OPT-001,4509,0.10913806520163062,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,VOL-001,3753,0.21299286826129402,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,BRD-001,3573,0.10223303952871667,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,COR-001,3712,0.154685266231041,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,CRD-001,368,0.17774855759573877,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,FUND-001,3166,0.0482153569063835,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
LIQ-001,OPT-001,3753,0.12725271301203386,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
VOL-001,BRD-001,3573,0.1122246685480882,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
VOL-001,COR-001,3712,0.16610151155196257,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
VOL-001,CRD-001,368,0.22442820188516785,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
VOL-001,FUND-001,3166,0.04211573392749458,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
VOL-001,OPT-001,3753,0.17003544712595808,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
BRD-001,COR-001,3573,0.11826335453741423,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
BRD-001,CRD-001,367,0.2368471908081415,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
BRD-001,FUND-001,2989,0.03961929499022973,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
BRD-001,OPT-001,3573,0.14968529878954018,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
COR-001,CRD-001,367,0.28808080158431654,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
COR-001,FUND-001,3126,0.05522900973712589,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
COR-001,OPT-001,3712,0.11519457425687506,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
CRD-001,FUND-001,262,0.08190949247528644,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
CRD-001,OPT-001,524,0.14373062324455654,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
FUND-001,OPT-001,6459,0.024474059594034942,quantile_discretized_normalized_mi,,nonlinear_descriptive_only
