construct_a,construct_b,pearson_statistic,pearson_bh_fdr_significant,pearson_n,spearman_statistic,spearman_bh_fdr_significant,spearman_n,kendall_statistic,kendall_bh_fdr_significant,kendall_n,normalized_mutual_information,distance_correlation,minimum_pairwise_n,max_absolute_association_observed,corrected_linear_rank_significant_families,limited_scope_evidence_label,final_relationship_classification,interpretation_boundary
LIQ-001,VOL-001,0.7982603677578282,True,3753,0.7684279054611346,True,3753,0.5770618757304036,True,3753,0.212992868261294,0.7830203817729015,3753,0.7982603677578282,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
VOL-001,OPT-001,0.766309733160487,True,3753,0.7155220530742061,True,3753,0.5341182633140112,True,3753,0.170035447125958,0.7215638232039709,3753,0.766309733160487,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
LIQ-001,COR-001,0.722439364700374,True,3712,0.6344635114859558,True,3712,0.4573872875607467,True,3712,0.154685266231041,0.7074103578510602,3712,0.722439364700374,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
BRD-001,OPT-001,-0.7207487754570168,True,3573,-0.6625138832562651,True,3573,-0.4815232697389184,True,3573,0.1496852987895401,0.679750984084217,3573,0.7207487754570168,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
VOL-001,COR-001,0.7176884738928488,True,3712,0.6694039728116177,True,3712,0.4903603801373363,True,3712,0.1661015115519625,0.6929749827297165,3712,0.7176884738928488,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,LIQ-001,0.7157496938250598,True,3753,0.6151049834411663,True,3753,0.4384831858523919,True,3753,0.1583033155601206,0.7152827027740695,3753,0.7157496938250598,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
COR-001,CRD-001,0.7137226115201758,True,367,0.4633677153472221,True,367,0.3112073971501318,True,367,0.2880808015843165,0.6303233164259344,367,0.7137226115201758,3,PAIRWISE_HIGH_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
LIQ-001,OPT-001,0.6634743059672209,True,3753,0.6060940813106239,True,3753,0.4353262237402686,True,3753,0.1272527130120338,0.6533144155393034,3753,0.6634743059672209,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,CRD-001,0.6482970706031064,True,368,0.4533472767917995,True,368,0.3187343496983974,True,368,0.2111422756860287,0.630976644496183,368,0.6482970706031064,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
MR-001,VOL-001,0.6312491610414822,True,3753,0.5677343342457397,True,3753,0.3927869143670269,True,3753,0.1296374705676308,0.6429166798993964,3753,0.6429166798993964,3,PAIRWISE_MODERATE_ASSOCIATION_LIMITED_EVIDENCE,INCONCLUSIVE_WITHOUT_INCREMENTAL_OR_MULTIVARIATE_EVIDENCE,"Pairwise association only; no redundancy, orthogonality, complementarity, hierarchy, causal, predictive, or economic claim."
