month,rows,mean_hy_oas,median_hy_oas,max_hy_oas,min_hy_oas,valid_flags
2023-07,1,3.79,3.79,3.79,3.79,0
2023-08,23,3.9030434782608694,3.91,4.02,3.79,0
2023-09,21,3.8823809523809523,3.85,4.09,3.77,0
2023-10,22,4.3554545454545455,4.355,4.53,4.11,0
2023-11,22,3.985909090909091,3.97,4.47,3.8,0
2023-12,21,3.5742857142857143,3.51,3.87,3.32,0
2024-01,23,3.53695652173913,3.54,3.71,3.34,0
2024-02,21,3.3600000000000003,3.35,3.56,3.22,0
2024-03,21,3.179047619047619,3.15,3.32,3.05,0
2024-04,22,3.227272727272727,3.215,3.42,3.1,0
2024-05,23,3.11695652173913,3.11,3.21,3.03,0
2024-06,20,3.1995,3.2,3.29,3.09,0
2024-07,23,3.1552173913043475,3.17,3.27,3.02,12
2024-08,22,3.375,3.3,3.93,3.13,22
2024-09,21,3.258095238095238,3.25,3.46,3.03,21
2024-10,23,2.930434782608696,2.93,3.07,2.8,23
2024-11,21,2.6942857142857144,2.69,2.87,2.6,21
2024-12,22,2.76,2.71,2.94,2.64,22
2025-01,23,2.7291304347826086,2.72,2.92,2.59,23
2025-02,20,2.7085,2.675,2.87,2.62,20
2025-03,21,3.1714285714285713,3.19,3.55,2.88,21
2025-04,22,4.034090909090909,4.02,4.61,3.42,22
2025-05,22,3.355909090909091,3.2800000000000002,3.78,3.09,22
2025-06,21,3.125238095238095,3.12,3.27,2.96,21
2025-07,23,2.889130434782609,2.89,3.0,2.8,23
2025-08,21,2.9057142857142857,2.9,3.13,2.75,21
2025-09,22,2.788181818181818,2.79,2.92,2.69,22
2025-10,23,2.924782608695652,2.94,3.18,2.76,23
2025-11,20,3.089,3.0949999999999998,3.2,2.95,20
2025-12,23,2.8895652173913042,2.89,2.99,2.81,23
2026-01,22,2.7372727272727273,2.74,2.83,2.64,22
2026-02,20,2.9095,2.9,3.1,2.81,20
2026-03,22,3.1872727272727275,3.19,3.46,2.97,22
2026-04,22,2.9254545454545453,2.86,3.17,2.82,22
2026-05,21,2.7752380952380955,2.78,2.86,2.71,21
2026-06,22,2.731818181818182,2.745,2.83,2.63,22
2026-07,19,2.7210526315789476,2.71,2.81,2.67,19
