year,rows,raw_valid,ok_valid,mean_spread,max_spread,mean_zscore,max_zscore
1954,260,0,0,,,,
1955,260,0,0,,,,
1956,261,0,0,,,,
1957,261,0,0,,,,
1958,261,0,0,,,,
1959,261,0,0,,,,
1960,261,0,0,,,,
1961,260,0,0,,,,
1962,261,0,0,,,,
1963,261,0,0,,,,
1964,262,0,0,,,,
1965,261,0,0,,,,
1966,260,0,0,,,,
1967,260,0,0,,,,
1968,262,0,0,,,,
1969,261,0,0,,,,
1970,261,0,0,,,,
1971,261,0,0,,,,
1972,260,0,0,,,,
1973,261,0,0,,,,
1974,261,0,0,,,,
1975,261,0,0,,,,
1976,262,0,0,,,,
1977,260,0,0,,,,
1978,260,0,0,,,,
1979,261,0,0,,,,
1980,262,0,0,,,,
1981,261,0,0,,,,
1982,261,0,0,,,,
1983,260,0,0,,,,
1984,261,0,0,,,,
1985,261,0,0,,,,
1986,261,0,0,,,,
1987,261,0,0,,,,
1988,261,0,0,,,,
1989,260,0,0,,,,
1990,261,0,0,,,,
1991,261,0,0,,,,
1992,262,0,0,,,,
1993,261,0,0,,,,
1994,260,0,0,,,,
1995,260,0,0,,,,
1996,262,0,0,,,,
1997,261,250,0,0.45547999999999994,0.7999999999999998,,
1998,261,250,249,0.5964400000000001,1.48,0.6845958992370558,6.314346600936256
1999,261,251,251,0.5768525896414343,1.2700000000000005,-0.0384235685789046,3.0973808310657134
2000,260,251,251,0.5114741035856574,1.17,-0.35048952083446666,2.898302337446581
2001,261,247,247,0.2465587044534413,0.8400000000000003,-0.9492793723865941,1.6095368048324996
2002,261,250,250,0.09847999999999998,0.29,-0.10656787694777774,5.020633087654424
2003,261,250,250,0.11924,0.22,0.36657142518017916,3.048109796114257
2004,262,249,249,0.14698795180722887,0.31,0.3411373671139416,4.596541154415526
2005,260,250,250,0.29403999999999997,0.5799999999999996,1.2251643824854834,3.576984110686037
2006,260,250,250,0.33888,0.5499999999999998,0.14658683285507135,2.427214836273724
2007,261,250,250,0.7718800000000001,2.1500000000000004,1.1064692266349456,8.287387740726572
2008,262,217,217,1.2735483870967743,3.73,0.4156982249998479,4.887949143339571
2009,261,240,240,0.25016666666666665,2.0,-0.9104474101005311,1.1959429145614315
2010,261,249,249,0.15429718875502005,0.4099999999999999,0.10328329076174797,4.034211189791071
2011,260,249,249,0.15718875502008028,0.35,0.3846727803253726,4.985043116903328
2012,261,246,246,0.11516260162601624,0.4399999999999999,-0.5134742081995621,4.7616677932759695
2013,261,250,250,0.08291999999999998,0.24,-0.27133946171535256,2.560285296537653
2014,261,250,250,0.09207999999999998,0.16,0.48342741818354934,3.28931097993529
2015,261,248,248,0.1775,0.41,1.5048146019893083,4.573587722819297
2016,261,248,248,0.32806451612903226,0.64,0.9542006130708015,5.4078098157919
2017,260,244,244,0.21967213114754097,0.4599999999999999,-0.7715926338205088,1.4261302371415323
2018,261,246,246,0.24865853658536585,0.5900000000000001,0.2610402693532604,4.3022790628129615
2019,261,243,243,0.14539094650205758,0.3500000000000001,-0.2591597234237062,2.265568879536105
2020,262,164,164,0.15859756097560973,2.57,0.14521779113029645,10.399094215922464
2021,261,212,212,0.06985849056603771,0.1599999999999999,0.05209060022702606,3.2647926091173263
2022,260,197,197,0.20532994923857867,1.11,0.8548244617454893,12.706965531627324
2023,260,136,136,0.11330882352941174,0.4100000000000001,-0.3678047566183636,1.2450391041082665
2024,262,115,115,0.08391304347826081,0.2699999999999996,-0.233291943903102,1.8492407419633528
2025,261,139,139,0.09525179856115099,0.2700000000000004,0.002864555108407538,2.7889714295857946
2026,148,73,73,0.09917808219178081,0.29,0.041322668098832685,3.183674333866575
