state,duration_days
STRESS,13
EXPANSION,12
STRESS,30
EXPANSION,33
STRESS,2
EXPANSION,8
STRESS,280
EXPANSION,62
STRESS,22
EXPANSION,45
STRESS,9
EXPANSION,52
STRESS,71
EXPANSION,13
STRESS,5
EXPANSION,226
STRESS,107
EXPANSION,117
STRESS,7
EXPANSION,788
STRESS,32
EXPANSION,52
STRESS,49
EXPANSION,80
STRESS,12
EXPANSION,393
STRESS,24
EXPANSION,9
STRESS,23
EXPANSION,117
STRESS,72
EXPANSION,137
STRESS,19
EXPANSION,115
STRESS,99
EXPANSION,36
STRESS,32
EXPANSION,4
STRESS,22
EXPANSION,266
STRESS,7
EXPANSION,22
STRESS,49
EXPANSION,8
STRESS,72
EXPANSION,12
STRESS,98
EXPANSION,391
STRESS,18
EXPANSION,131
STRESS,47
EXPANSION,159
