feature,bucket,count,pct_ok
opt001_percentile_252d,0-10,1635,0.18190921228304405
opt001_percentile_252d,10-20,944,0.105028927458834
opt001_percentile_252d,20-30,788,0.08767245215843347
opt001_percentile_252d,30-40,779,0.08667111704494881
opt001_percentile_252d,40-50,717,0.07977303070761015
opt001_percentile_252d,50-60,747,0.08311081441922563
opt001_percentile_252d,60-70,729,0.08110814419225634
opt001_percentile_252d,70-80,773,0.08600356030262572
opt001_percentile_252d,80-90,733,0.08155318202047174
opt001_percentile_252d,90-100,1143,0.12716955941255007
opt001_zscore_252d,<=-2,40,0.004450378282153983
opt001_zscore_252d,-2_to_-1,1878,0.2089452603471295
opt001_zscore_252d,-1_to_0,3557,0.39574988874054295
opt001_zscore_252d,0_to_1,1940,0.21584334668446817
opt001_zscore_252d,1_to_2,965,0.10736537605696485
opt001_zscore_252d,>=2,608,0.06764574988874054
