metric,value,population
total_rows,9541,all_rows
date_start,1990-01-02,all_rows
date_end,2026-07-28,all_rows
raw_valid_observations,9239,raw_valid
raw_valid_start,1990-01-02,raw_valid
raw_valid_end,2026-07-28,raw_valid
ok_observations,8988,normalized_ok
ok_start,1990-12-28,normalized_ok
ok_end,2026-07-28,normalized_ok
opt001_vix_close_count,9239,opt001_vix_close
opt001_vix_close_mean,19.442655049247755,opt001_vix_close
opt001_vix_close_median,17.61,opt001_vix_close
opt001_vix_close_std,7.730073692478604,opt001_vix_close
opt001_vix_close_min,9.14,opt001_vix_close
opt001_vix_close_p01,10.16,opt001_vix_close
opt001_vix_close_p05,11.439,opt001_vix_close
opt001_vix_close_p25,13.98,opt001_vix_close
opt001_vix_close_p75,22.705,opt001_vix_close
opt001_vix_close_p95,32.94,opt001_vix_close
opt001_vix_close_p99,46.71240000000002,opt001_vix_close
opt001_vix_close_max,82.69,opt001_vix_close
opt001_zscore_252d_count,8988,opt001_zscore_252d
opt001_zscore_252d_mean,-0.039537383186502566,opt001_zscore_252d
opt001_zscore_252d_median,-0.32729639872822514,opt001_zscore_252d
opt001_zscore_252d_std,1.2544919396311782,opt001_zscore_252d
opt001_zscore_252d_min,-2.6970731827026726,opt001_zscore_252d
opt001_zscore_252d_p01,-1.8686153367009821,opt001_zscore_252d
opt001_zscore_252d_p05,-1.5089735625902345,opt001_zscore_252d
opt001_zscore_252d_p25,-0.9232218096243123,opt001_zscore_252d
opt001_zscore_252d_p75,0.5707791799018458,opt001_zscore_252d
opt001_zscore_252d_p95,2.2699745705888303,opt001_zscore_252d
opt001_zscore_252d_p99,4.246482883449921,opt001_zscore_252d
opt001_zscore_252d_max,11.851343463475526,opt001_zscore_252d
opt001_percentile_252d_count,8988,opt001_percentile_252d
opt001_percentile_252d_mean,0.46542965576677187,opt001_percentile_252d
opt001_percentile_252d_median,0.4523809523809524,opt001_percentile_252d
opt001_percentile_252d_std,0.3202883091550619,opt001_percentile_252d
opt001_percentile_252d_min,0.0039682539682539,opt001_percentile_252d
opt001_percentile_252d_p01,0.0039682539682539,opt001_percentile_252d
opt001_percentile_252d_p05,0.0158730158730158,opt001_percentile_252d
opt001_percentile_252d_p25,0.1626984126984127,opt001_percentile_252d
opt001_percentile_252d_p75,0.753968253968254,opt001_percentile_252d
opt001_percentile_252d_p95,0.9722222222222222,opt001_percentile_252d
opt001_percentile_252d_p99,1.0,opt001_percentile_252d
opt001_percentile_252d_max,1.0,opt001_percentile_252d
