episode_id,start,end,observations,max_vix,mean_vix,max_zscore,mean_percentile
1,1991-01-09,1991-01-16,6,36.2,33.803333333333335,2.59920736481414,0.9794973544973544
2,1992-04-08,1992-04-08,1,20.15,20.15,1.9750481683886625,0.9563492063492064
3,1992-10-05,1992-10-09,4,21.02,20.372500000000002,2.30282135146512,0.9712301587301586
4,1993-09-21,1993-09-21,1,17.3,17.3,2.106170209365113,0.9563492063492064
5,1993-11-05,1993-11-05,1,14.97,14.97,1.8894588431518773,0.9603174603174603
6,1993-11-16,1993-11-22,4,15.9,15.4025,2.617678425822494,0.9756944444444444
7,1994-02-04,1994-02-04,1,15.25,15.25,1.9169198717095697,0.9662698412698412
8,1994-02-24,1994-03-14,10,16.61,15.929000000000002,2.7157014374886224,0.9849206349206348
9,1994-03-29,1994-04-20,14,23.87,17.85857142857143,6.31969365473935,0.9794501133786849
10,1994-06-24,1994-06-24,1,16.72,16.72,1.83137976132274,0.9523809523809524
11,1994-10-04,1994-10-04,1,16.66,16.66,1.7209796997489684,0.9523809523809524
12,1994-10-24,1994-10-24,1,16.97,16.97,1.7688425411419617,0.9642857142857144
13,1994-11-04,1994-11-07,2,17.37,17.060000000000002,1.88184870384269,0.9662698412698412
14,1994-11-22,1994-11-25,3,18.41,17.69666666666667,2.249774795143785,0.9814814814814814
15,1994-12-08,1994-12-08,1,18.15,18.15,1.9917786976342464,0.984126984126984
16,1995-12-18,1995-12-18,1,14.55,14.55,2.2194158616394977,0.9682539682539684
17,1996-01-09,1996-01-15,4,16.4,15.3225,3.942598721196713,0.9871031746031746
18,1996-02-06,1996-04-11,37,20.7,17.270540540540544,5.477355128585748,0.9823037323037322
19,1996-05-02,1996-05-02,1,18.62,18.62,2.367664837676552,0.9682539682539684
20,1996-06-14,1996-06-14,1,18.64,18.64,2.057024101952665,0.9682539682539684
21,1996-07-15,1996-07-31,10,21.55,20.23,3.0086310966032768,0.9833333333333334
22,1996-09-05,1996-09-05,1,20.51,20.51,2.255865568759279,0.984126984126984
