year,rows,valid_raw_observations,volatility_mean,volatility_median,volatility_p95,zscore_mean,zscore_p95,zscore_max,percentile_mean,percentile_p95
2010,252,251,0.18737446404701943,0.1629765709236971,0.3822373129823677,,,,,
2011,252,252,0.2073572586885357,0.1714483739579273,0.38676035063952546,0.6736109596302331,4.625594638296366,5.844355774844912,0.5990871312759725,1.0
2012,250,250,0.13264213750601755,0.13175378942545596,0.18533731339619097,-0.7253882775180601,-0.1310876652443336,0.1093258264770599,0.2956349206349206,0.581547619047619
2013,252,252,0.10965070389664579,0.10693469206290705,0.16203223321110985,-0.4616651801582592,1.6152783672833575,1.9516058513333463,0.36509511211892165,0.9343253968253967
2014,252,252,0.10680619343384894,0.10097794084042791,0.18382507513571672,0.05605459785376498,3.1920780860930154,4.218974068675531,0.484961577223482,0.9837301587301586
2015,252,252,0.1475871868650906,0.11560986225263445,0.3739372253693359,0.43622087544391197,3.9138432153682214,5.465472478985117,0.6162603930461072,1.0
2016,252,252,0.12943807400486104,0.10467885229855164,0.2629450948122317,-0.3675248082269328,1.4207698696063538,1.5894121196912965,0.37742504409171074,0.9025793650793651
2017,251,251,0.07083946646686233,0.0707740678037088,0.08882117631716854,-0.5464698467244437,1.2858231941425629,2.224061340707704,0.3136817808132549,0.8829365079365079
2018,251,251,0.14151464421742804,0.1241846155822489,0.23886275333427365,0.9254382340333035,4.722156786767629,7.550239413872198,0.6894327452096376,1.0
2019,252,252,0.1282049673162743,0.1152470655550703,0.24285631823869497,-0.2916867208415575,1.3306887122264224,2.4551055209288437,0.4316893424036281,0.9154761904761902
2020,253,253,0.2780935119285065,0.2177155626656661,0.889957926925537,0.6086031175607706,5.076195180423288,7.6305323506088545,0.6241922328878851,1.0
2021,252,252,0.12959222378101978,0.1256595304314913,0.19678865424606312,-0.682997666497279,1.2918103003287986,1.883692847333376,0.27607709750566894,0.876984126984127
2022,251,251,0.22627442036584589,0.2317645631728159,0.2959268375055307,0.9716503121167476,2.913432049491255,3.2364768047003194,0.7383481945234934,1.0
2023,250,250,0.13242244697672167,0.1196903981182493,0.19333751282762107,-1.147704190836226,-0.27851571010955173,-0.1663960957939762,0.1856349206349206,0.5025793650793648
2024,252,252,0.12391143700890019,0.11230642050156694,0.23601033277094616,0.24855273040691203,3.571199225087322,6.070930515316073,0.5264550264550264,0.992063492063492
2025,250,250,0.1635894477915781,0.14312251281553046,0.4317105635707554,0.3150015982790029,3.9869901003052055,5.438371485344738,0.5413492063492064,1.0
