file,sha256
alp003_adapter_spec.md,7d92a9512d915f0294f37ac82b12edf503cf6cb1dfe9e652fff606743bc78c80
alp003_broker_adapter_report.md,adcb43fa77b0d84f98331c0cb3b85fac707c1569346055c6dc38b3fb8552f2c6
alp003_client_order_id_policy.md,7cf4cd48adb5f5371f7d0fa4613091def1f50c6fc30b5a1501e1a69e13b02986
alp003_dry_run_policy.md,981470b3f95db1477c602c4a0d7f135decc78b1f4f4d523f80b9bc30fec40742
alp003_failure_handling.md,f529618ce1069d5b9c8ec3ec147fd604557db00a044c19e76652c10810ecf94c
alp003_final_decision.md,c53e4d07e376888573aa0558758057d587e2e3c90f619a67aa9127f8d5638e59
alp003_idempotency_policy.md,9307facefc06ce1bfa909d63a2472c3379ae65b6737852eaba553d5d13f8c447
alp003_kill_switch_report.md,20c27f89dde89bae02b1637c65aa892d38f629942f283c21afbbc7fb0b82c801
alp003_manifest.json,cec8948acf8e947791a920bbc33b44fe35ee77a0a6dea7cac2d2bfa3c233b534
alp003_market_session_guard.md,35d65749ef81526fae78bb832b53e7b1f192c9e4b68869b868ca02cc28db37d1
alp003_observed_results.json,b0da4f5dc12c052733cc3ea46fc457f0d04ebe77865d90900270f7d63f171b3a
alp003_open_limitations.md,21dd269fe1af3c8646c93f687dda20b684e3475bf65205c9a7f1f5c6799adde9
alp003_order_intent_audit_log.csv,2f777c1e46fb79406ef8406e833914a703af5e46e880f90050b0a88dca904d78
alp003_order_intent_schema.json,8b2c34801eac50998db2b161cbfd30f026f200aabebe108976c2d8db47cd4cb1
alp003_order_lifecycle.md,07cd26b65195b426f6615db2f6d0926282b2a7d2a2a97ccb95782d0beebded80
alp003_order_reconciliation.md,8f63e1bd970ab428c7c23a98e29118de146ce6debbe1fefcda86c3818a77c736
alp003_order_validation_policy.md,04e689bf5b0e36fe9f466cb21727277efa5e01263efd4f8cb31c12ff3f238b30
alp003_position_reconciliation.md,d5a05395423b8786ce7007a6899d5b6f38f3c9f0124c19157c53225972b0de1c
alp003_protocol_incidents.md,3433f6abd3301911f369998e1f378d41e8a01d9a8c9859056644b3d81c80723d
alp003_security_review.md,6c1e96fff9f2a81fe3662df1113d2684763cd9523688900ad470f07b85a27baa
alp003_test_results.csv,d39beb9c7f656601623397ab2829bafb8262ff78e0d786b87747277e9a29fc8f
