artifact_label,relative_path,exists,size_bytes,modified_utc,sha256
approved_roadmap,research/market_edge_discovery_program/roadmap_revision_2026_08_04_v2/roadmap_revision_manifest.json,True,683,2026-08-04T13:31:49.405342340+00:00,13688f088339a6535cf1e1cd26a1e35ad9780ba2b2e07ba62dfe041e0ee6a7c7
approved_gate_sequence,research/market_edge_discovery_program/roadmap_revision_2026_08_04_v2/gate_sequence.csv,True,2082,2026-08-04T13:31:49.403336287+00:00,0053c737b0f19ae34f29b24f0bb02907211942b61ecb7b0fdf350ec41c6ae180
csm_state,output/csm_001_cv001/csm001_construct_state.csv,True,244031855,2026-08-02T09:15:16.115756035+00:00,e76793737ec7c1e8c7bd875f37cc85a9e06c43d4833b88b16a343712dd3d87d1
csm_price_panel,output/csm_001_cv001/adjusted_close_panel.csv,True,34672902,2026-08-02T08:11:30.144193411+00:00,6ad000104747d84d20025c28ff1f42d25f04bd89846d475048b76dafcac959e6
tsm_state,output/tsm_001_cv001/tsm001_construct_state.csv,True,226247807,2026-08-02T10:06:01.714473486+00:00,c322487e8b89030e1ed45c633bab087e022c62ed4953a77b6fe7acbb40a454f4
csm_fsr,research/market_edge_discovery_program/csm_001_fsr_001_final_scientific_review/fsr001_manifest.json,True,653,2026-08-02T08:55:09.977848768+00:00,7976e7aa6ec774f60a6f636ecd99e03fd1e1e99713daef16432f51c7792851b8
tsm_fsr,research/market_edge_discovery_program/tsm_001_fsr_001_final_scientific_review/fsr001_manifest.json,True,504,2026-08-02T13:23:03.593796968+00:00,da56d6326de67cb1f94a3a66e4080a52cec48891724a6e656fa9be1560046e48
cip001_manifest,research/market_edge_discovery_program/cip_001_csm_tsm_construct_interaction_study/cip001_manifest.json,True,1120,2026-08-03T07:54:52.180321693+00:00,a328c7162734e17983a8052ff495e661cddca36ac4b05343c59ed517028f0adc
cwf001_manifest,research/market_edge_discovery_program/cwf_001_final_composite_workflow_review/cwf001_manifest.json,True,599,2026-08-03T08:03:57.459295988+00:00,fb6ad861148460f595b8afefebc91579001309a05a5dec14e56614cc611eaf11
wor002_manifest,research/market_edge_discovery_program/wor_002_workflow_oos_reproducibility_audit/wor002_manifest.json,True,512,2026-08-03T08:11:36.723898888+00:00,bc9402c536b4dee92166db50c03632366d176536f41fc7c961aea354b0bdb93a
wev002_manifest,research/market_edge_discovery_program/wev_002_workflow_economic_validation/wev002_manifest.json,True,399,2026-08-03T08:42:42.989293814+00:00,969cc15c7c991df93c589b3d39b8fb525f4e3f9bae115e763206ce41a0f4181e
wer002_manifest,research/market_edge_discovery_program/wer_002_workflow_execution_realism_audit/wer002_manifest.json,True,384,2026-08-03T08:52:13.879164219+00:00,915be8b4aa49a44c63002a7077c6264bb32035834c28bcccb90b39f64ecb4f38
wlc002_manifest,research/market_edge_discovery_program/wlc_002_workflow_liquidity_capacity_audit/wlc002_manifest.json,True,391,2026-08-03T08:59:10.475205183+00:00,2d686a37fd1d8dc8c512b553471829a6fcebfa7ca11a9cc7a7f131e9613b9ca1
wpc002_manifest,research/market_edge_discovery_program/wpc_002_workflow_portfolio_construction_validation/wpc002_manifest.json,True,416,2026-08-03T09:19:12.414542198+00:00,9cacc655b30c6e27c927fa45ba338e45b01b8122d516bbd6eda3e09207a942ea
wpc002_returns,research/market_edge_discovery_program/wpc_002_workflow_portfolio_construction_validation/portfolio_return_series.csv,True,30664,2026-08-03T09:19:12.399986267+00:00,75c0c166edf771e6233f3ea56c06a774aa621efa7c7915c2f42d4807b11c1b5a
wpc002_comparison,research/market_edge_discovery_program/wpc_002_workflow_portfolio_construction_validation/gross_benchmark_comparison.csv,True,258,2026-08-03T09:19:12.412444353+00:00,41501cc86825847d4625e467aed0d8c67ab4beb733a5d2f8566c922e983dea24
wrs002_manifest,research/market_edge_discovery_program/wrs_002_workflow_readiness_synthesis_update/wrs002_manifest.json,True,540,2026-08-03T09:21:32.354756594+00:00,b3be322b723c43493c347878ebdbfe56e44edf22515688b3a75abef213a6db93
workflow_archive_manifest,research/market_edge_discovery_program/workflow_branch_archive_csm_tsm/archive_manifest.json,True,467,2026-08-03T09:23:02.581072807+00:00,a19d30d43a90aafc4371533703b5b78352c85629f01dc5b69175f636ea95d61f
