year,observations,jaccard_similarity,precision_tsm_high_given_csm_high,recall_csm_high_given_tsm_high,coverage_csm_high,coverage_tsm_high,phi_binary_association
2011,107293,0.12845014386700296,1.0,0.12845014386700296,0.10110631634869004,0.7871249755342846,0.17441164915125176
2012,108773,0.1435600276679326,1.0,0.1435600276679326,0.10112803728866539,0.7044303273790371,0.21726900967173055
2013,111214,0.11366094806757181,1.0,0.11366094806757181,0.10109338752315356,0.8894293883863542,0.11824103034409732
2014,113525,0.11389440254069075,1.0,0.11389440254069075,0.10108786610878662,0.8875578066505175,0.1193595638767689
2015,115201,0.13321687965431644,1.0,0.13321687965431644,0.10062412652667946,0.7553406654456124,0.1903662290218342
2016,116558,0.16515072947178114,1.0,0.16515072947178114,0.1010998816040083,0.6121673330015958,0.26693573839404844
2017,117356,0.11743465105897524,1.0,0.11743465105897524,0.10087255871024915,0.8589675858072873,0.13572097619002904
2018,118781,0.13404539385847797,1.0,0.13404539385847797,0.10143036344196463,0.7566866754784014,0.19051668856195447
2019,119819,0.15361560539483377,1.0,0.15361560539483377,0.10095226967342408,0.6571745716455654,0.24202643709600496
2020,121825,0.1710846388012399,1.0,0.1710846388012399,0.10103016622203981,0.5905273958547096,0.2791549765879762
2021,122464,0.11306863966009816,1.0,0.11306863966009816,0.10082963156519467,0.8917559446041285,0.116668097988347
2022,123435,0.19707879362071687,1.0,0.19707879362071687,0.10111394661157694,0.5130635557175841,0.3267410997967994
2023,123497,0.18067500180675003,1.0,0.18067500180675003,0.10121703361215252,0.5602160376365418,0.29733176659991695
2024,124967,0.13058754029040182,1.0,0.13058754029040182,0.10082661822721198,0.77209983435627,0.1819288064301007
2025,124132,0.15612264091792588,1.0,0.15612264091792588,0.10029645860857797,0.6424209712241807,0.2490974316893677
