horizon_days,conditional_dimension,condition,comparison,observations_high,observations_reference,mean_difference,ci95_low_descriptive_bootstrap,ci95_high_descriptive_bootstrap
21,within_tsm_state,TSM_HIGH,CSM_HIGH_minus_CSM_NOT_HIGH,177562,1095258,0.008019762234359545,0.007540407524404232,0.009797444180901865
21,within_tsm_state,TSM_LOW,CSM_HIGH_minus_CSM_NOT_HIGH,0,485541,,,
21,within_csm_state,CSM_HIGH,TSM_HIGH_minus_TSM_LOW,177562,0,,,
21,within_csm_state,CSM_NOT_HIGH,TSM_HIGH_minus_TSM_LOW,1095258,485541,-0.006860258817519421,,
63,within_tsm_state,TSM_HIGH,CSM_HIGH_minus_CSM_NOT_HIGH,175462,1085222,0.022089647372840138,0.018829243277500345,0.023253364225688865
63,within_tsm_state,TSM_LOW,CSM_HIGH_minus_CSM_NOT_HIGH,0,476719,,,
63,within_csm_state,CSM_HIGH,TSM_HIGH_minus_TSM_LOW,175462,0,,,
63,within_csm_state,CSM_NOT_HIGH,TSM_HIGH_minus_TSM_LOW,1085222,476719,-0.01812027855801516,,
126,within_tsm_state,TSM_HIGH,CSM_HIGH_minus_CSM_NOT_HIGH,172312,1067944,0.046306798503925314,0.04251097847304955,0.04873715217675558
126,within_tsm_state,TSM_LOW,CSM_HIGH_minus_CSM_NOT_HIGH,0,465710,,,
126,within_csm_state,CSM_HIGH,TSM_HIGH_minus_TSM_LOW,172312,0,,,
126,within_csm_state,CSM_NOT_HIGH,TSM_HIGH_minus_TSM_LOW,1067944,465710,-0.03029690819753897,,
