year,horizon_days,observations,csm_high_tsm_high_mean,csm_high_tsm_low_mean,csm_not_high_tsm_high_mean,csm_not_high_tsm_low_mean,csm_spread_with_tsm_high,csm_spread_with_tsm_low,tsm_spread_with_csm_high,tsm_spread_with_csm_not_high
2011,21,107293,0.006642068758837085,,0.002540946049011646,0.024292707671348522,0.004101122709825439,,,-0.021751761622336878
2012,21,108773,0.024291233179031504,,0.016410294009889023,0.017568477021557748,0.007880939169142481,,,-0.0011581830116687251
2013,21,111214,0.036183567025831975,,0.023670257785857633,0.0235785925237795,0.012513309239974343,,,9.166526207813122e-05
2014,21,113525,0.015358949430559507,,0.01437915767330527,0.017185112031311945,0.0009797917572542374,,,-0.0028059543580066758
2015,21,115201,0.0022027599242058138,,0.0021704075090552173,-0.012831724791651247,3.235241515059644e-05,,,0.015002132300706465
2016,21,116558,0.016532598391886297,,0.014580368199342816,0.03577367258057057,0.0019522301925434804,,,-0.021193304381227754
2017,21,117356,0.02548234751640247,,0.021292137877021024,0.01911903641114585,0.004190209639381444,,,0.0021731014658751754
2018,21,118781,0.005686657564434698,,-0.0019133799568751173,0.0006235315539424157,0.007600037521309815,,,-0.002536911510817533
2019,21,119819,0.02534121186986112,,0.02151738126631843,0.025287614676022734,0.0038238306035426883,,,-0.003770233409704303
2020,21,121825,0.02959781109776274,,0.002599946228764124,0.04407814545832234,0.026997864868998616,,,-0.04147819922955821
2021,21,122464,0.010097759521592933,,0.01800091909137682,0.04034689723951889,-0.007903159569783887,,,-0.02234597814814207
2022,21,123435,0.005893544662466715,,-0.008002556744872597,0.004566385997877605,0.013896101407339313,,,-0.012568942742750201
2023,21,123497,0.02182795875783459,,0.011774406745988753,0.016123102158586946,0.010053552011845839,,,-0.004348695412598193
2024,21,124967,0.047017493515220464,,0.015245867772830483,0.014036361370740782,0.03177162574238998,,,0.001209506402089701
2025,21,113653,0.023455691338356496,,0.009926719248856661,0.012809331085348862,0.013528972089499835,,,-0.0028826118364922004
2011,63,107293,0.026026131669553434,,0.01021915524685972,0.08571254727074959,0.015806976422693714,,,-0.07549339202388987
2012,63,108773,0.06387887839273974,,0.05612541136362966,0.03368933514765718,0.007753467029110082,,,0.022436076215972482
2013,63,111214,0.1049302783750189,,0.06909981339041485,0.06973974861417177,0.03583046498460406,,,-0.0006399352237569239
2014,63,113525,0.03760456170442223,,0.04503116416364283,0.05613948675670755,-0.0074266024592205965,,,-0.011108322593064726
2015,63,115201,-0.007620813408866819,,0.004907406704225974,-0.026092519347249484,-0.012528220113092792,,,0.03099992605147546
2016,63,116558,0.058235463315747284,,0.05452027588796774,0.08970624746198827,0.0037151874277795427,,,-0.03518597157402053
2017,63,117356,0.07067266759511721,,0.053433731400093734,0.041973854743698184,0.01723893619502348,,,0.01145987665639555
2018,63,118781,0.02684042460433215,,0.007232796114807193,0.03546558091257411,0.019607628489524957,,,-0.02823278479776692
2019,63,119819,0.03809142877394743,,0.02309519448751385,0.05146292495091038,0.014996234286433579,,,-0.028367730463396527
2020,63,121825,0.1099179018876259,,0.048285402695745286,0.141793358399962,0.061632499191880616,,,-0.0935079557042167
2021,63,122464,0.04491081810234814,,0.039853711112184616,0.09134039927783422,0.005057106990163526,,,-0.0514866881656496
2022,63,123435,0.0007643716667108028,,-0.017136167908216995,0.011666597206949554,0.0179005395749278,,,-0.02880276511516655
2023,63,123497,0.10241846349935604,,0.05238514882454245,0.04514737397750949,0.050033314674813596,,,0.00723777484703296
2024,63,124967,0.10193513195563596,,0.036774645994792916,0.03789818712122861,0.06516048596084303,,,-0.001123541126435694
2025,63,92695,0.08860308680976725,,0.03249727250325019,0.0429658434112501,0.05610581430651706,,,-0.010468570907999908
2011,126,107293,0.05480586632571848,,0.032727357355553724,0.08831351711897673,0.022078508970164758,,,-0.055586159763423
2012,126,108773,0.13389655582055657,,0.1301682007827477,0.09672041478300211,0.003728355037808856,,,0.0334477859997456
2013,126,111214,0.19065424380916726,,0.13070637081415387,0.147738467916289,0.05994787299501339,,,-0.01703209710213513
2014,126,113525,0.09501724843736356,,0.08892806361767085,0.10843809750359999,0.006089184819692714,,,-0.019510033885929146
2015,126,115201,-0.003655337013274223,,0.013798102914328056,-0.01004560295616607,-0.017453439927602277,,,0.023843705870494128
2016,126,116558,0.11344382376122665,,0.10153481197498276,0.16586589672414118,0.011909011786243887,,,-0.06433108474915841
2017,126,117356,0.14745419134710958,,0.09742557222742448,0.08938609857915152,0.05002861911968509,,,0.008039473648272968
2018,126,118781,0.048844149783162406,,0.03776758985398695,0.06522062827968227,0.011076559929175459,,,-0.02745303842569532
2019,126,119819,0.05446930392034281,,0.030325791304455698,0.03399078987531982,0.024143512615887115,,,-0.003664998570864119
2020,126,121825,0.24405030156313093,,0.1545759780256063,0.3056209677582291,0.08947432353752463,,,-0.15104498973262281
2021,126,122464,0.08463291086876258,,0.04431314395117713,0.09115307077150858,0.04031976691758545,,,-0.04683992682033145
2022,126,123435,0.010143797247572776,,-0.021777373661979328,0.04647818876475289,0.031921170909552106,,,-0.06825556242673222
2023,126,123497,0.23923506315115958,,0.11440061170392257,0.09019625807319304,0.12483445144723701,,,0.024204353630729536
2024,126,124967,0.18649902216151965,,0.06144247615172959,0.05400278628957988,0.12505654600979005,,,0.007439689862149712
2025,126,61258,0.24809039139761904,,0.09315001221076463,0.11746354364860903,0.1549403791868544,,,-0.0243135314378444
