artifact,path,sha256,artifact_type,v2_candidate_data_artifact
bfl002_readiness_assessment.md,research\market_edge_discovery_program\controlled_remediation_bfl002\bfl002_readiness_assessment.md,e70ec0512bb670649c8ef3df854bd637e27b2a3788998d034682e2dafddf1eab,controlled_remediation_evidence,NO
controlled_remediation_report.md,research\market_edge_discovery_program\controlled_remediation_bfl002\controlled_remediation_report.md,535cde4e0c8729921db447828c17135aa3a850f0e03d9bf8d71bc825cd39bf69,controlled_remediation_evidence,NO
remediation_execution_log.md,research\market_edge_discovery_program\controlled_remediation_bfl002\remediation_execution_log.md,796908292fdb773673c851db4d1f0e75e66fbe818ee2cd3150a4ff6328af4e26,controlled_remediation_evidence,NO
remediation_findings_register.csv,research\market_edge_discovery_program\controlled_remediation_bfl002\remediation_findings_register.csv,84cce17af2d4f53ab20e3d687e9e797d8cd44f82fc780fb0b3a3dba7d6f0ccec,controlled_remediation_evidence,NO
remediation_manifest.json,research\market_edge_discovery_program\controlled_remediation_bfl002\remediation_manifest.json,fe0d847cc2dd579dcf09d462fd59104fcb6295f87bc3bdc24fba2f77ac3115c0,controlled_remediation_evidence,NO
remediation_protocol_incidents.md,research\market_edge_discovery_program\controlled_remediation_bfl002\remediation_protocol_incidents.md,ac3227a61ab056a889ae89b5758724b8aa0b1f76003f04934d5e570bbe76b997,controlled_remediation_evidence,NO
run_controlled_remediation.py,research\market_edge_discovery_program\controlled_remediation_bfl002\run_controlled_remediation.py,d2e41be0c4c4ad3c766e8c8878a7bae449d33830f40ddd4e7790d02d34b5576b,controlled_remediation_evidence,NO
v1_to_v2_remediation_delta.md,research\market_edge_discovery_program\controlled_remediation_bfl002\v1_to_v2_remediation_delta.md,f85cb945e8fc9091046f4fe0b1bdf3ddbeffa69d6dc6ab5cb2e589d0f491a71f,controlled_remediation_evidence,NO
v2_candidate_artifact_inventory.csv,research\market_edge_discovery_program\controlled_remediation_bfl002\v2_candidate_artifact_inventory.csv,5eb4fd59740a25779dd0445039f3d795c51784c28013b36d6218d4cee0439e21,controlled_remediation_evidence,NO
v2_candidate_data_lineage.md,research\market_edge_discovery_program\controlled_remediation_bfl002\v2_candidate_data_lineage.md,75610227bdc305150d911fae8cb6694bbc504bb1d096c3e70cbbdf63cf1e8158,controlled_remediation_evidence,NO
v2_data_quality_report.md,research\market_edge_discovery_program\controlled_remediation_bfl002\v2_data_quality_report.md,67c955de27b94b8e4967e78220a0a653d0a6a74214f95e64c7c19438346feae7,controlled_remediation_evidence,NO
v2_unresolved_limitations.md,research\market_edge_discovery_program\controlled_remediation_bfl002\v2_unresolved_limitations.md,b7641230ff1a9ff8b0262a23fa0eeb0998f9f21688916299b0e7d2f0ad82345c,controlled_remediation_evidence,NO
