profile,observations,unique_tickers,score_mean,score_median,score_std,return_12_1_mean,return_12_1_median,top_decile_rate
ALL_VALID,1768841,499,0.5,0.5,0.28929122291968723,0.16992691564625703,0.1360367538681179,0.10097685433569213
DECILE_1,178397,481,0.04946859832742732,0.0494623655913978,0.02917262107610519,-0.2317566121531035,-0.217651741715508,0.0
DECILE_2,176040,495,0.14987052584949506,0.1498829039812646,0.028790074774396768,-0.07829697348052411,-0.06854393279495485,0.0
DECILE_3,176781,496,0.2498156636147993,0.25,0.028911853561925816,-0.0044892162397796535,0.0044953231995168,0.0
DECILE_4,176367,498,0.349853777283273,0.3498964803312629,0.02884467498519253,0.05454971015507457,0.0592544633744067,0.0
DECILE_5,175971,498,0.44966143080952053,0.4495967741935484,0.028779230273406082,0.10977158326342619,0.1127622264559911,0.0
DECILE_6,176878,498,0.5496157145547658,0.5496957403651116,0.028927200663590943,0.16425570480633614,0.16310245352728445,0.0
DECILE_7,176974,498,0.6498527403001626,0.6497890295358649,0.0289436675061777,0.2240140370805806,0.2176537117652086,0.0
DECILE_8,176174,498,0.7498906602024825,0.75,0.028812910853403914,0.2948508000096746,0.2848422588866101,0.0
DECILE_9,176647,497,0.8498355060060735,0.8498942917547568,0.0288894526611551,0.39778089966747177,0.3813635035602079,0.0
DECILE_10,178612,481,0.9504705756846233,0.9505154639175256,0.029207658609946317,0.7650565185858039,0.6241652866663447,1.0
