ticker,valid_days,score_autocorr_21d,score_autocorr_63d
A,3771,0.8561510266797353,0.5925356731316048
AAPL,3771,0.8867498012302737,0.5841874261642783
ABBV,3017,0.8138527638617823,0.5122470584303666
ABNB,1017,0.7395425412990003,0.48404037664797633
ABT,3771,0.8747880306036425,0.6844614634517381
ACGL,3771,0.9119651158657095,0.7329555508698032
ACN,3771,0.8605064176763426,0.6233644454899805
ADBE,3771,0.9158211688569009,0.8023405361997564
ADI,3771,0.6965888753768701,0.33157682431726293
ADM,3771,0.88455295228693,0.6409010765302003
ADP,3771,0.7964470634453619,0.5140135191790415
ADSK,3771,0.8271815214907995,0.6564844017184229
AEE,3771,0.8618914199030872,0.6051582259033336
AEP,3771,0.8648812928573458,0.5845436107801795
AES,3771,0.8890798063368741,0.646951599327535
AFL,3771,0.8871354007263835,0.7439093071013592
AIG,3771,0.882430076074185,0.6442119079673175
AIZ,3771,0.8479783713687806,0.5583328886202301
AJG,3771,0.8529081497894347,0.6429374721030586
AKAM,3771,0.8296669820687654,0.49752379841879124
ALB,3771,0.9206206869329078,0.8234402446061742
ALGN,3771,0.8948316604295687,0.6644929431369148
ALL,3771,0.8791738049111766,0.66162492683253
ALLE,2795,0.7915267441593304,0.40737023603943096
AMAT,3771,0.9205518080802529,0.7576782860253307
AMCR,3175,0.8373478416805064,0.5217626866171499
AMD,3771,0.8870307413725069,0.7180541593583487
AME,3771,0.8832783551923145,0.6929857680194127
AMGN,3771,0.8391264372495568,0.5833066819872219
AMP,3771,0.9049493858992661,0.6754031822462397
AMT,3771,0.8629282144336257,0.6141007629779545
AMZN,3771,0.8847106546075042,0.659829270405885
ANET,2658,0.836177274953018,0.634692590108573
AON,3771,0.772444412434113,0.47936285891512515
AOS,3771,0.9008692413867914,0.7084047789690409
APA,3771,0.8859806737818449,0.70555180208476
APD,3771,0.8804035220752521,0.6636258012866892
APH,3771,0.8228660195010178,0.5595026605836134
APO,3459,0.9122467632814286,0.7054216640939516
APP,932,0.9676554931028719,0.8691585396992021
APTV,3297,0.9113327785454931,0.7201418617477824
ARE,3771,0.9025993740121832,0.7891070474270424
ARES,2682,0.8282173764135132,0.5876025805353048
ATO,3771,0.8761990375830789,0.6035487263974
AVB,3771,0.9032884972319764,0.728834443142618
AVGO,3771,0.8604483329569131,0.7363899051960398
AVY,3771,0.9020201815838557,0.7106340270915982
AWK,3771,0.8776667410836063,0.6979528881163982
AXON,3771,0.845302101144042,0.5481967595974157
AXP,3771,0.8855795564223563,0.7160726047525982
AZO,3771,0.9108655578454576,0.7681316838317314
BA,3771,0.9075411946471822,0.7207717036468864
BAC,3771,0.9094284897624244,0.7032288044636259
BALL,3771,0.8913507124406154,0.6878150167426734
BAX,3771,0.8938492101424084,0.6950567739810227
BBY,3771,0.8724217127664253,0.6353394502867699
BDX,3771,0.8545669646897842,0.6984212688442695
BEN,3771,0.8659900436915374,0.5689966252064257
BF.B,3771,0.9270726247613019,0.7684504157674874
BG,3771,0.8622764025351155,0.6120966908868702
BIIB,3771,0.903590457936955,0.7322630068404669
BKNG,3771,0.8540649915926802,0.6139713884324498
BKR,3771,0.868152050750606,0.6127254663208926
BLDR,3771,0.8748678730984284,0.6484802486512121
BLK,3771,0.8589645976900386,0.6456244073272136
BMY,3771,0.8778613100936109,0.6550293291602187
BNY,3771,0.8904362184716129,0.7457288442813318
BR,3771,0.8679704940622769,0.6379983699844665
BRK.B,3771,0.8357239147793606,0.5057732156642514
BRO,3771,0.8644121696199565,0.6382033775524807
BSX,3771,0.8885458651621005,0.701854260281335
BX,3771,0.8927817027679255,0.6724918791503982
BXP,3771,0.8563718526031732,0.6806295321664954
C,3771,0.890838489680165,0.6573639723584637
CAH,3771,0.9308068358193773,0.8059974445428598
CARR,1202,0.8592308934965068,0.6097616974231311
CASY,3771,0.8954164918482952,0.6642505903900364
CAT,3771,0.9136016571161839,0.7361293847483134
CB,3771,0.816739627483993,0.5896600435734325
CBOE,3659,0.828449451503164,0.5296433956292729
CBRE,3771,0.8768517873811259,0.6488938860461623
CCI,3771,0.8685645976639973,0.6789814695148179
CCL,3771,0.8648380041227217,0.647681519562244
CDNS,3771,0.8224327251045117,0.5536361886360704
CDW,2895,0.8817022579961706,0.6839809464382627
CEG,739,0.5092639338092142,-0.08432101946623836
CF,3771,0.8885150673565324,0.71534630246708
CFG,2582,0.8854520341219746,0.6684378367537597
CHD,3771,0.8758586328876852,0.6233132008184555
CHRW,3771,0.8663286921050338,0.6121549409723478
CHTR,3770,0.9199561084331758,0.7194418736457725
CI,3771,0.8730181249069251,0.6060484943850575
CIEN,3771,0.8251857977657067,0.5315772369380032
CINF,3771,0.9047190475127544,0.6843485419379811
CL,3771,0.8566717987481839,0.5572835815283926
CLX,3771,0.8613722097127401,0.593154602025364
CMCSA,3771,0.8971193097241245,0.7436328474859661
CME,3771,0.8402400876206896,0.564710430209974
CMG,3771,0.9207928919925614,0.7474052006774634
CMI,3771,0.878451908086007,0.6257835508788899
CMS,3771,0.8558924244179835,0.6230122079941263
CNC,3771,0.8826357202686482,0.679424478141221
CNP,3771,0.9182254237500709,0.7513835889743467
COF,3771,0.8652674614084958,0.6111866356227331
COHR,3771,0.9011977151441194,0.7495806020176523
COIN,933,0.8800355059201252,0.6665155083144922
COO,3771,0.8560002804505533,0.5750280148012601
COP,3771,0.9013035990733381,0.7564615902325791
COR,3771,0.8858840993936947,0.6920593184267955
COST,3771,0.8691271374573293,0.6349728231772157
CPAY,3531,0.9051318101268699,0.767580555885686
CPRT,3771,0.8939914642712782,0.7577596024783867
CPT,3771,0.8861124185939259,0.7262470506408918
CRH,3771,0.8835278402882238,0.6657897393718882
CRL,3771,0.8485787656670539,0.652686891547207
CRM,3771,0.8233042157622495,0.5337117003666186
CRWD,1396,0.8882691087966332,0.6990439432326983
CSCO,3771,0.8648376541430715,0.6065708682863968
CSGP,3771,0.9086437186733088,0.6975419801124702
CSX,3771,0.9003729696367496,0.7067675448578707
CTAS,3771,0.8098090345149379,0.5492616334507976
CTSH,3771,0.8772671480613357,0.5961473157855156
CTVA,1408,0.9051286371221864,0.6819181432836461
CVNA,1929,0.9227562711784157,0.815664147392824
CVS,3771,0.9186445795973771,0.7575290634717724
CVX,3771,0.9121354772802477,0.7688275251083825
D,3771,0.8548824951215055,0.626283278118484
DAL,3771,0.8409392585484318,0.5578582351078738
DASH,1018,0.9530378280537848,0.8924586518104198
DD,3771,0.8523647356483651,0.6025885547802275
DDOG,1327,0.814895205290486,0.479748310193233
DE,3771,0.8861033508353218,0.7201866556377517
DECK,3771,0.9133386590988748,0.7685146890463366
DELL,2104,0.8524442736499263,0.540560224342354
DG,3771,0.899667372954362,0.7322167837028924
DGX,3771,0.8415454345776847,0.6541210452872986
DHI,3771,0.8694337982298003,0.6284266951901186
DHR,3771,0.8664878200912148,0.7264359308168682
DIS,3771,0.888384854163366,0.6801712796443544
DLR,3771,0.8862607930770371,0.6518099838023483
DLTR,3771,0.8849055426216038,0.6202023402581597
DOC,3771,0.865844435414748,0.6568145610168097
DOV,3771,0.8510317287209185,0.6152462170265564
DOW,1454,0.8657463234120374,0.5882387330171805
DPZ,3771,0.8824443359844538,0.6241003479180672
DRI,3771,0.8574044671468747,0.5937387576554963
DTE,3771,0.8349553997885677,0.5750430222587447
DUK,3771,0.8061222443888953,0.4636824297495889
DVA,3771,0.868856842476284,0.6297150360733792
DVN,3771,0.9163616250358679,0.7034988774631442
DXCM,3771,0.877239849562654,0.6528611707060905
EA,3771,0.8887067261304833,0.7014501308752937
EBAY,3771,0.872560954718438,0.6248091508690441
ECHO,3771,0.8672248948510475,0.6676493344307222
ECL,3771,0.9110228771822901,0.7453916051223881
ED,3771,0.8651670848364755,0.6466510778526453
EFX,3771,0.841089282045171,0.5913957374511878
EG,3771,0.8524180695738488,0.5513869998787988
EIX,3771,0.8482780716613934,0.64801806097137
EL,3771,0.9044786180811386,0.7893407363490416
ELV,3771,0.9049458005721291,0.7239522639780593
EME,3771,0.8945442136903401,0.6873623701612424
EMR,3771,0.8118441422639183,0.4779675780507424
