ticker,top_decile_episodes,mean_episode_length_days,median_episode_length_days,max_episode_length_days
A,6,8.5,3.5,29
AAPL,48,18.708333333333332,3.0,317
ABBV,24,15.583333333333334,1.5,111
ABNB,3,2.0,1.0,4
ABT,12,2.0833333333333335,1.0,7
ACGL,14,23.857142857142858,2.0,232
ACN,9,5.777777777777778,1.0,17
ADBE,26,22.576923076923077,3.0,232
ADI,2,3.0,3.0,3
ADM,6,37.166666666666664,6.5,185
ADP,7,2.142857142857143,2.0,6
ADSK,30,13.233333333333333,2.0,156
AEE,18,6.222222222222222,2.5,21
AEP,9,3.7777777777777777,2.0,14
AES,11,19.454545454545453,4.0,143
AFL,1,3.0,3.0,3
AIG,15,7.533333333333333,2.0,39
AIZ,20,6.75,2.0,45
AJG,16,4.125,3.0,9
AKAM,15,17.4,7.0,56
ALB,44,16.272727272727273,2.5,190
ALGN,42,25.904761904761905,3.5,372
ALL,15,15.266666666666667,9.0,73
ALLE,10,3.1,1.5,14
AMAT,59,16.152542372881356,2.0,286
AMCR,2,3.0,3.0,4
AMD,25,50.24,8.0,381
AME,10,8.6,3.5,27
AMGN,30,9.266666666666667,2.5,43
AMP,36,5.583333333333333,2.0,41
AMT,17,10.411764705882353,2.0,137
AMZN,33,28.181818181818183,5.0,275
ANET,32,32.25,6.5,370
AON,5,7.8,2.0,26
AOS,23,16.47826086956522,4.0,158
APA,19,23.05263157894737,2.0,278
APD,9,12.666666666666666,5.0,70
APH,4,42.0,27.5,112
APO,53,17.11320754716981,2.0,248
APP,2,288.5,288.5,576
APTV,29,11.068965517241379,5.0,110
ARE,4,4.25,4.5,7
ARES,63,9.19047619047619,4.0,99
ATO,6,35.833333333333336,11.5,151
AVB,13,3.4615384615384617,2.0,16
AVGO,71,20.309859154929576,3.0,376
AVY,18,9.38888888888889,5.0,44
AWK,24,10.916666666666666,2.0,148
AXON,62,25.129032258064516,4.0,297
AXP,13,7.769230769230769,3.0,59
AZO,56,11.446428571428571,3.0,165
BA,22,22.0,3.5,257
BAC,14,30.714285714285715,13.5,181
BALL,15,17.666666666666668,3.0,203
BAX,10,2.7,2.0,12
BBY,28,19.107142857142858,7.0,122
BEN,1,2.0,2.0,2
BF.B,16,3.5625,2.5,10
BG,11,12.090909090909092,3.0,54
BIIB,55,11.49090909090909,2.0,239
BKNG,31,16.451612903225808,2.0,209
BKR,33,10.181818181818182,5.0,50
BLDR,41,31.951219512195124,4.0,280
BLK,13,3.769230769230769,2.0,15
BMY,21,9.142857142857142,2.0,44
BNY,23,7.434782608695652,2.0,54
BR,23,12.347826086956522,4.0,48
BRO,14,8.428571428571429,3.0,38
BSX,34,14.558823529411764,3.0,142
BX,41,18.585365853658537,3.0,191
BXP,2,4.5,4.5,8
C,17,12.647058823529411,4.0,86
CAH,17,22.058823529411764,5.0,145
CARR,11,9.0,3.0,62
CASY,56,6.75,2.0,45
CAT,36,10.61111111111111,2.5,117
CB,1,28.0,28.0,28
CBOE,14,14.5,2.5,115
CBRE,29,12.206896551724139,7.0,62
CCI,23,7.130434782608695,2.0,82
CCL,46,7.065217391304348,1.5,57
CDNS,30,20.966666666666665,3.0,159
CDW,38,6.7631578947368425,2.5,42
CEG,21,21.80952380952381,3.0,153
CF,51,12.137254901960784,3.0,236
CFG,32,8.75,2.0,148
CHD,26,11.0,6.0,69
CHRW,13,5.6923076923076925,5.0,14
CHTR,86,8.581395348837209,3.0,157
CI,24,19.25,3.5,147
CIEN,37,16.7027027027027,4.0,114
CINF,12,28.75,3.5,156
CLX,24,4.666666666666667,2.0,17
CMCSA,19,8.578947368421053,2.0,79
CME,16,4.4375,1.5,14
CMG,50,22.56,3.5,322
CMI,12,14.583333333333334,3.5,79
CMS,14,5.857142857142857,2.5,24
CNC,57,13.035087719298245,2.0,252
CNP,29,4.931034482758621,3.0,27
COF,13,18.076923076923077,6.0,142
COHR,54,13.296296296296296,2.5,126
COIN,7,55.42857142857143,14.0,262
COO,16,13.375,2.0,166
COP,10,47.9,6.5,344
COR,24,12.5,3.5,104
COST,19,10.526315789473685,4.0,81
CPAY,26,19.346153846153847,4.0,338
CPRT,37,17.72972972972973,4.0,144
CPT,6,24.333333333333332,11.5,92
CRH,15,16.866666666666667,5.0,108
CRL,31,8.03225806451613,2.0,124
CRM,31,14.774193548387096,5.0,75
CRWD,28,20.928571428571427,4.0,189
CSCO,11,2.5454545454545454,1.0,12
CSGP,40,18.275,4.0,184
CSX,15,17.533333333333335,1.0,198
CTAS,29,5.551724137931035,2.0,35
CTSH,22,5.409090909090909,1.5,27
CTVA,10,16.5,1.5,114
CVNA,20,64.1,6.5,528
CVS,15,10.4,5.0,51
CVX,5,48.6,1.0,231
D,1,2.0,2.0,2
DAL,23,24.043478260869566,4.0,333
DASH,20,20.15,3.5,144
DD,10,6.7,1.5,41
DDOG,15,22.4,9.0,134
DE,21,16.428571428571427,6.0,96
DECK,56,24.767857142857142,4.5,163
DELL,30,16.733333333333334,4.5,250
DG,24,14.541666666666666,5.0,107
DGX,3,2.0,1.0,4
DHI,51,13.215686274509803,3.0,154
DHR,11,32.0,5.0,231
DIS,10,7.6,2.0,57
DLR,28,11.75,2.5,177
DLTR,27,22.22222222222222,3.0,244
DOC,6,20.166666666666668,7.0,82
DOV,4,5.0,3.5,12
DOW,1,3.0,3.0,3
DPZ,51,18.607843137254903,4.0,266
DRI,32,7.09375,3.0,66
DTE,2,4.0,4.0,7
DUK,5,2.0,2.0,3
DVA,23,9.130434782608695,3.0,99
DVN,9,60.55555555555556,7.0,413
DXCM,58,21.982758620689655,3.5,223
EA,20,31.2,6.0,300
EBAY,29,8.137931034482758,2.0,103
ECHO,21,18.571428571428573,5.0,68
ECL,10,5.1,1.0,18
ED,13,14.23076923076923,8.0,52
EFX,34,6.117647058823529,2.0,55
EG,12,6.166666666666667,3.5,24
EIX,22,2.772727272727273,2.0,11
EL,23,18.608695652173914,7.0,125
ELV,40,10.575,3.5,82
EME,29,19.79310344827586,2.0,234
EOG,11,39.36363636363637,7.0,257
EQIX,21,31.714285714285715,5.0,278
EQR,14,4.928571428571429,2.0,16
EQT,29,18.655172413793103,3.0,231
ERIE,32,18.84375,2.0,179
ES,7,4.857142857142857,2.0,15
ESS,13,3.3076923076923075,3.0,8
ETN,24,10.375,2.0,95
ETR,28,9.142857142857142,2.0,119
EVRG,5,39.0,2.0,174
EW,36,18.61111111111111,1.5,221
EXC,15,13.933333333333334,4.0,100
EXE,5,55.8,1.0,264
EXPD,2,14.5,14.5,15
EXPE,31,14.548387096774194,4.0,99
EXR,34,23.647058823529413,6.0,150
F,15,21.6,5.0,85
FANG,35,22.914285714285715,3.0,287
FAST,11,22.0,6.0,147
FCX,47,10.23404255319149,2.0,214
FDS,14,9.857142857142858,3.0,47
FDX,9,25.11111111111111,17.0,95
FE,12,6.0,1.5,25
FFIV,36,11.944444444444445,5.0,75
FICO,27,49.96296296296296,5.0,297
FIS,3,4.0,2.0,9
FISV,24,6.125,2.5,33
FITB,17,17.176470588235293,9.0,90
FIX,36,32.80555555555556,4.0,275
FLEX,34,13.117647058823529,3.5,112
FOX,8,17.375,1.0,123
FOXA,14,10.142857142857142,2.0,111
FRT,4,4.75,5.0,8
FSLR,30,26.2,3.0,198
FTNT,38,30.763157894736842,3.5,249
GD,18,7.333333333333333,2.0,77
GDDY,20,23.15,3.0,215
GE,35,20.8,4.0,194
GEN,14,28.357142857142858,4.0,170
GEV,1,190.0,190.0,190
GILD,25,29.4,2.0,367
GIS,15,8.533333333333333,2.0,41
GL,12,6.916666666666667,2.0,36
GLW,27,9.11111111111111,2.0,87
GM,13,15.384615384615385,5.0,56
GNRC,39,28.641025641025642,4.0,507
GOOG,22,13.136363636363637,2.0,153
GOOGL,20,14.15,2.0,145
GPC,8,19.25,2.0,124
GPN,24,20.625,5.5,205
GRMN,24,23.041666666666668,5.0,86
GS,22,12.0,2.0,91
GWW,20,23.9,4.5,151
HAL,32,15.96875,2.0,139
HAS,20,9.25,2.5,62
HBAN,13,2.0,2.0,4
HCA,55,13.454545454545455,4.0,153
HD,26,13.23076923076923,2.0,188
HIG,13,10.615384615384615,3.0,97
HII,37,13.27027027027027,2.0,186
HLT,6,4.666666666666667,3.5,12
HOOD,3,146.33333333333334,7.0,431
HPE,4,28.75,9.5,94
HPQ,42,6.357142857142857,1.0,50
HRL,13,15.076923076923077,2.0,128
HSIC,1,1.0,1.0,1
HST,3,9.0,9.0,13
HSY,25,11.48,5.0,107
HUBB,17,13.470588235294118,2.0,70
HUM,50,11.18,4.5,90
HWM,13,45.61538461538461,2.0,396
IBKR,26,29.653846153846153,4.0,184
IBM,7,16.714285714285715,10.0,71
ICE,2,8.0,8.0,15
IDXX,29,18.862068965517242,5.0,233
IEX,6,7.166666666666667,1.0,36
IFF,3,1.6666666666666667,2.0,2
INCY,37,18.08108108108108,2.0,231
INTC,24,14.875,5.5,71
INTU,41,7.560975609756097,3.0,41
INVH,5,7.4,6.0,15
IP,16,7.75,3.5,32
IQV,10,7.6,2.5,42
IR,12,6.333333333333333,1.5,48
IRM,42,12.404761904761905,2.5,121
ISRG,49,15.10204081632653,4.0,216
IT,9,31.555555555555557,5.0,194
ITW,7,7.285714285714286,2.0,36
IVZ,7,22.285714285714285,1.0,144
J,9,5.0,2.0,21
JBHT,3,2.0,2.0,2
JBL,37,17.35135135135135,3.0,168
JCI,20,8.25,3.0,46
JKHY,22,5.681818181818182,4.0,18
JNJ,4,1.25,1.0,2
JPM,5,5.4,1.0,20
KDP,14,28.785714285714285,5.0,160
KEY,24,8.291666666666666,2.0,65
KEYS,17,18.352941176470587,4.0,134
KHC,1,7.0,7.0,7
KIM,23,5.434782608695652,4.0,25
KKR,29,17.137931034482758,4.0,241
KLAC,59,10.474576271186441,3.0,122
KMB,8,8.0,3.5,38
KMI,20,9.05,2.0,117
KR,40,13.15,2.0,201
LDOS,33,12.757575757575758,4.0,104
LEN,37,13.297297297297296,2.0,267
LHX,17,7.882352941176471,3.0,67
LII,38,14.631578947368421,3.5,109
LITE,38,17.657894736842106,3.5,132
