scope,observations,csm_high_count,tsm_high_count,overlap_count,csm_high_tsm_low_count,jaccard,p_tsm_high_given_csm_high,p_csm_high_given_tsm_high,phi_association,nesting_supported
full_sample,1768840,178612,1278445,178612,0,0.13971035124702275,1.0,0.13971035124702275,0.20756666666533707,True
year_2011,107293,10848,84453,10848,0,0.12845014386700296,1.0,0.12845014386700296,0.17441164915125176,True
year_2012,108773,11000,76623,11000,0,0.1435600276679326,1.0,0.1435600276679326,0.21726900967173055,True
year_2013,111214,11243,98917,11243,0,0.11366094806757181,1.0,0.11366094806757181,0.11824103034409732,True
year_2014,113525,11476,100760,11476,0,0.11389440254069075,1.0,0.11389440254069075,0.1193595638767689,True
year_2015,115201,11592,87016,11592,0,0.13321687965431644,1.0,0.13321687965431644,0.1903662290218342,True
year_2016,116558,11784,71353,11784,0,0.16515072947178114,1.0,0.16515072947178114,0.26693573839404844,True
year_2017,117356,11838,100805,11838,0,0.11743465105897524,1.0,0.11743465105897524,0.13572097619002904,True
year_2018,118781,12048,89880,12048,0,0.13404539385847797,1.0,0.13404539385847797,0.19051668856195447,True
year_2019,119819,12096,78742,12096,0,0.15361560539483377,1.0,0.15361560539483377,0.24202643709600496,True
year_2020,121825,12308,71941,12308,0,0.1710846388012399,1.0,0.1710846388012399,0.2791549765879762,True
year_2021,122464,12348,109208,12348,0,0.11306863966009816,1.0,0.11306863966009816,0.116668097988347,True
year_2022,123435,12481,63330,12481,0,0.19707879362071687,1.0,0.19707879362071687,0.3267410997967994,True
year_2023,123497,12500,69185,12500,0,0.18067500180675003,1.0,0.18067500180675003,0.29733176659991695,True
year_2024,124967,12600,96487,12600,0,0.13058754029040182,1.0,0.13058754029040182,0.1819288064301007,True
year_2025,124132,12450,79745,12450,0,0.15612264091792588,1.0,0.15612264091792588,0.2490974316893677,True
