ticker,observations,year_count,csm_high_count,tsm_high_count,csm_high_tsm_low_count,workflow_state_count
ZBRA,3771,15,698,2594,0,3
A,3771,15,51,2702,0,3
WFC,3771,15,162,2539,0,3
WELL,3771,15,346,2802,0,3
WEC,3771,15,146,3215,0,3
WDC,3771,15,717,2193,0,3
WBD,3771,15,278,1767,0,3
WAT,3771,15,39,2768,0,3
WAB,3771,15,99,2859,0,3
VZ,3771,15,4,2772,0,3
VTRS,3771,15,134,1602,0,3
VTR,3771,15,149,2381,0,3
VRTX,3771,15,757,2732,0,3
VRSN,3771,15,536,3004,0,3
VRSK,3771,15,112,3230,0,3
AON,3771,15,39,3202,0,3
AMZN,3771,15,930,3214,0,3
AMT,3771,15,177,2894,0,3
AMP,3771,15,201,2851,0,3
AMGN,3771,15,278,2906,0,3
AME,3771,15,86,3099,0,3
AMD,3771,15,1256,2311,0,3
AMAT,3771,15,953,2587,0,3
ALL,3771,15,229,2876,0,3
ALGN,3771,15,1088,2580,0,3
ALB,3771,15,716,1998,0,3
AKAM,3771,15,261,2270,0,3
AJG,3771,15,66,3465,0,3
AXP,3771,15,101,2832,0,3
AXON,3771,15,1558,3001,0,3
AWK,3771,15,262,3219,0,3
AVY,3771,15,169,2811,0,3
AVGO,3771,15,1442,3403,0,3
AVB,3771,15,45,2650,0,3
ATO,3771,15,215,3303,0,3
ARE,3771,15,17,2500,0,3
APH,3771,15,168,3258,0,3
APD,3771,15,114,2849,0,3
APA,3771,15,438,1432,0,3
AOS,3771,15,379,2804,0,3
BMY,3771,15,192,2591,0,3
BLK,3771,15,49,2856,0,3
BLDR,3771,15,1310,2602,0,3
BKR,3771,15,336,2083,0,3
BKNG,3771,15,510,2917,0,3
BIIB,3771,15,632,2231,0,3
BG,3771,15,133,2181,0,3
BF.B,3771,15,57,2455,0,3
BEN,3771,15,2,1964,0,3
BDX,3771,15,0,2680,0,2
BBY,3771,15,535,2018,0,3
BAX,3771,15,27,2260,0,3
BALL,3771,15,265,2858,0,3
BAC,3771,15,430,2202,0,3
BA,3771,15,484,2528,0,3
AZO,3771,15,641,3294,0,3
CCI,3771,15,164,2867,0,3
CBRE,3771,15,354,2687,0,3
CB,3771,15,28,3155,0,3
CAT,3771,15,382,2503,0,3
CASY,3771,15,378,3166,0,3
CAH,3771,15,375,2543,0,3
C,3771,15,215,2246,0,3
BXP,3771,15,9,2522,0,3
BX,3771,15,762,2994,0,3
BSX,3771,15,495,3036,0,3
BRO,3771,15,118,3172,0,3
BRK.B,3771,15,0,2981,0,2
BR,3771,15,284,3174,0,3
BNY,3771,15,171,2556,0,3
CME,3771,15,71,2973,0,3
CMCSA,3771,15,163,2689,0,3
CLX,3771,15,112,2784,0,3
CL,3771,15,0,2707,0,2
CINF,3771,15,345,2974,0,3
CIEN,3771,15,618,2504,0,3
CI,3771,15,462,2809,0,3
CHRW,3771,15,74,2224,0,3
CHD,3771,15,286,3198,0,3
CF,3771,15,619,2659,0,3
CDNS,3771,15,629,3493,0,3
CCL,3771,15,325,2236,0,3
VMC,3771,15,243,2716,0,3
VLO,3771,15,704,2773,0,3
V,3771,15,237,3406,0,3
USB,3771,15,21,2636,0,3
URI,3771,15,1241,2884,0,3
UPS,3771,15,63,2525,0,3
UNP,3771,15,58,2988,0,3
UNH,3771,15,370,3233,0,3
ULTA,3771,15,1117,2590,0,3
UHS,3771,15,306,2504,0,3
UDR,3771,15,32,2553,0,3
UAL,3771,15,642,2335,0,3
CRH,3771,15,253,2695,0,3
CPT,3771,15,146,2745,0,3
CPRT,3771,15,656,3256,0,3
COST,3771,15,200,3499,0,3
COR,3771,15,300,3130,0,3
COP,3771,15,479,2370,0,3
COO,3771,15,214,2858,0,3
COHR,3771,15,718,2145,0,3
COF,3771,15,235,2567,0,3
CNP,3771,15,143,2774,0,3
CNC,3771,15,743,2703,0,3
CMS,3771,15,82,3204,0,3
CMI,3771,15,175,2643,0,3
CMG,3771,15,1128,2551,0,3
DD,3771,15,67,2398,0,3
DAL,3771,15,553,2488,0,3
D,3771,15,2,2872,0,3
CVX,3771,15,243,2725,0,3
CVS,3771,15,156,2281,0,3
CTSH,3771,15,119,2398,0,3
CTAS,3771,15,161,3582,0,3
CSX,3771,15,263,2740,0,3
CSGP,3771,15,731,2887,0,3
CSCO,3771,15,28,2766,0,3
CRM,3771,15,458,3024,0,3
CRL,3771,15,249,2604,0,3
DRI,3771,15,227,3008,0,3
DPZ,3771,15,949,3197,0,3
DOV,3771,15,20,2752,0,3
DOC,3771,15,121,1943,0,3
DLTR,3771,15,600,2411,0,3
DLR,3771,15,329,2826,0,3
DIS,3771,15,76,2492,0,3
DHR,3771,15,352,3050,0,3
DHI,3771,15,674,2771,0,3
DGX,3771,15,6,2781,0,3
DG,3771,15,349,2938,0,3
DECK,3771,15,1387,2576,0,3
DE,3771,15,345,2824,0,3
EME,3771,15,574,3006,0,3
ELV,3771,15,423,2609,0,3
EL,3771,15,428,2663,0,3
EIX,3771,15,61,2812,0,3
EG,3771,15,74,2896,0,3
EFX,3771,15,208,2936,0,3
ED,3771,15,185,2840,0,3
ECL,3771,15,51,3255,0,3
ECHO,3771,15,390,1935,0,3
EBAY,3771,15,236,2787,0,3
EA,3771,15,624,2742,0,3
DXCM,3771,15,1275,2527,0,3
DVN,3771,15,545,1430,0,3
DVA,3771,15,210,2473,0,3
DUK,3771,15,10,3032,0,3
DTE,3771,15,8,3172,0,3
EXPE,3771,15,451,2706,0,3
EXPD,3771,15,29,2664,0,3
EXC,3771,15,209,2378,0,3
EW,3771,15,670,2612,0,3
EVRG,3771,15,195,2933,0,3
ETR,3771,15,256,2618,0,3
ETN,3771,15,249,2777,0,3
ESS,3771,15,43,2812,0,3
ES,3771,15,34,3000,0,3
ERIE,3771,15,603,2870,0,3
EQT,3771,15,541,2151,0,3
EQR,3771,15,69,2500,0,3
EQIX,3771,15,666,2887,0,3
EOG,3771,15,433,2321,0,3
EMR,3771,15,0,2517,0,2
FLEX,3771,15,446,2717,0,3
FIX,3771,15,1181,3088,0,3
FITB,3771,15,292,2332,0,3
FIS,3771,15,12,2765,0,3
FICO,3771,15,1349,3405,0,3
FFIV,3771,15,430,2232,0,3
FE,3771,15,72,2441,0,3
FDX,3771,15,226,2345,0,3
FDS,3771,15,138,2909,0,3
FCX,3771,15,481,1913,0,3
FAST,3771,15,242,3050,0,3
F,3771,15,324,1861,0,3
EXR,3771,15,804,2891,0,3
TYL,3771,15,925,3109,0,3
TXT,3771,15,162,2453,0,3
TXN,3771,15,59,2866,0,3
TTWO,3771,15,894,2902,0,3
TT,3771,15,340,3004,0,3
TSN,3771,15,506,2450,0,3
TSCO,3771,15,748,2973,0,3
TRV,3771,15,21,3258,0,3
TROW,3771,15,129,2441,0,3
TRMB,3771,15,236,2527,0,3
TPR,3771,15,611,2099,0,3
TPL,3771,15,1526,2817,0,3
TMUS,3771,15,688,2968,0,3
GLW,3771,15,246,2311,0,3
GL,3771,15,83,2985,0,3
GIS,3771,15,128,2723,0,3
GILD,3771,15,735,2390,0,3
GEN,3771,15,397,2396,0,3
GE,3771,15,728,2430,0,3
GD,3771,15,132,2645,0,3
FTNT,3771,15,1169,2855,0,3
FSLR,3771,15,786,2154,0,3
FRT,3771,15,19,2406,0,3
HIG,3771,15,138,2789,0,3
HD,3771,15,344,3337,0,3
HBAN,3771,15,26,2491,0,3
HAS,3771,15,185,2568,0,3
HAL,3771,15,511,1848,0,3
GWW,3771,15,478,2850,0,3
GS,3771,15,264,2489,0,3
GRMN,3771,15,553,2843,0,3
GPN,3771,15,495,2529,0,3
GPC,3771,15,154,2725,0,3
GOOGL,3771,15,283,3098,0,3
GOOG,3771,15,289,3092,0,3
IEX,3771,15,43,2779,0,3
IDXX,3771,15,547,3100,0,3
ICE,3771,15,16,3388,0,3
IBM,3771,15,117,2345,0,3
IBKR,3771,15,771,2579,0,3
HUM,3771,15,559,2613,0,3
HUBB,3771,15,229,2999,0,3
HSY,3771,15,287,2685,0,3
HST,3771,15,27,2286,0,3
HSIC,3771,15,1,2633,0,3
HRL,3771,15,196,2587,0,3
HPQ,3771,15,267,2074,0,3
HON,3771,15,0,3166,0,2
TMO,3771,15,114,3045,0,3
TKO,3771,15,1122,2565,0,3
TJX,3771,15,348,3277,0,3
TGT,3771,15,363,2207,0,3
TFC,3771,15,41,2435,0,3
TER,3771,15,622,2797,0,3
TEL,3771,15,57,2885,0,3
TECH,3771,15,168,2579,0,3
TDY,3771,15,231,3122,0,3
TDG,3771,15,828,3421,0,3
TAP,3771,15,227,2129,0,3
T,3771,15,150,2603,0,3
SYY,3771,15,101,2884,0,3
SYK,3771,15,13,3148,0,3
SWKS,3771,15,799,2108,0,3
JBL,3771,15,642,2580,0,3
JBHT,3771,15,6,2715,0,3
J,3771,15,45,2583,0,3
IVZ,3771,15,156,2117,0,3
ITW,3771,15,51,3055,0,3
IT,3771,15,284,3127,0,3
ISRG,3771,15,740,2906,0,3
IRM,3771,15,521,2606,0,3
IP,3771,15,124,2461,0,3
INTU,3771,15,310,3335,0,3
INTC,3771,15,357,2356,0,3
INCY,3771,15,669,2248,0,3
IFF,3771,15,5,2315,0,3
KR,3771,15,526,2819,0,3
KO,3771,15,0,3102,0,2
KMB,3771,15,64,2851,0,3
KLAC,3771,15,618,3352,0,3
KIM,3771,15,125,2446,0,3
KEY,3771,15,199,2319,0,3
KDP,3771,15,403,3095,0,3
JPM,3771,15,27,2845,0,3
JNJ,3771,15,5,3028,0,3
JKHY,3771,15,125,3185,0,3
JCI,3771,15,165,2675,0,3
LVS,3771,15,375,2068,0,3
LUV,3771,15,520,2085,0,3
LULU,3771,15,1144,2512,0,3
LRCX,3771,15,1099,2690,0,3
LOW,3771,15,243,3074,0,3
LNT,3771,15,75,3139,0,3
LMT,3771,15,242,3150,0,3
LLY,3771,15,851,3404,0,3
LIN,3771,15,0,3158,0,2
LII,3771,15,556,3044,0,3
LHX,3771,15,134,2903,0,3
LH,3771,15,0,2822,0,2
LEN,3771,15,492,2559,0,3
LDOS,3771,15,421,2670,0,3
L,3771,15,0,2477,0,2
MKC,3771,15,177,2947,0,3
MGM,3771,15,419,2051,0,3
MET,3771,15,6,2397,0,3
MDT,3771,15,0,2697,0,2
MDLZ,3771,15,12,3044,0,3
MCO,3771,15,338,3249,0,3
MCK,3771,15,444,2946,0,3
MCHP,3771,15,189,2715,0,3
MCD,3771,15,219,3240,0,3
MAS,3771,15,380,2820,0,3
MAR,3771,15,355,2808,0,3
MAA,3771,15,246,2620,0,3
MA,3771,15,409,3401,0,3
LYV,3771,15,624,2719,0,3
MTB,3771,15,102,2549,0,3
MSI,3771,15,287,3318,0,3
MSFT,3771,15,347,3233,0,3
MSCI,3771,15,742,3035,0,3
MS,3771,15,432,2498,0,3
MRVL,3771,15,651,2364,0,3
MRSH,3771,15,12,3465,0,3
MRK,3771,15,296,2702,0,3
MPWR,3771,15,848,3078,0,3
MOS,3771,15,459,1583,0,3
MO,3771,15,207,2875,0,3
MNST,3771,15,695,2811,0,3
MMM,3771,15,158,2408,0,3
MLM,3771,15,215,2627,0,3
NTRS,3771,15,31,2348,0,3
NTAP,3771,15,573,2062,0,3
NSC,3771,15,78,2721,0,3
NRG,3771,15,886,2448,0,3
NOC,3771,15,373,3065,0,3
NKE,3771,15,231,2676,0,3
NI,3771,15,330,3117,0,3
NFLX,3771,15,1848,2836,0,3
NEM,3771,15,428,1883,0,3
NEE,3771,15,54,3249,0,3
NDSN,3771,15,354,2787,0,3
NDAQ,3771,15,117,3191,0,3
