symbol,asset_id,name,exchange,normalized_exchange,asset_class,status,tradable,fractionable,shortable,attributes
A,7595a8d2-68a6-46d7-910c-6b1958491f5c,Agilent Technologies Inc.,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AA,3ca0202f-01f4-41a0-bb0c-c8864e767ebd,Alcoa Corporation,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAAP,32f78e1d-a2ce-4f8e-b03b-5c9f7e341bb4,Pacer Funds Trust Pacer Barings CLO Market Flex ETF,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_tradable
AAC.U,5e821b41-5e6e-4870-86ff-0de4b2a88bdf,"Ares Acquisition Corporation III Units, each consisting of one Class A ordinary share and one-tenth of one redeemable warrant",NYSE,NYSE,us_equity,active,True,False,False,overnight_halted
AACB,94a40e74-7e95-44e1-8c3d-8a9b0d208503,Artius II Acquisition Inc. Class A Ordinary Shares,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACBR,36bf6f81-18e3-4eb6-abba-87341d991f22,Artius II Acquisition Inc. Rights,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACBU,eaa62d1d-4ff8-4df6-8b0a-80387c77f6b3,Artius II Acquisition Inc. Units,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACG,013c1653-577e-4267-8956-3c9d0aa0eca2,ATA Creativity Global American Depositary Shares,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACI,57e8d33e-1cbc-4715-9159-5688cba1ef19,Armada Acquisition Corp. III Class A Ordinary Share,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACIU,163944b9-0e5d-4b60-b058-c6130f290392,Armada Acquisition Corp. III Units,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACIW,1cdc1672-d622-4634-91d1-5db1c9b773ec,Armada Acquisition Corp. III Warrant,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACO,ba73c5ed-0016-45d1-a7c8-62a0381b963b,Abony Acquisition Corp. I Class A Ordinary Share,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACOU,1703e0ab-23e9-4c37-b81b-e45de437b87f,Abony Acquisition Corp. I Units,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACOW,f1c89c4d-6e47-4e9c-9190-83d977406a0e,Abony Acquisition Corp. I Warrants,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACP,7a30d695-761d-48ad-8e84-8e6948468c49,Apogee Acquisition Corp Class A Ordinary Shares,NASDAQ,NASDAQ,us_equity,active,True,True,False,fractional_eh_enabled|overnight_halted
AACPR,f94540b2-8143-41a5-b93f-192f82775edd,Apogee Acquisition Corp Rights,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACPU,1d4b38db-1d49-4f61-9c66-70ce08b79c12,Apogee Acquisition Corp Units,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AACPW,c685fd74-bd17-4620-9619-36dea227f027,Apogee Acquisition Corp Warrant,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AADR,8649a606-050b-42ef-b8ad-8c5060827c29,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_tradable
AADX,c7c1a847-5c4f-4839-a7b2-a945df9bf88e,"Applied Aerospace & Defense, Inc.",NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAEQ,e4e6c618-f764-4ac7-a171-1e5077e65a75,EA Series Trust Alpha Architect US Equity 2 ETF,NASDAQ,NASDAQ,us_equity,active,True,False,True,overnight_tradable
AAL,41b54729-8470-4593-be38-b3a681871f81,American Airlines Group Inc. Common Stock,NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AALG,227be1da-df6d-4fa2-8cb7-a6bb381faa43,Themes ETF Trust Leverage Shares 2X Long AAL Daily ETF,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_tradable
AAME,66120c4a-e8d8-46d9-a044-efb573abbc7a,Atlantic American Corporation Common Stock,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_halted
AAMI,d13ff42b-699a-448a-b744-5bb2d170b9c2,Acadian Asset Management Inc.,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAOI,16a4a26f-e78e-4e9f-8438-b6fe63aa861d,"Applied Optoelectronics, Inc. Common Stock",NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAON,85e18d9a-652b-49f6-87fd-841d571602df,"AAON, Inc. Common Stock",NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAP,8c14dacf-c722-437a-b798-4b00842e7072,ADVANCE AUTO PARTS INC,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAPB,f31a5d3d-c320-465f-a7e5-1e56f698b8de,GraniteShares ETF Trust GraniteShares 2x Long AAPL Daily ETF,NASDAQ,NASDAQ,us_equity,active,True,True,False,fractional_eh_enabled|has_options|overnight_tradable
AAPD,07d175d3-4549-4540-87d0-dbb325789c7e,Direxion Shares ETF Trust Direxion Daily AAPL Bear 1X ETF,NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAPG,5f2f64bf-844c-4b5a-849b-e1b302a9db6d,Ascentage Pharma Group International American Depository Shares,NASDAQ,NASDAQ,us_equity,active,True,True,False,fractional_eh_enabled|overnight_tradable
AAPL,b0b6dd9d-8b9b-48a9-ba46-b9d54906e415,Apple Inc. Common Stock,NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAPU,8bcc1a2e-d6ba-4baa-a984-402e6ac86cf1,Direxion Shares ETF Trust Direxion Daily AAPL Bull 2X ETF,NASDAQ,NASDAQ,us_equity,active,True,True,False,fractional_eh_enabled|has_options|overnight_tradable
AARD,91a4d574-32bc-4b1e-a88f-c5b8ec9e6ca7,"Aardvark Therapeutics, Inc. Common Stock",NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_halted
AAT,f8ec3897-1bc8-4cba-9a68-fd7d85782d02,"AMERICAN ASSETS TRUST, INC.",NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AAUB,eeedb9c6-7626-484f-a99e-d24eeadd2705,EA Series Trust Alpha Architect US Equity 4 ETF,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_tradable
AAUC,33a1e434-1d33-4e0f-989f-ceabbc9592ac,Allied Gold Corporation,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|overnight_tradable
AAUS,9788d43a-1090-4987-b6ab-ab93a781f9d7,EA Series Trust Alpha Architect US Equity ETF,NASDAQ,NASDAQ,us_equity,active,True,True,False,fractional_eh_enabled|overnight_tradable
AAVM,2cc5c0d5-87bc-49e7-a53a-709131f26bfa,EA Series Trust Alpha Architect Global Factor Equity ETF,NASDAQ,NASDAQ,us_equity,active,True,False,False,overnight_tradable
AAXJ,df913064-06d2-40c3-99ad-b91d96465c8b,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,NASDAQ,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
AB,50b58aef-2843-4a52-8a21-60b9f23cf5da,"AllianceBernstein Holding, L.P.",NYSE,NYSE,us_equity,active,True,True,True,ptp_no_exception|fractional_eh_enabled|has_options|overnight_tradable
ABAT,f4c872be-0acf-49c1-b1b1-41255309ce11,American Battery Technology Company Common Stock,NASDAQ,NASDAQ,us_equity,active,True,False,True,has_options|overnight_tradable
ABBV,09a51104-980a-47b6-ad4d-e4f04059be4a,ABBVIE INC.,NYSE,NYSE,us_equity,active,True,True,True,fractional_eh_enabled|has_options|overnight_tradable
