strategy,drawdown_start,trough,recovery_date,max_drawdown,duration_days
CSM-001,2025-10-15,2026-03-30,,-0.5924139984775868,300
CSM-001,2025-02-11,2025-04-08,2025-09-22,-0.45665783438474383,223
CSM-001,2025-01-06,2025-01-27,2025-02-06,-0.14065829201628055,31
CSM-001,2025-02-07,2025-02-07,2025-02-10,-0.025845906333264557,3
CSM-001,2025-09-25,2025-09-25,2025-09-29,-0.025041148946470693,4
CSM-001xTSM-001,2025-10-15,2026-03-30,,-0.5958046809834571,300
CSM-001xTSM-001,2025-02-11,2025-04-08,2025-09-22,-0.45665783438474383,223
CSM-001xTSM-001,2025-01-06,2025-01-27,2025-02-06,-0.14065829201628055,31
CSM-001xTSM-001,2025-02-07,2025-02-07,2025-02-10,-0.025845906333264557,3
CSM-001xTSM-001,2025-09-25,2025-09-25,2025-09-29,-0.02504114894647058,4
