strategy,observations,start,end,total_return,cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,best_month,worst_month,positive_month_pct,rebalance_events,year,strategy_base,year_type
CSM-001_2022,250,2022-01-04,2022-12-30,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2022,CSM-001,PARTIAL_YEAR
CSM-001xTSM-001_2022,250,2022-01-04,2022-12-30,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2022,CSM-001xTSM-001,PARTIAL_YEAR
CSM-001_2023,250,2023-01-03,2023-12-29,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2023,CSM-001,FULL_YEAR
CSM-001xTSM-001_2023,250,2023-01-03,2023-12-29,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2023,CSM-001xTSM-001,FULL_YEAR
CSM-001_2024,252,2024-01-02,2024-12-31,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2024,CSM-001,FULL_YEAR
CSM-001xTSM-001_2024,252,2024-01-02,2024-12-31,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0,2024,CSM-001xTSM-001,FULL_YEAR
CSM-001_2025,250,2025-01-02,2025-12-31,-0.14069217058574424,-0.14149940595318733,0.5748564524955493,0.0185737478321111,0.02670393412250778,-0.45665783438474383,-0.3098587066700165,0.23819695951623765,-0.156506308572132,0.5,0,2025,CSM-001,FULL_YEAR
CSM-001xTSM-001_2025,250,2025-01-02,2025-12-31,-0.14296374052778682,-0.14378289000614464,0.5922175014588651,0.030204189908690723,0.04386708212136423,-0.45665783438474383,-0.31485913342505917,0.23835978548403802,-0.1778499252479646,0.5,0,2025,CSM-001xTSM-001,FULL_YEAR
CSM-001_2026,152,2026-01-02,2026-08-11,0.009445857427300863,0.01565938255146082,0.5368036010173963,0.2972170464176031,0.4814017332423524,-0.34133150304108917,0.045877343321503374,0.21897876879753864,-0.1692092516618815,0.5,0,2026,CSM-001,PARTIAL_YEAR
CSM-001xTSM-001_2026,152,2026-01-02,2026-08-11,0.009445857427300863,0.01565938255146082,0.5368036010173963,0.2972170464176031,0.4814017332423524,-0.34133150304108917,0.045877343321503374,0.21897876879753864,-0.1692092516618815,0.5,0,2026,CSM-001xTSM-001,PARTIAL_YEAR
