symbol,first_available_bar,last_available_bar,bar_count,usable_bar_count,missing_bar_count,zero_or_missing_volume_count,invalid_ohlc_count
AAL,2021-01-04,2026-08-11,1407,1407,0,0,0
AAON,2021-01-04,2026-08-11,1407,1407,0,0,0
AAPL,2021-01-04,2026-08-11,1407,1407,0,0,0
ABCB,2021-01-04,2026-08-11,1407,1407,0,0,0
ABCL,2021-01-04,2026-08-11,1407,1407,0,0,0
ABNB,2021-01-04,2026-08-11,1407,1407,0,0,0
ABUS,2021-01-04,2026-08-11,1407,1407,0,0,0
ACGL,2021-01-04,2026-08-11,1407,1407,0,0,0
ACHC,2021-01-04,2026-08-11,1407,1407,0,0,0
ACIW,2021-01-04,2026-08-11,1407,1407,0,0,0
ACLS,2021-01-04,2026-08-11,1407,1407,0,0,0
ACMR,2021-01-04,2026-08-11,1407,1407,0,0,0
ACRS,2021-01-04,2026-08-11,1407,1407,0,0,0
ADBE,2021-01-04,2026-08-11,1407,1407,0,0,0
ADEA,2021-01-04,2026-08-11,1407,1407,0,0,0
ADI,2021-01-04,2026-08-11,1407,1407,0,0,0
ADMA,2021-01-04,2026-08-11,1407,1407,0,0,0
ADP,2021-01-04,2026-08-11,1407,1407,0,0,0
ADPT,2021-01-04,2026-08-11,1407,1407,0,0,0
ADSK,2021-01-04,2026-08-11,1407,1407,0,0,0
ADTN,2021-01-04,2026-08-11,1407,1407,0,0,0
ADV,2021-01-04,2026-08-11,1407,1407,0,0,0
AEIS,2021-01-04,2026-08-11,1407,1407,0,0,0
AEP,2021-01-04,2026-08-11,1407,1407,0,0,0
AGEN,2021-01-04,2026-08-11,1407,1407,0,0,0
AGIO,2021-01-04,2026-08-11,1407,1407,0,0,0
AGNC,2021-01-04,2026-08-11,1407,1407,0,0,0
AGNT,2021-01-04,2026-08-11,1407,1407,0,0,0
AHCO,2021-01-04,2026-08-11,1407,1407,0,0,0
AKAM,2021-01-04,2026-08-11,1407,1407,0,0,0
AKBA,2021-01-04,2026-08-11,1407,1407,0,0,0
ALDX,2021-01-04,2026-08-11,1407,1407,0,0,0
ALEC,2021-01-04,2026-08-11,1407,1407,0,0,0
ALGM,2021-01-04,2026-08-11,1407,1407,0,0,0
ALGN,2021-01-04,2026-08-11,1407,1407,0,0,0
ALGT,2021-01-04,2026-08-11,1407,1407,0,0,0
ALKS,2021-01-04,2026-08-11,1407,1407,0,0,0
