strategy,drawdown_start,trough,recovery_date,max_drawdown,duration_days
CSM-001,2024-03-28,2025-04-08,2026-01-09,-0.36739036828742977,652
CSM-001,2022-03-30,2022-07-06,2023-08-01,-0.2983243867204929,489
CSM-001,2023-08-02,2023-10-27,2023-12-13,-0.23031382455057225,133
CSM-001,2026-07-01,2026-07-29,,-0.21585569072603694,41
CSM-001,2026-02-26,2026-03-30,2026-04-08,-0.11588483197008292,41
CSM-001xTSM-001,2024-03-28,2025-04-08,2026-01-09,-0.36739036828742977,652
CSM-001xTSM-001,2022-03-30,2022-07-06,2023-08-01,-0.2983243867204929,489
CSM-001xTSM-001,2023-08-02,2023-10-27,2023-12-13,-0.23031382455057225,133
CSM-001xTSM-001,2026-07-01,2026-07-29,,-0.21585569072603694,41
CSM-001xTSM-001,2026-02-26,2026-03-30,2026-04-08,-0.11588483197008292,41
