strategy,observations,start,end,total_return,cagr,annualized_volatility,sharpe,sortino,maximum_drawdown,calmar,best_month,worst_month,positive_month_pct,rebalance_events,year,strategy_base,year_type
CSM-001_2022,250,2022-01-04,2022-12-30,-0.03484021867118037,-0.03533922061222583,0.29585711483375,0.027392284996157902,0.041504805451947284,-0.2983243867204929,-0.1184590405119511,0.1078939412109885,-0.1506947957798993,0.5,0,2022,CSM-001,PARTIAL_YEAR
CSM-001xTSM-001_2022,250,2022-01-04,2022-12-30,-0.03484021867118037,-0.03533922061222583,0.29585711483375,0.027392284996157902,0.041504805451947284,-0.2983243867204929,-0.1184590405119511,0.1078939412109885,-0.1506947957798993,0.5,0,2022,CSM-001xTSM-001,PARTIAL_YEAR
CSM-001_2023,250,2023-01-03,2023-12-29,0.26428175842196966,0.2686128173016531,0.2589730177467121,1.0425915618300285,1.6549728615249073,-0.2303138245505726,1.16629046400413,0.18821423490042943,-0.1211456614536055,0.6666666666666666,0,2023,CSM-001,FULL_YEAR
CSM-001xTSM-001_2023,250,2023-01-03,2023-12-29,0.26428175842196966,0.2686128173016531,0.2589730177467121,1.0425915618300285,1.6549728615249073,-0.2303138245505726,1.16629046400413,0.18821423490042943,-0.1211456614536055,0.6666666666666666,0,2023,CSM-001xTSM-001,FULL_YEAR
CSM-001_2024,252,2024-01-02,2024-12-31,-0.1105991180181215,-0.11095702742433788,0.30569217835506923,-0.23015408407841811,-0.36601306928233746,-0.21204501455679703,-0.5232710972066624,0.07357571843795796,-0.12248744747031459,0.5,0,2024,CSM-001,FULL_YEAR
CSM-001xTSM-001_2024,252,2024-01-02,2024-12-31,-0.1105991180181215,-0.11095702742433788,0.30569217835506923,-0.23015408407841811,-0.36601306928233746,-0.21204501455679703,-0.5232710972066624,0.07357571843795796,-0.12248744747031459,0.5,0,2024,CSM-001xTSM-001,FULL_YEAR
CSM-001_2025,250,2025-01-02,2025-12-31,0.1577266164462936,0.15877807691221535,0.311845456664243,0.6298143905709591,0.8750477312308925,-0.30079429909987765,0.5278626536053254,0.09145857301420324,-0.09997744494781358,0.75,0,2025,CSM-001,FULL_YEAR
CSM-001xTSM-001_2025,250,2025-01-02,2025-12-31,0.1577266164462936,0.15877807691221535,0.311845456664243,0.6298143905709591,0.8750477312308925,-0.30079429909987765,0.5278626536053254,0.09145857301420324,-0.09997744494781358,0.75,0,2025,CSM-001xTSM-001,FULL_YEAR
CSM-001_2026,152,2026-01-02,2026-08-11,0.31202990876862713,0.5664890822530029,0.38472953521938835,1.363562175515978,2.2037310195143736,-0.2158556907260366,2.6243879897148004,0.14763544835433695,-0.14927617969006035,0.75,0,2026,CSM-001,PARTIAL_YEAR
CSM-001xTSM-001_2026,152,2026-01-02,2026-08-11,0.31202990876862713,0.5664890822530029,0.38472953521938835,1.363562175515978,2.2037310195143736,-0.2158556907260366,2.6243879897148004,0.14763544835433695,-0.14927617969006035,0.75,0,2026,CSM-001xTSM-001,PARTIAL_YEAR
