file,sha256
free001_authenticated_access_report.md,3df8529bdf13a57cd400c0696097f05f35307a83d507dc35c66cf4d996fadf6f
free001_candidate_source_inventory.csv,aeca28ac8e219bef6d2119b7983c30e56c33670d9b09193ea6e8ad6d34099be7
free001_corporate_action_assessment.md,95f8fd6e972cf421ee2f48fef18589decbef4e4d3ae60679ce4d2e57eeb88e78
free001_feature_warmup_assessment.md,6cc7b865e56bf545079a406e18e5cbe2a015c87702ae26091ec47b42c8525a6b
free001_final_decision.md,edab2d753e9e9de1c8a60c1f86a96e15170b4ad77fa7abbb70a416c1480d3e7f
free001_free_scope_candidates.csv,fe17b53bdf4c6528610deef07020cb9d47ab4e14bde3cc48e7de124fb9ecae59
free001_identifier_feasibility.md,86b4c27189cb5ca7ac1d0b0600f9f2df998b027d2cab13c51f9937a6c583021a
free001_license_persistence_matrix.csv,2fafbc1cbad88f526b2e16316c7c75077605958d31008ba86ca7339408346849
free001_lifecycle_survivorship_assessment.md,bf61618156b221eb59f952ef05d8bf82a06cfc0c53faad9d4b5029656f943210
free001_manifest.json,f551d4391d330a7d5528e662b270f9ad5bce3ffb7c56fa5d878451bf7bbc9852
free001_market_data_capability.csv,de0d72f20074a77991a6eda1b7e71ad14546f6abcac97444f5b062219ac862a7
free001_pit_revision_assessment.md,d95c4901ed2b8fe4bd40ff84c2cba101d479eb04f54c0b21a3d4488141eb719f
free001_protocol_incidents.md,df9023658a15e5e320bb08f33b69b924ea69e419701a9844e7f1f2e9bc89f381
free001_rate_limit_feasibility.md,44f46971020f7315f12f6536c24bb2f6d573eca863b9bdc0ef3cf1c753b1614b
free001_security_master_capability.csv,db1963ce610392aa3b8c28054702525147a7bd5d6da6e6113164fd2cf7a8df0c
free001_security_type_taxonomy.md,d4f9f1ee06204ecd721857115d96ce581fb7a897b4ea13b45579ad4eaccc5b49
free001_storage_dry_run_report.md,1ebf849e5f93085cefbf9f247e2caa0c459399dcd55a21a8c2b4f2ecc7d7a558
free001_test_artifact_hashes.csv,46d84599c46b868fb69e0cb64374447a2df9b4b2b7a7039f3b6e6d77fe61a5c1
free001_test_artifact_inventory.csv,e84002c78e125189b8f53a3ae236daf5537faefdd8dee01ebc9ba1bee35de628
free001_universe_snapshot_capability.md,064f6db43b3856ccd1e54555b52603a9ea52ee83a7b2639da7504dbd870879f2
free001_unresolved_gaps.md,cb55c2eda80bc8f7e0c655bd0beb781bc331bdbb0e0100af04e56bc547efce6e
free001_zero_cost_source_verification_report.md,484393044a164d0c9564b6d80c7f39be0e9533159227326b55aaf2c820cc45a5
