year,most_frequent_top_decile_industry,top_decile_months,most_frequent_bottom_decile_industry,bottom_decile_months
1927,CHEMS,5,CNSTR,6
1928,AERO,12,WHLSL,10
1929,ELCEQ,10,OTHER,11
1930,LABEQ,11,PERSV,9
1931,DRUGS,12,RLEST,12
1932,SMOKE,9,PAPER,10
1933,AGRIC,10,PERSV,12
1934,CHIPS,11,CNSTR,9
1935,BANKS,10,TOYS,10
1936,CHIPS,11,BOXES,10
1937,PAPER,9,BOOKS,10
1938,DRUGS,9,PERSV,10
1939,TOYS,12,RLEST,11
1940,TOYS,12,FUN,11
1941,COAL,8,CNSTR,9
1942,FUN,12,UTIL,11
1943,BOOKS,12,STEEL,11
1944,PERSV,12,CHEMS,12
1945,BOOKS,12,LABEQ,10
1946,BEER,11,INSUR,9
1947,AGRIC,12,RLEST,11
1948,COAL,12,FUN,11
1949,MEDEQ,12,SHIPS,12
1950,CHIPS,9,FUN,9
1951,OIL,11,SMOKE,12
1952,BANKS,12,MEDEQ,11
1953,RLEST,11,PAPER,10
1954,AERO,9,SMOKE,10
1955,STEEL,12,TELCM,8
1956,COAL,12,AGRIC,11
1957,HARDW,11,PAPER,12
1958,DRUGS,12,MINES,9
1959,TOYS,12,OIL,11
1960,TOYS,12,CNSTR,10
1961,SMOKE,11,ELCEQ,11
1962,AUTOS,10,CHIPS,12
1963,PAPER,12,SMOKE,11
1964,TRANS,10,RLEST,11
1965,AERO,9,TELCM,9
1966,TOYS,10,BANKS,10
1967,COAL,7,TOYS,9
1968,PERSV,12,TRANS,9
1969,RLEST,11,AERO,12
1970,COAL,9,SOFTW,12
1971,COAL,7,OTHER,11
1972,FUN,12,SOFTW,12
1973,GOLD,9,HLTH,12
1974,GOLD,12,RLEST,12
1975,COAL,11,RLEST,9
1976,CLTHS,9,GOLD,11
1977,GUNS,10,BEER,11
1978,HLTH,12,COAL,11
1979,MINES,9,SODA,8
1980,GOLD,12,SODA,12
1981,SOFTW,10,GOLD,6
1982,BEER,9,CNSTR,10
1983,GOLD,9,FUN,10
1984,SMOKE,11,MEDEQ,12
1985,INSUR,9,COAL,9
1986,FOOD,9,HLTH,11
1987,GOLD,9,SHIPS,10
1988,TELCM,8,CLTHS,8
1989,FOOD,10,GOLD,10
1990,BEER,12,RLEST,12
1991,MEDEQ,9,GOLD,11
1992,TOYS,11,COAL,10
1993,CHIPS,11,DRUGS,11
1994,HLTH,10,OTHER,9
1995,SOFTW,12,GOLD,11
1996,AERO,8,FUN,10
1997,SODA,12,GOLD,12
1998,TELCM,10,COAL,10
1999,HARDW,12,HLTH,11
2000,HARDW,11,PERSV,8
2001,SMOKE,12,CHIPS,12
2002,GOLD,12,TELCM,10
2003,GOLD,9,FABPR,9
2004,STEEL,10,GUNS,8
2005,COAL,12,BEER,9
2006,MINES,12,BOOKS,10
2007,MINES,11,CNSTR,12
2008,AGRIC,12,BOOKS,11
2009,BEER,9,FUN,8
2010,FUN,11,AGRIC,11
2011,FABPR,10,BANKS,8
2012,SMOKE,9,COAL,12
2013,TXTLS,12,COAL,12
2014,GUNS,12,GOLD,12
2015,TXTLS,10,COAL,12
2016,GUNS,9,COAL,9
2017,FABPR,8,CLTHS,9
2018,FUN,9,SMOKE,9
2019,HSHLD,9,STEEL,10
2020,CHIPS,12,COAL,12
2021,AUTOS,9,GUNS,11
2022,COAL,12,TOYS,12
2023,CNSTR,10,TOYS,10
2024,CHIPS,11,BEER,8
2025,SMOKE,10,BEER,11
2026,GOLD,5,INSUR,5
