industry_id,industry_name,valid_months,mean_ism_score,std_ism_score,top_decile_months,bottom_decile_months,top_decile_rate,bottom_decile_rate
GOLD,GOLD,743,0.4407344745842479,0.39322117120574224,175,250,0.23553162853297444,0.3364737550471063
COAL,COAL,1187,0.46426263603242235,0.3797236831980902,265,332,0.22325189553496208,0.2796967144060657
SMOKE,SMOKE,1187,0.5321888949930123,0.3294982694239002,234,165,0.1971356360572873,0.13900589721988205
CHIPS,CHIPS,1187,0.5363154761343307,0.3111474945240459,221,139,0.18618365627632688,0.11710193765796124
FUN,FUN,1187,0.5321488405647801,0.33232308237452735,210,178,0.17691659646166807,0.14995787700084245
GUNS,GUNS,743,0.560865020798498,0.3192074602058371,130,86,0.17496635262449528,0.11574697173620457
SODA,SODA,743,0.5273039425635253,0.3259592095565467,130,102,0.17496635262449528,0.13728129205921938
SOFTW,SOFTW,719,0.5176824095720021,0.345889020258115,125,143,0.17385257301808066,0.19888734353268428
HLTH,HLTH,671,0.47609289617486333,0.3460685774844545,115,123,0.17138599105812222,0.18330849478390462
AERO,AERO,1187,0.5559254333327367,0.31210673302512515,202,128,0.17017691659646167,0.10783487784330244
CNSTR,CNSTR,1187,0.4818697465987134,0.3269362851875438,187,191,0.15754001684919966,0.16090985678180286
AUTOS,AUTOS,1187,0.5080175988488285,0.31086207730226567,177,126,0.14911541701769165,0.10614995787700084
OIL,OIL,1187,0.5051532649866789,0.30385671993697483,176,126,0.14827295703454085,0.10614995787700084
HARDW,HARDW,1187,0.549720238982955,0.29394883497670377,167,100,0.14069081718618365,0.08424599831508003
BEER,BEER,1187,0.5212263626446721,0.301018172377791,163,120,0.13732097725358045,0.10109519797809605
TOYS,TOYS,1187,0.45062239341106614,0.3266842553925407,163,224,0.13732097725358045,0.18871103622577928
RLEST,RLEST,1187,0.44630042160901956,0.32982043124980653,162,245,0.13647851727042964,0.2064026958719461
DRUGS,DRUGS,1187,0.5245112890266683,0.29728117684899164,160,102,0.13479359730412804,0.08593091828138164
STEEL,STEEL,1187,0.4652488349272567,0.31247267508215887,157,169,0.13226621735467564,0.14237573715248525
MEDEQ,MEDEQ,1187,0.5331939137771078,0.29621724302997177,150,128,0.12636899747262004,0.10783487784330244
FABPR,FABPR,743,0.46303322737989555,0.32389756308231393,90,130,0.12113055181695828,0.17496635262449528
MINES,MINES,1187,0.4915913211685929,0.3074941338871147,143,163,0.12047177759056445,0.13732097725358045
PERSV,PERSV,1175,0.4688732207239041,0.31780115642552126,136,205,0.11574468085106383,0.17446808510638298
TXTLS,TXTLS,1187,0.4794342320197498,0.31558237043287524,135,180,0.11373209772535804,0.15164279696714406
AGRIC,AGRIC,1187,0.480270455512422,0.30397021788502415,132,144,0.11120471777590564,0.12131423757371525
BANKS,BANKS,1187,0.5246354443202861,0.2961192667631304,128,131,0.10783487784330244,0.11036225779275484
LABEQ,LABEQ,1187,0.5282739853173811,0.28535386591450673,117,88,0.09856781802864364,0.07413647851727043
MEALS,MEALS,1187,0.5237415940153564,0.268913508436255,113,67,0.09519797809604044,0.05644481887110362
TELCM,TELCM,1187,0.4776648923090277,0.2930989392754382,110,133,0.09267059814658804,0.11204717775905644
BOOKS,BOOKS,1187,0.470072161599364,0.299273613885893,109,150,0.09182813816343724,0.12636899747262004
PAPER,PAPER,1151,0.4685797486053569,0.29041102809390534,103,133,0.0894874022589053,0.1155516941789748
SHIPS,SHIPS,1187,0.48407221769904857,0.29530504367236043,105,142,0.08845829823083404,0.11962931760741365
INSUR,INSUR,1187,0.5020398171820771,0.2734804017356123,97,97,0.08171861836562763,0.08171861836562763
BOXES,BOXES,1187,0.5180070967585172,0.26540210592613045,89,63,0.07497893850042123,0.05307497893850042
CLTHS,CLTHS,1187,0.4782516698607637,0.2759119122831325,82,98,0.06908171861836562,0.08256107834877843
FIN,FIN,1187,0.5242531946609925,0.26127831525532874,79,61,0.06655433866891322,0.051390058972198824
FOOD,FOOD,1187,0.4953907006364073,0.25979772507471965,75,63,0.06318449873631002,0.05307497893850042
RUBBR,RUBBR,1117,0.5218906442149721,0.25198676377082585,64,55,0.05729632945389436,0.049239033124440466
OTHER,OTHER,1187,0.4548666197069964,0.2760390894868062,66,137,0.05560235888795282,0.11541701769165964
RTAIL,RTAIL,1187,0.5200910495497938,0.24968303633768188,63,40,0.05307497893850042,0.03369839932603201
TRANS,TRANS,1187,0.4844423502535456,0.2526596950603478,63,60,0.05307497893850042,0.05054759898904802
ELCEQ,ELCEQ,1187,0.5248183234789725,0.24645480227553312,62,42,0.05223251895534962,0.03538331929233361
UTIL,UTIL,1187,0.4945174080804072,0.27926133461902397,62,118,0.05223251895534962,0.09941027801179445
MACH,MACH,1187,0.5178548323901689,0.24026626958003128,59,22,0.04970513900589722,0.018534119629317607
HSHLD,HSHLD,1187,0.485920330587229,0.2527858161881469,45,50,0.037910699241786014,0.04212299915754002
CHEMS,CHEMS,1187,0.49759803306279776,0.2452651578234354,43,65,0.03622577927548441,0.05475989890480202
BUSSV,BUSSV,1187,0.4930957785545835,0.23289245091567357,43,59,0.03622577927548441,0.04970513900589722
WHLSL,WHLSL,1187,0.4878824563067222,0.23409815327148878,25,46,0.02106149957877001,0.038753159224936815
BLDMT,BLDMT,1187,0.5030393523366093,0.19975337025368245,16,4,0.013479359730412805,0.003369839932603201
