year,ism_state,observations,unique_industries,mean_ism_score,mean_formation_return_12_1,median_formation_return_12_1
1927,BOTTOM_DECILE,24,6,0.03846153846153842,-0.24772724583044678,-0.2439097652759509
1927,MIDDLE,192,38,0.5,0.24551752932857918,0.24089238521883216
1927,TOP_DECILE,24,11,0.9615384615384617,0.6139560277416981,0.5862267721517495
1928,BOTTOM_DECILE,54,10,0.04487179487179485,-0.10032012045161451,-0.0903248332392601
1928,MIDDLE,378,39,0.5,0.3196528894076347,0.3194297974585023
1928,TOP_DECILE,54,11,0.9551282051282053,1.0805137842603412,0.7389772163145123
1929,BOTTOM_DECILE,60,12,0.05000000000000001,-0.1983922807100351,-0.15164354975917754
1929,MIDDLE,372,41,0.49999999999999994,0.2551156516692651,0.2552037296709535
1929,TOP_DECILE,60,12,0.9500000000000003,0.8879316966850745,0.7485768650777843
1930,BOTTOM_DECILE,60,13,0.049390243902439006,-0.5511012065634568,-0.5362900958478857
1930,MIDDLE,378,42,0.5,-0.22645526565253377,-0.23573352458192043
1930,TOP_DECILE,60,12,0.9506097560975612,0.10132608646903353,0.09116982395404766
1931,BOTTOM_DECILE,60,12,0.04819976771196281,-0.5744831009713078,-0.5538369727491181
1931,MIDDLE,390,40,0.5,-0.3319172908699084,-0.3365251572786661
1931,TOP_DECILE,60,13,0.9518002322880375,0.07126717335588727,-0.06032642415021755
1932,BOTTOM_DECILE,60,13,0.04761904761904759,-0.6734832971572916,-0.696070565418915
1932,MIDDLE,396,43,0.5,-0.4488532908391475,-0.4888783292840813
1932,TOP_DECILE,60,14,0.9523809523809524,-0.13868304986758875,-0.22528887300186415
1933,BOTTOM_DECILE,60,15,0.0476190476190476,-0.17584170346449826,-0.18465906147253236
1933,MIDDLE,396,42,0.5,0.41633269229224984,0.3014069127262411
1933,TOP_DECILE,60,17,0.9523809523809523,1.3439460588627452,1.1563886187857089
1934,BOTTOM_DECILE,60,16,0.047619047619047596,-0.1396142217460984,-0.21521444153686714
1934,MIDDLE,396,43,0.5,0.3814460332840942,0.15236299130121905
1934,TOP_DECILE,60,15,0.9523809523809524,1.1603175170779194,0.7954351299079888
1935,BOTTOM_DECILE,60,17,0.047619047619047596,-0.22573178342876615,-0.2562487364643692
1935,MIDDLE,396,43,0.5,0.104737888939592,0.1026787753740864
1935,TOP_DECILE,60,16,0.9523809523809526,0.5984191469993306,0.5106784618511797
1936,BOTTOM_DECILE,60,13,0.0476190476190476,0.015442470429882406,0.007017333812819351
1936,MIDDLE,396,43,0.5,0.4582019313689677,0.417190705741617
1936,TOP_DECILE,60,14,0.9523809523809526,1.2538240311870994,1.104774929955111
1937,BOTTOM_DECILE,60,21,0.047619047619047596,-0.13455508823720788,-0.1003098117798819
1937,MIDDLE,396,43,0.5,0.13599756242070873,0.1406490227570359
1937,TOP_DECILE,60,15,0.9523809523809524,0.5983490060575691,0.5536354423317817
1938,BOTTOM_DECILE,60,11,0.047619047619047596,-0.4733149867494416,-0.5562789512032893
1938,MIDDLE,396,43,0.49999999999999994,-0.2560781823412403,-0.3107036476893229
1938,TOP_DECILE,60,13,0.9523809523809524,0.011068946415009717,-0.08468731302945309
1939,BOTTOM_DECILE,60,16,0.047619047619047596,-0.12947272526937315,-0.1404299262974591
1939,MIDDLE,396,42,0.5,0.13340490715193057,0.11647221351848665
1939,TOP_DECILE,60,16,0.9523809523809523,0.5066951563315353,0.43737167959406426
1940,BOTTOM_DECILE,60,13,0.047619047619047596,-0.29541746543149905,-0.31374293263647435
1940,MIDDLE,396,42,0.5,-0.01936981630828136,-0.036923394113657346
1940,TOP_DECILE,60,19,0.9523809523809524,0.2960435433032095,0.21273861328579274
1941,BOTTOM_DECILE,60,13,0.0476190476190476,-0.1872712317990004,-0.20695346143651455
1941,MIDDLE,396,43,0.5,-0.009972395548174223,-0.02177030308991835
1941,TOP_DECILE,60,17,0.9523809523809524,0.21712350301877276,0.24291977726185648
1942,BOTTOM_DECILE,60,13,0.04761904761904759,-0.26088875663310457,-0.2684470813119342
