artifact,sha256,size_bytes
cycle02_code_change_audit.csv,86F5EA5DDC29EF0571D96D8F4CE17B21FDC12D1D1B38C29D83C9012D4D3EE8D2,2396
cycle02_end_to_end_dry_run.json,D7079018BE4A14771A7E917E627DAA3CAD23E79B03EEE028EF670A096FA88C5D,3024
cycle02_final_decision.md,5EB2E0F065110D9CDBC088F5FB145C28A96941DC5A659C5F03271F9C62D527C3,524
cycle02_freshness_results.csv,86800F3EECD6FAA0BC3E3C5046D0A817799592F58F1AC2679D9AF98718F3A785,261
cycle02_manifest.json,42BE0EBF4FCAD57B9F1989CD5FF96C5C6576502699040AE8966560AF4927E110,1007
cycle02_open_limitations.md,D3F87E20133EFC4941D7A4AD53783B3564F575155BF3418001B00D0D85033992,411
cycle02_readiness_result.json,8BC1E518EA0F506B360B44AB63BEB37FFE21B8982B5F0F5CDA3C5897CABF685D,2991
cycle02_remediation_report.md,F91085CBC5F9EC44BEEF8386149F37D3A73F0728992AA0D3F6215CD31B0FEA88,987
cycle02_signal_equivalence_results.csv,D0167E5A16D2DF98D52125A77AF4091D76D040D995801C2FEE0A147AABC625BC,813
cycle02_signal_pipeline_call_graph.md,4315C12D1F36BE6F380ABACA4F3954C5C73AE2E18B37375D4892E0C70C532D9A,1506
cycle02_snapshot_dependency_audit.csv,327234F4ADF250B874E2AB97B1BE1108492F4B60AAE431C6666C2589F7C1B8AD,851
cycle02_test_results.csv,A422ADF5977F35080679B08E06859438A29309B35875FAEB2AD42B88E2AA2B84,644
executive_summary.md,08A464B203761420D5C2893993AE139F5E8AF199A012CFF87913B06F0027791A,645
