timestamp,paper_session_id,severity,component,incident_type,message,action_taken,resolved
2026-08-14T17:43:51.817105+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-14T17:43:51.819137+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-14T17:43:54.937282+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-14T17:43:54.938356+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-14T17:44:27.108241+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,signal_pipeline,FUTURE_BAR,Current signal pipeline failed.,BLOCK,NO
2026-08-14T17:44:27.109650+00:00,PAPER-2026-08-14-DRYRUN,CRITICAL,target_portfolio,FUTURE_BAR,Target portfolio invariant failed.,BLOCK,NO
2026-08-24T23:17:31.415894+00:00,PAPER-2026-08-24-DRYRUN,CRITICAL,signal_pipeline,STALE_DATA,Current signal pipeline failed.,BLOCK,NO
2026-08-24T23:17:31.418433+00:00,PAPER-2026-08-24-DRYRUN,CRITICAL,target_portfolio,STALE_DATA,Target portfolio invariant failed.,BLOCK,NO
2026-08-24T23:17:31.420442+00:00,PAPER-2026-08-24-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-24T23:17:32.622912+00:00,PAPER-2026-08-24-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-24T23:19:30.146560+00:00,PAPER-2026-08-24-DRYRUN,CRITICAL,signal_pipeline,STALE_DATA,Current signal pipeline failed.,BLOCK,NO
2026-08-24T23:19:30.147711+00:00,PAPER-2026-08-24-DRYRUN,CRITICAL,target_portfolio,STALE_DATA,Target portfolio invariant failed.,BLOCK,NO
2026-08-24T23:19:30.150919+00:00,PAPER-2026-08-24-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
2026-08-24T23:19:31.353327+00:00,PAPER-2026-08-24-DRYRUN,MEDIUM,timing,SCHEDULER_FAILURE,session=POST_CLOSE,DRY_RUN_BLOCK,NO
2026-08-25T14:34:50.207779+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,signal_pipeline,STALE_DATA,Current signal pipeline failed.,BLOCK,NO
2026-08-25T14:34:50.208778+00:00,PAPER-2026-08-25-DRYRUN,CRITICAL,target_portfolio,STALE_DATA,Target portfolio invariant failed.,BLOCK,NO
2026-08-25T14:34:50.210751+00:00,PAPER-2026-08-25-DRYRUN,HIGH,freshness,STALE_DATA,Target snapshot failed integrity checks.,BLOCK,NO
