symbol,latest_bar_session,freshness_state,eligibility_state,return_12_1,csm_rank,csm_candidate,tsm001_state,tsm_approved,target_weight
A,2026-08-24,FRESH,ELIGIBLE,0.19237390256498532,0.5483870967741935,False,POSITIVE,True,0.0
AA,2026-08-24,FRESH,ELIGIBLE,0.5078551912568305,0.7661290322580645,False,POSITIVE,True,0.0
AAL,2026-08-24,FRESH,ELIGIBLE,0.15155131264916455,0.5040322580645161,False,POSITIVE,True,0.0
AAMI,2026-08-24,FRESH,ELIGIBLE,0.7188430455125476,0.8387096774193549,False,POSITIVE,True,0.0
AAOI,2026-08-24,FRESH,ELIGIBLE,3.2263513513513518,0.9879032258064516,True,POSITIVE,True,0.04
AAON,2026-08-24,FRESH,ELIGIBLE,0.2714640198511167,0.5967741935483871,False,POSITIVE,True,0.0
AAP,2026-08-24,FRESH,ELIGIBLE,0.023477622890682115,0.39919354838709675,False,POSITIVE,True,0.0
AAPL,2026-08-24,FRESH,ELIGIBLE,0.48507162940152626,0.75,False,POSITIVE,True,0.0
AB,2026-08-24,FRESH,ELIGIBLE,0.0030378348522508425,0.3629032258064516,False,POSITIVE,True,0.0
ABBV,2026-08-24,FRESH,ELIGIBLE,0.275383707201889,0.6008064516129032,False,POSITIVE,True,0.0
ABCB,2026-08-24,FRESH,ELIGIBLE,0.2798889213680209,0.6048387096774194,False,POSITIVE,True,0.0
ABCL,2026-08-24,FRESH,ELIGIBLE,0.23228803716608604,0.5766129032258065,False,POSITIVE,True,0.0
ABEV,2026-08-24,FRESH,ELIGIBLE,0.4638236703402012,0.7379032258064516,False,POSITIVE,True,0.0
ABG,2026-08-24,FRESH,ELIGIBLE,-0.06355685131195332,0.3024193548387097,False,NEGATIVE,False,0.0
ABM,2026-08-24,FRESH,ELIGIBLE,0.023380523380523544,0.3951612903225806,False,POSITIVE,True,0.0
ABNB,2026-08-24,FRESH,ELIGIBLE,0.11553973902728343,0.4637096774193548,False,POSITIVE,True,0.0
ABT,2026-08-24,FRESH,ELIGIBLE,-0.2011930585683298,0.18951612903225806,False,NEGATIVE,False,0.0
ABUS,2026-08-24,FRESH,ELIGIBLE,0.22486033519553073,0.5645161290322581,False,POSITIVE,True,0.0
ACA,2026-08-24,FRESH,ELIGIBLE,0.5256234873197936,0.7741935483870968,False,POSITIVE,True,0.0
ACAD,2026-08-24,FRESH,ELIGIBLE,0.0018152480839048746,0.3588709677419355,False,POSITIVE,True,0.0
ACB,2026-08-24,FRESH,ELIGIBLE,-0.44154488517745305,0.0846774193548387,False,NEGATIVE,False,0.0
ACCO,2026-08-24,FRESH,ELIGIBLE,0.11507936507936511,0.4596774193548387,False,POSITIVE,True,0.0
ACEL,2026-08-24,FRESH,ELIGIBLE,0.0623066725585506,0.41935483870967744,False,POSITIVE,True,0.0
ACGL,2026-08-24,FRESH,ELIGIBLE,0.10525471748543325,0.45161290322580644,False,POSITIVE,True,0.0
ACH,2026-08-24,FRESH,ELIGIBLE,-0.3831041257367387,0.11693548387096774,False,NEGATIVE,False,0.0
ACHC,2026-08-24,FRESH,ELIGIBLE,0.6111630079402148,0.8104838709677419,False,POSITIVE,True,0.0
ACHR,2026-08-24,FRESH,ELIGIBLE,-0.4914712153518125,0.06451612903225806,False,NEGATIVE,False,0.0
ACI,2026-08-24,FRESH,ELIGIBLE,-0.4088471849865951,0.10080645161290322,False,NEGATIVE,False,0.0
ACIW,2026-08-24,FRESH,ELIGIBLE,0.1754257653327762,0.5201612903225806,False,POSITIVE,True,0.0
ACLS,2026-08-24,FRESH,ELIGIBLE,0.7062945973496431,0.8346774193548387,False,POSITIVE,True,0.0
ACM,2026-08-24,FRESH,ELIGIBLE,-0.4113353907748769,0.0967741935483871,False,NEGATIVE,False,0.0
ACMR,2026-08-24,FRESH,ELIGIBLE,2.28950448692938,0.9717741935483871,True,POSITIVE,True,0.04
