artifact,sha256,bytes
rrv001_csm_rank_verification.csv,2859FCF1C9925916F6AC8EC8DA2C7A8A0558E9720EA59B5613D0557913A1EADA,232
rrv001_current_universe_bias_assessment.md,201BC044F5D22E83C24558B11C2EDDC1B00B17267492F9631AF59F1277524BB6,595
rrv001_failure_attribution_report.md,CB4C7E394B24A3800C2359AA11F91355B3D3BB6185FD019A26918F2404395E31,1032
rrv001_failure_reason_counts.csv,6D64FA91492D3935A684AAFA885C9FF8A2B1C0E19FD976C8B00631FE10D9B16C,12031
rrv001_final_decision.md,00ADBCE46A3DF2AB6DCF9B51487E1183BD27D35BC5247CF5CBF23DC5185B8B51,453
rrv001_free_path_feasibility.md,4DE37B2EBC19A456D0CC7B717B44D5D418776B33EDF7E0114F8B797C6A496E46,480
rrv001_history_coverage_analysis.md,99131B6AFC36C131CCD5C69AD52DFC87716D33B51B1C5EDDEDCC8E6B15182C74,352
rrv001_ipo_short_history_analysis.csv,243094788B029531E61E459D2D56992A04279C816574099B5F08EC169AE8E9E0,1703
rrv001_manifest.json,DB344B169716005B5E95EE1495DDD7678E6A3788A7A83546404FD031583895F0,1434
rrv001_minimum_eligible_count_analysis.md,DF0A51C3DB1D2136C52AA4A933B8332DA927D247B7A389319A4587E55FB6EB1D,355
rrv001_open_limitations.md,B3D50A9C67911A79D0471038CD3D62CC728613B0047D86979C139BC372BE2DFA,366
rrv001_pipeline_attribution_matrix.csv,D79A19761EDD560D520E0D62E1B9CD6EBFD0A56080D2B3697340868140CB1409,614
rrv001_portfolio_starvation_analysis.csv,040EBE743C56D2960FAC14D18F7CF408C2F4C3DAA717D11F7A4917283DD436DC,3282
rrv001_price_volume_failure_attribution.csv,8CF2B26F4E971C7CD3D47A45EBF1E12AC11E21A06DB575FCE379B97A6551CD14,221
rrv001_protocol_incidents.md,9C36A4755EB285D360CF3D23A98F694AEEF59FC4A6BF3219F9952F942BA25016,206
rrv001_rebalance_eligibility_attribution.csv,0D1B50159C8C9D2BB8A7E881BAF7B6A89BD74460EE06E4D1EFA574583B4BCFC6,4211
rrv001_rebalance_eligibility_funnel.csv,DB67FAF756C7B62515A9D2B31EC9B199C9E5005633D13FF8BE05612FF579D272,3018
rrv001_security_failure_reasons.csv,517BA6B15D926C4F77D3F6BCA66F1F7DCCA9879FE8E672A6BFCB54CCB5DD8FC2,218462
rrv001_summary.json,945C9AD4CF28AE3AA6A65E086CBF91FD078A0280F549558CB5F134009002D63F,1058
rrv001_symbol_coverage_matrix.csv,3B5CCD80C2DC5D1B27BE3F7E9B7DF27329B2CDC29D6A3EA0FA50C79D9C4A44D9,7622
rrv001_symbol_eligibility_detail.csv,517BA6B15D926C4F77D3F6BCA66F1F7DCCA9879FE8E672A6BFCB54CCB5DD8FC2,218462
rrv001_tsm_gate_attribution.csv,B23EFE607C3861173458540FD5D58DFE16FA1A3E491361A14A863B4662E88770,221
rrv001_universe_construction_audit.md,E4A689C434CB5F7CA0401669E81491DFC729E9807B36D8540B58A5D4F427371D,588
rrv001_universe_eligibility_failure_attribution.md,513CCD275D89A1CC7FED35BD9DA7368A1EE9E6FCD8F024EE7A1FD58EB89712E0,1046
