rebalance_signal_date,eligibility_reason,count
2022-01-31,eligible,42
2022-01-31,missing_or_invalid_current_price,47
2022-01-31,missing_or_invalid_t_minus_21_price,6
2022-01-31,missing_or_invalid_t_minus_252_price,5
2022-02-28,eligible,43
2022-02-28,missing_or_invalid_current_price,47
2022-02-28,missing_or_invalid_t_minus_21_price,1
2022-02-28,missing_or_invalid_t_minus_252_price,9
2022-03-31,eligible,41
2022-03-31,missing_or_invalid_current_price,48
2022-03-31,missing_or_invalid_t_minus_21_price,6
2022-03-31,missing_or_invalid_t_minus_252_price,5
2022-04-29,eligible,43
2022-04-29,missing_or_invalid_current_price,47
2022-04-29,missing_or_invalid_t_minus_21_price,2
2022-04-29,missing_or_invalid_t_minus_252_price,8
2022-05-31,eligible,42
2022-05-31,missing_or_invalid_current_price,50
2022-05-31,missing_or_invalid_t_minus_21_price,1
2022-05-31,missing_or_invalid_t_minus_252_price,7
2022-06-30,eligible,43
2022-06-30,missing_or_invalid_current_price,50
2022-06-30,missing_or_invalid_t_minus_21_price,2
2022-06-30,missing_or_invalid_t_minus_252_price,5
2022-07-29,eligible,46
2022-07-29,missing_or_invalid_current_price,42
2022-07-29,missing_or_invalid_current_volume,5
2022-07-29,missing_or_invalid_t_minus_21_price,4
2022-07-29,missing_or_invalid_t_minus_252_price,3
2022-08-31,eligible,46
2022-08-31,missing_or_invalid_current_price,37
2022-08-31,missing_or_invalid_current_volume,10
2022-08-31,missing_or_invalid_t_minus_21_price,4
2022-08-31,missing_or_invalid_t_minus_252_price,3
2022-09-30,eligible,43
2022-09-30,missing_or_invalid_current_price,37
2022-09-30,missing_or_invalid_current_volume,11
2022-09-30,missing_or_invalid_t_minus_21_price,4
2022-09-30,missing_or_invalid_t_minus_252_price,5
2022-10-31,eligible,46
2022-10-31,missing_or_invalid_current_price,37
2022-10-31,missing_or_invalid_current_volume,12
2022-10-31,missing_or_invalid_t_minus_21_price,1
2022-10-31,missing_or_invalid_t_minus_252_price,4
2022-11-30,eligible,44
2022-11-30,missing_or_invalid_current_price,36
2022-11-30,missing_or_invalid_current_volume,11
2022-11-30,missing_or_invalid_t_minus_21_price,6
2022-11-30,missing_or_invalid_t_minus_252_price,3
2022-12-30,eligible,41
2022-12-30,missing_or_invalid_current_price,36
2022-12-30,missing_or_invalid_current_volume,13
2022-12-30,missing_or_invalid_t_minus_21_price,6
2022-12-30,missing_or_invalid_t_minus_252_price,4
2023-01-31,eligible,46
2023-01-31,missing_or_invalid_current_price,36
2023-01-31,missing_or_invalid_current_volume,8
2023-01-31,missing_or_invalid_t_minus_21_price,6
2023-01-31,missing_or_invalid_t_minus_252_price,4
2023-02-28,eligible,45
2023-02-28,missing_or_invalid_current_price,35
2023-02-28,missing_or_invalid_current_volume,12
2023-02-28,missing_or_invalid_t_minus_21_price,6
2023-02-28,missing_or_invalid_t_minus_252_price,2
2023-03-31,eligible,46
2023-03-31,missing_or_invalid_current_price,35
2023-03-31,missing_or_invalid_current_volume,14
2023-03-31,missing_or_invalid_t_minus_21_price,1
2023-03-31,missing_or_invalid_t_minus_252_price,4
2023-04-28,eligible,45
2023-04-28,missing_or_invalid_current_price,35
2023-04-28,missing_or_invalid_current_volume,13
2023-04-28,missing_or_invalid_t_minus_21_price,2
2023-04-28,missing_or_invalid_t_minus_252_price,5
2023-05-31,eligible,46
2023-05-31,missing_or_invalid_current_price,35
2023-05-31,missing_or_invalid_current_volume,13
2023-05-31,missing_or_invalid_t_minus_21_price,4
2023-05-31,missing_or_invalid_t_minus_252_price,2
2023-06-30,eligible,44
2023-06-30,missing_or_invalid_current_price,35
2023-06-30,missing_or_invalid_current_volume,13
2023-06-30,missing_or_invalid_t_minus_21_price,4
2023-06-30,missing_or_invalid_t_minus_252_price,4
2023-07-31,eligible,47
2023-07-31,missing_or_invalid_current_price,35
2023-07-31,missing_or_invalid_current_volume,11
2023-07-31,missing_or_invalid_t_minus_21_price,5
2023-07-31,missing_or_invalid_t_minus_252_price,2
2023-08-31,eligible,47
2023-08-31,missing_or_invalid_current_price,35
2023-08-31,missing_or_invalid_current_volume,12
2023-08-31,missing_or_invalid_t_minus_21_price,4
