rebalance_signal_date,symbols_with_less_than_252_usable_observations,symbols_with_at_least_252_usable_observations,pct_less_than_252,pct_at_least_252
2022-01-31,57,43,0.57,0.43
2022-02-28,56,44,0.56,0.44
2022-03-31,54,46,0.54,0.46
2022-04-29,54,46,0.54,0.46
2022-05-31,55,45,0.55,0.45
2022-06-30,54,46,0.54,0.46
2022-07-29,51,49,0.51,0.49
2022-08-31,51,49,0.51,0.49
2022-09-30,51,49,0.51,0.49
2022-10-31,49,51,0.49,0.51
2022-11-30,49,51,0.49,0.51
2022-12-30,53,47,0.53,0.47
2023-01-31,50,50,0.5,0.5
2023-02-28,50,50,0.5,0.5
2023-03-31,49,51,0.49,0.51
2023-04-28,50,50,0.5,0.5
2023-05-31,50,50,0.5,0.5
2023-06-30,51,49,0.51,0.49
2023-07-31,47,53,0.47,0.53
2023-08-31,50,50,0.5,0.5
2023-09-29,50,50,0.5,0.5
2023-10-31,46,54,0.46,0.54
2023-11-30,52,48,0.52,0.48
2023-12-29,48,52,0.48,0.52
2024-01-31,52,48,0.52,0.48
2024-02-29,49,51,0.49,0.51
2024-03-28,53,47,0.53,0.47
2024-04-30,50,50,0.5,0.5
2024-05-31,51,49,0.51,0.49
2024-06-28,52,48,0.52,0.48
2024-07-31,46,54,0.46,0.54
2024-08-30,49,51,0.49,0.51
2024-09-30,49,51,0.49,0.51
2024-10-31,46,54,0.46,0.54
2024-11-29,49,51,0.49,0.51
2024-12-31,41,59,0.41,0.59
2025-01-31,45,55,0.45,0.55
2025-02-28,47,53,0.47,0.53
2025-03-31,40,60,0.4,0.6
2025-04-30,49,51,0.49,0.51
2025-05-30,43,57,0.43,0.57
2025-06-30,44,56,0.44,0.56
2025-07-31,43,57,0.43,0.57
2025-08-29,49,51,0.49,0.51
2025-09-30,47,53,0.47,0.53
2025-10-31,46,54,0.46,0.54
2025-11-28,43,57,0.43,0.57
2025-12-31,44,56,0.44,0.56
2026-01-30,44,56,0.44,0.56
2026-02-27,39,61,0.39,0.61
2026-03-31,43,57,0.43,0.57
2026-04-30,41,59,0.41,0.59
2026-05-29,43,57,0.43,0.57
2026-06-30,42,58,0.42,0.58
2026-07-31,42,58,0.42,0.58
2026-08-11,41,59,0.41,0.59
