rebalance_signal_date,csm_candidate_count,csm_tsm_selected_count,final_csm_eligible,threshold_pass,portfolio_holdings_expected_from_approved_candidates,portfolio_construction_mechanics,portfolio_starvation_source
2022-01-31,0,0,42,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-02-28,0,0,43,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-03-31,0,0,41,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-04-29,0,0,43,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-05-31,0,0,42,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-06-30,0,0,43,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-07-29,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-08-31,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-09-30,0,0,43,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-10-31,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-11-30,0,0,44,False,0,PASS,UPSTREAM_ELIGIBILITY
2022-12-30,0,0,41,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-01-31,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-02-28,0,0,45,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-03-31,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-04-28,0,0,45,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-05-31,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-06-30,0,0,44,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-07-31,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-08-31,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-09-29,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-10-31,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-11-30,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2023-12-29,0,0,45,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-01-31,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-02-29,0,0,48,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-03-28,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-04-30,0,0,47,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-05-31,0,0,48,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-06-28,0,0,44,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-07-31,0,0,49,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-08-30,0,0,48,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-09-30,0,0,48,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-10-31,0,0,49,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-11-29,0,0,46,False,0,PASS,UPSTREAM_ELIGIBILITY
2024-12-31,6,6,54,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-01-31,6,6,53,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-02-28,6,6,51,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-03-31,6,6,52,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-04-30,5,5,50,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-05-30,6,6,53,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-06-30,0,0,49,False,0,PASS,UPSTREAM_ELIGIBILITY
2025-07-31,6,5,51,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-08-29,5,5,50,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-09-30,6,5,52,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-10-31,6,6,51,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-11-28,6,5,51,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2025-12-31,6,6,52,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-01-30,6,6,52,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-02-27,6,6,55,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-03-31,6,6,54,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-04-30,6,6,54,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-05-29,5,5,50,True,5,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-06-30,6,6,55,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-07-31,6,6,54,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
2026-08-11,6,6,55,True,6,PASS,NOT_STARVED_OR_TSM_REDUCED
