rebalance_signal_date,total_symbols,current_valid_price,current_valid_volume,valid_t_minus_21,valid_t_minus_252,final_csm_eligible,eligible_threshold,threshold_pass,primary_failure,csm_candidate_count,csm_tsm_selected_count,rejected_by_tsm_pct
2022-01-31,100,53,53,47,43,42,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-02-28,100,52,52,54,44,43,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-03-31,100,52,52,48,46,41,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-04-29,100,52,52,51,46,43,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-05-31,100,49,49,52,45,42,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-06-30,100,48,48,49,46,43,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-07-29,100,58,50,49,49,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-08-31,100,63,51,50,49,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-09-30,100,63,51,51,49,43,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-10-31,100,63,49,51,51,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-11-30,100,64,48,49,51,44,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2022-12-30,100,64,51,48,47,41,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-01-31,100,64,54,52,50,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-02-28,100,65,51,50,50,45,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-03-31,100,65,48,50,51,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-04-28,100,65,50,50,50,45,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-05-31,100,65,49,50,50,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-06-30,100,65,52,49,49,44,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-07-31,100,65,54,50,53,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-08-31,100,65,52,53,50,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-09-29,100,66,49,51,50,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-10-31,100,67,54,51,54,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-11-30,100,66,55,54,48,46,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2023-12-29,100,67,59,51,52,45,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-01-31,100,68,58,59,48,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-02-29,100,68,57,55,51,48,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-03-28,100,68,58,54,47,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-04-30,100,68,52,55,50,47,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-05-31,100,68,54,56,49,48,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
2024-06-28,100,68,54,51,48,44,50,False,INSUFFICIENT_CSM_ELIGIBLE_COUNT,0,0,0.0
