rebalance_signal_date,total_symbols,securities_with_any_data,securities_with_sufficient_lookback,valid_12_1_return_count,price_valid_count,volume_valid_count,final_eligible_count,minimum_required_eligible_count,csm_ranking_activated,csm_candidate_count,tsm_accepted_count,tsm_rejected_count
2022-01-31,100,53,43,42,53,53,42,50,False,0,0,0
2022-02-28,100,52,44,43,52,52,43,50,False,0,0,0
2022-03-31,100,52,46,41,52,52,41,50,False,0,0,0
2022-04-29,100,52,46,43,52,52,43,50,False,0,0,0
2022-05-31,100,49,45,42,49,49,42,50,False,0,0,0
2022-06-30,100,48,46,43,48,48,43,50,False,0,0,0
2022-07-29,100,58,49,46,58,50,46,50,False,0,0,0
2022-08-31,100,63,49,46,63,51,46,50,False,0,0,0
2022-09-30,100,63,49,43,63,51,43,50,False,0,0,0
2022-10-31,100,63,51,46,63,49,46,50,False,0,0,0
2022-11-30,100,64,51,44,64,48,44,50,False,0,0,0
2022-12-30,100,64,47,41,64,51,41,50,False,0,0,0
2023-01-31,100,64,50,46,64,54,46,50,False,0,0,0
2023-02-28,100,65,50,45,65,51,45,50,False,0,0,0
2023-03-31,100,65,51,46,65,48,46,50,False,0,0,0
2023-04-28,100,65,50,45,65,50,45,50,False,0,0,0
2023-05-31,100,65,50,46,65,49,46,50,False,0,0,0
2023-06-30,100,65,49,44,65,52,44,50,False,0,0,0
2023-07-31,100,65,53,47,65,54,47,50,False,0,0,0
2023-08-31,100,65,50,47,65,52,47,50,False,0,0,0
2023-09-29,100,66,50,46,66,49,46,50,False,0,0,0
2023-10-31,100,67,54,47,67,54,47,50,False,0,0,0
2023-11-30,100,66,48,46,66,55,46,50,False,0,0,0
2023-12-29,100,67,52,45,67,59,45,50,False,0,0,0
2024-01-31,100,68,48,47,68,58,47,50,False,0,0,0
2024-02-29,100,68,51,48,68,57,48,50,False,0,0,0
2024-03-28,100,68,47,47,68,58,47,50,False,0,0,0
2024-04-30,100,68,50,47,68,52,47,50,False,0,0,0
2024-05-31,100,68,49,48,68,54,48,50,False,0,0,0
2024-06-28,100,68,48,44,68,54,44,50,False,0,0,0
2024-07-31,100,68,54,49,68,56,49,50,False,0,0,0
2024-08-30,100,68,51,48,68,55,48,50,False,0,0,0
2024-09-30,100,68,51,48,68,56,48,50,False,0,0,0
2024-10-31,100,68,54,49,68,56,49,50,False,0,0,0
2024-11-29,100,68,51,46,68,54,46,50,False,0,0,0
2024-12-31,100,68,59,54,68,55,54,50,True,6,6,0
2025-01-31,100,69,55,53,69,56,53,50,True,6,6,0
2025-02-28,100,72,53,51,72,55,51,50,True,6,6,0
2025-03-31,100,72,60,52,72,60,52,50,True,6,6,0
2025-04-30,100,74,51,50,74,58,50,50,True,5,5,0
2025-05-30,100,74,57,53,74,56,53,50,True,6,6,0
2025-06-30,100,76,56,49,76,61,49,50,False,0,0,0
2025-07-31,100,79,57,51,79,58,51,50,True,6,5,1
2025-08-29,100,80,51,50,80,60,50,50,True,5,5,0
2025-09-30,100,80,53,52,80,57,52,50,True,6,5,1
2025-10-31,100,81,54,51,81,59,51,50,True,6,6,0
2025-11-28,100,82,57,51,82,58,51,50,True,6,5,1
2025-12-31,100,82,56,52,82,59,52,50,True,6,6,0
2026-01-30,100,83,56,52,83,63,52,50,True,6,6,0
2026-02-27,100,85,61,55,85,63,55,50,True,6,6,0
2026-03-31,100,85,57,54,85,66,54,50,True,6,6,0
2026-04-30,100,90,59,54,90,58,54,50,True,6,6,0
2026-05-29,100,93,57,50,93,60,50,50,True,5,5,0
2026-06-30,100,98,58,55,98,69,55,50,True,6,6,0
2026-07-31,100,99,58,54,99,59,54,50,True,6,6,0
2026-08-11,100,100,59,55,100,62,55,50,True,6,6,0
