symbol,first_bar,last_bar,expected_trading_days,observed_bars,coverage_pct,zero_or_missing_volume_count,missing_bar_count,usable_for_csm_start_date,usable_observations
A,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
AA,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
AAAP,2026-08-11,2026-08-11,1407,1,0.0007107320540156361,1406,1406,,1
AAC.U,2021-02-02,2026-08-11,1407,537,0.3816631130063966,1161,870,2022-02-02,246
AACB,2025-04-07,2026-08-11,1407,338,0.24022743425728502,1378,1069,,29
AACBR,2025-06-12,2026-08-11,1407,292,0.20753375977256575,1389,1115,,18
AACBU,2025-02-13,2026-08-11,1407,374,0.2658137882018479,1395,1033,,12
AACG,2021-01-06,2026-08-11,1407,1267,0.900497512437811,748,140,2022-01-05,659
AACI,2021-11-11,2026-08-11,1407,1052,0.7476901208244492,1234,355,2022-11-16,173
AACIU,2021-08-13,2026-08-11,1407,1010,0.7178393745557925,1354,397,2022-09-23,53
AACIW,2021-11-11,2026-08-11,1407,1045,0.7427149964463398,1266,362,2022-12-19,141
AACO,2026-04-14,2026-08-11,1407,83,0.058990760483297794,1405,1324,,2
AACOU,2026-02-19,2026-08-11,1407,120,0.08528784648187633,1396,1287,,11
AACOW,2026-06-29,2026-08-11,1407,31,0.02203269367448472,1403,1376,,4
AACP,2026-05-28,2026-08-11,1407,52,0.03695806680881308,1395,1355,,12
AACPR,2026-05-28,2026-08-11,1407,52,0.03695806680881308,1404,1355,,3
AACPU,2026-04-07,2026-08-11,1407,88,0.06254442075337598,1392,1319,,15
AACPW,2026-06-03,2026-08-11,1407,48,0.03411513859275053,1405,1359,,2
AADR,2021-01-27,2026-08-11,1407,1060,0.7533759772565742,1223,347,2022-03-14,184
AADX,2026-06-03,2026-08-11,1407,48,0.03411513859275053,1359,1359,,48
AAEQ,2025-12-22,2026-08-11,1407,159,0.11300639658848614,1388,1248,,19
AAL,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
AALG,2025-07-23,2026-08-11,1407,265,0.18834399431414356,1309,1142,,98
AAME,2021-01-05,2026-08-11,1407,1227,0.8720682302771855,914,180,2022-01-14,493
AAMI,2021-01-04,2026-08-11,1407,1404,0.997867803837953,3,3,2022-01-03,1404
AAOI,2021-01-04,2026-08-11,1407,1407,1.0,1,0,2022-01-03,1406
AAON,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
AAP,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
AAPB,2022-08-16,2026-08-11,1407,1000,0.7107320540156361,687,407,2023-10-05,720
AAPD,2022-08-10,2026-08-11,1407,1004,0.7135749822316987,507,403,2023-08-11,900
AAPG,2025-01-24,2026-08-11,1407,388,0.2757640369580668,1290,1019,2026-02-10,117
AAPL,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
AAPU,2022-08-10,2026-08-11,1407,1004,0.7135749822316987,512,403,2023-08-15,895
AARD,2025-02-13,2026-08-11,1407,374,0.2658137882018479,1050,1033,2026-02-17,357
AAT,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,3,2,2022-01-03,1404
AAUB,2026-07-29,2026-08-11,1407,10,0.007107320540156361,1402,1397,,5
AAUC,2025-06-10,2026-08-11,1407,294,0.208955223880597,1118,1113,2026-06-11,289
AAUS,2025-08-11,2026-08-11,1407,252,0.1791044776119403,1374,1155,,33
AAVM,2021-01-04,2026-08-11,1407,1172,0.8329779673063256,907,235,2022-01-05,500
AAXJ,2021-01-04,2026-08-11,1407,1406,0.9992892679459844,1,1,2022-01-03,1406
AB,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,3,2,2022-01-03,1404
ABAT,2023-09-21,2026-08-11,1407,724,0.5145700071073206,683,683,2024-09-23,724
ABBV,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ABCB,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ABCL,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ABCS,2024-01-19,2026-08-11,1407,642,0.4562899786780384,1295,765,2025-04-23,112
ABEO,2021-01-04,2026-08-11,1407,1404,0.997867803837953,10,3,2022-01-03,1397
ABEV,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ABG,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,3,2,2022-01-03,1404
ABI,2025-07-25,2026-08-11,1407,263,0.1869225302061123,1403,1144,,4
ABIG,2025-04-09,2026-08-11,1407,336,0.23880597014925373,1337,1071,,70
ABLV,2023-02-09,2026-08-11,1407,878,0.6240227434257285,1104,529,2024-02-22,303
ABLVW,2022-11-22,2026-08-11,1407,916,0.6510305614783227,1376,491,,31
ABM,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ABNB,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
ABOS,2021-07-01,2026-08-11,1407,1282,0.9111584932480455,127,125,2022-07-01,1280
ABR,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ABR.PRD,2021-06-07,2026-08-11,1407,1236,0.8784648187633263,722,171,2022-06-06,685
ABR.PRE,2021-08-17,2026-08-11,1407,1133,0.8052594171997157,999,274,2022-08-17,408
ABR.PRF,2021-10-19,2026-08-11,1407,1152,0.8187633262260128,812,255,2022-10-19,595
ABSI,2021-07-22,2026-08-11,1407,1269,0.9019189765458422,138,138,2022-07-22,1269
ABT,2021-01-04,2026-08-11,1407,1405,0.9985785358919688,2,2,2022-01-03,1405
ABTC,2021-01-04,2026-08-11,1407,1401,0.9957356076759062,74,6,2022-01-03,1333
ABTS,2021-01-05,2026-08-11,1407,1374,0.976545842217484,576,33,2022-01-04,831
ABUS,2021-01-04,2026-08-11,1407,1407,1.0,0,0,2022-01-03,1407
