rebalance_signal_date,symbol,eligibility_reason
2022-01-31,A,eligible
2022-01-31,AA,eligible
2022-01-31,AAAP,missing_or_invalid_current_price
2022-01-31,AAC.U,missing_or_invalid_current_price
2022-01-31,AACB,missing_or_invalid_current_price
2022-01-31,AACBR,missing_or_invalid_current_price
2022-01-31,AACBU,missing_or_invalid_current_price
2022-01-31,AACG,missing_or_invalid_t_minus_252_price
2022-01-31,AACI,missing_or_invalid_current_price
2022-01-31,AACIU,missing_or_invalid_current_price
2022-01-31,AACIW,missing_or_invalid_current_price
2022-01-31,AACO,missing_or_invalid_current_price
2022-01-31,AACOU,missing_or_invalid_current_price
2022-01-31,AACOW,missing_or_invalid_current_price
2022-01-31,AACP,missing_or_invalid_current_price
2022-01-31,AACPR,missing_or_invalid_current_price
2022-01-31,AACPU,missing_or_invalid_current_price
2022-01-31,AACPW,missing_or_invalid_current_price
2022-01-31,AADR,missing_or_invalid_t_minus_21_price
2022-01-31,AADX,missing_or_invalid_current_price
2022-01-31,AAEQ,missing_or_invalid_current_price
2022-01-31,AAL,eligible
2022-01-31,AALG,missing_or_invalid_current_price
2022-01-31,AAME,missing_or_invalid_current_price
2022-01-31,AAMI,eligible
2022-01-31,AAOI,eligible
2022-01-31,AAON,eligible
2022-01-31,AAP,eligible
2022-01-31,AAPB,missing_or_invalid_current_price
2022-01-31,AAPD,missing_or_invalid_current_price
2022-01-31,AAPG,missing_or_invalid_current_price
2022-01-31,AAPL,eligible
2022-01-31,AAPU,missing_or_invalid_current_price
2022-01-31,AARD,missing_or_invalid_current_price
2022-01-31,AAT,eligible
2022-01-31,AAUB,missing_or_invalid_current_price
2022-01-31,AAUC,missing_or_invalid_current_price
2022-01-31,AAUS,missing_or_invalid_current_price
2022-01-31,AAVM,missing_or_invalid_t_minus_252_price
2022-01-31,AAXJ,eligible
2022-01-31,AB,eligible
2022-01-31,ABAT,missing_or_invalid_current_price
2022-01-31,ABBV,eligible
2022-01-31,ABCB,eligible
2022-01-31,ABCL,eligible
2022-01-31,ABCS,missing_or_invalid_current_price
2022-01-31,ABEO,eligible
2022-01-31,ABEV,eligible
2022-01-31,ABG,eligible
2022-01-31,ABI,missing_or_invalid_current_price
2022-01-31,ABIG,missing_or_invalid_current_price
2022-01-31,ABLV,missing_or_invalid_current_price
2022-01-31,ABLVW,missing_or_invalid_current_price
2022-01-31,ABM,eligible
2022-01-31,ABNB,eligible
2022-01-31,ABOS,missing_or_invalid_t_minus_252_price
2022-01-31,ABR,eligible
2022-01-31,ABR.PRD,missing_or_invalid_t_minus_21_price
2022-01-31,ABR.PRE,missing_or_invalid_t_minus_21_price
2022-01-31,ABR.PRF,missing_or_invalid_t_minus_21_price
2022-01-31,ABSI,missing_or_invalid_t_minus_252_price
2022-01-31,ABT,eligible
2022-01-31,ABTC,eligible
2022-01-31,ABTS,eligible
2022-01-31,ABUS,eligible
2022-01-31,ABVC,missing_or_invalid_t_minus_21_price
2022-01-31,ABVX,missing_or_invalid_current_price
2022-01-31,ABX,missing_or_invalid_current_price
2022-01-31,ABXL,missing_or_invalid_current_price
2022-01-31,ACA,eligible
2022-01-31,ACAA,missing_or_invalid_current_price
2022-01-31,ACAAU,missing_or_invalid_current_price
2022-01-31,ACAAW,missing_or_invalid_current_price
2022-01-31,ACAD,eligible
2022-01-31,ACB,eligible
2022-01-31,ACCL,missing_or_invalid_current_price
2022-01-31,ACCO,eligible
2022-01-31,ACCS,eligible
2022-01-31,ACDC,missing_or_invalid_current_price
2022-01-31,ACEL,eligible
2022-01-31,ACEP,missing_or_invalid_current_price
2022-01-31,ACET,eligible
2022-01-31,ACFN,missing_or_invalid_current_price
2022-01-31,ACGC,missing_or_invalid_current_price
2022-01-31,ACGCU,missing_or_invalid_current_price
2022-01-31,ACGCW,missing_or_invalid_current_price
2022-01-31,ACGL,eligible
2022-01-31,ACGLN,missing_or_invalid_t_minus_21_price
2022-01-31,ACGLO,eligible
2022-01-31,ACH,eligible
2022-01-31,ACHC,eligible
2022-01-31,ACHR,eligible
2022-01-31,ACHR.WS,missing_or_invalid_t_minus_252_price
2022-01-31,ACHV,eligible
2022-01-31,ACI,eligible
2022-01-31,ACIC,eligible
2022-01-31,ACIU,eligible
2022-01-31,ACIW,eligible
2022-01-31,ACLO,missing_or_invalid_current_price
2022-01-31,ACLS,eligible
2022-02-28,A,eligible
