artifact,sha256,bytes
rrv002_asset_population_inventory.csv,E6984B06F90C858EBFFFE63BE447FE1AF6A22A1ECDBC6AA2AC9EABF621B6B1DB,3168873
rrv002_candidate_eligibility_by_rebalance.csv,55F7A956459AB303B50EE081471E4ECC8D665C898B9F322D9A40E0DD48CAEA6C,18405
rrv002_candidate_universes.csv,D756EC05478DC00AB2909E675E17486A298E1D3DFCA2D3B96EC33714EC0B0AF4,273488
rrv002_current_universe_bias.md,971496AB119A8E28449DC686BE109342A4055CC7B426AF80B5F529217BFBC7A6,252
rrv002_data_quality_report.md,8DFE7F010A5EC59681D7CE0E3B00B6DC0E067B684D42DBD711C2BFAE29C61BCF,238
rrv002_eligibility_summary.csv,23E9992952A0BC7010131B222BAB32D9B07875CF9DD03F2A82DB6C1AFF11F127,550
rrv002_final_decision.md,D63AD875DE8F58649E39EAAA3F70AE6716124EB7D86823F636BCBAB066C21CB9,1632
rrv002_free_universe_feasibility_report.md,0FA5731E6F482013DE6FD8595FFBD7F9D351B8209AD5FC32FAC68C2FA00A7B4E,696
rrv002_history_coverage.csv,062FABE7A54013183609407BD72C54D4BF70C174178605D27D061AA6DCFD8D6D,603090
rrv002_history_depth_attribution.csv,5CB04E09C116FE17C6B2B6B1344D3CE3DEEC97C53B7C281C710A68AC05FE1AB3,3628
rrv002_manifest.json,F3714888F44A192DEA52A9CF2C44DA7FF46590D6003A89766591D64CF6EDB3F7,1675
rrv002_open_limitations.md,742FE1599FC6407D65A5698EBB395BE396AAE4E60084AA796A615CE4311EB84B,197
rrv002_protocol_incidents.md,B3633100DBF47C737E9AC7335997B787A1B82D5E4B413BE0446E77DD36668ADA,177
rrv002_rate_limit_feasibility.md,57410D78400A69D8C3FE7F2CCC3B40CE6FE720726A66EE81532668F065515336,160
rrv002_security_type_assessment.csv,5947FCEA49792B7809F92FC764D7784FBF8EE9AC744AAC8FE13A3D9498CE19CC,1609544
rrv002_selected_candidate_spec.md,9544B0B8FF43290C254D223D6D33C07F37A14E82DF23128AF56237EE0BFCFDE3,858
rrv002_selected_candidate_universe.csv,BB0886CDDABB93D1B429378732EFCA5D6EB67BA5F29D0B75E46040337ADE918B,8906
