variable_name,required,definition,availability_requirement
security_id,true,"Permanent security identifier or ticker mapping","Must identify tradable security for month"
ticker,true,"Ticker symbol","Must be valid for month"
month,true,"Month-end observation date","Must align security returns and factors"
adjusted_close,true,"Adjusted close used to compute monthly return","Known at month end"
monthly_return,true,"Security total return for month","Calculated from adjusted closes"
rf,true,"Monthly risk-free rate","Public factor dataset for same month"
mkt_rf,true,"Monthly market excess factor","Public factor dataset for same month"
smb,true,"Monthly size factor","Public factor dataset for same month"
hml,true,"Monthly value factor","Public factor dataset for same month"
excess_return,true,"monthly_return - rf","Calculated after month end"
residual_return,true,"OLS residual from FF3 rolling regression","Calculated using trailing data only"
residual_sum_12_1,true,"Sum of residuals from t-12 through t-2","Uses prior residuals only"
residual_vol_36m,true,"Std dev of residuals from t-36 through t-1","Uses prior residuals only"
rsm_score,true,"residual_sum_12_1 / residual_vol_36m","Uses prior residuals only"
rsm_percentile,true,"Cross-sectional percentile rank within valid month","Uses same-month scores only"
rsm_state,true,"TOP_DECILE, BOTTOM_DECILE, MIDDLE or INVALID","Construct output"
