artifact,sha256,path
rsr001_research_scope_revision_report.md,a8989f5326f798ae2ae083bac717b062bbbe75e13056af496cce14ec240d6e6f,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_research_scope_revision_report.md
rsr001_candidate_scope_matrix.csv,bfa2073b61d87191d7e26a7729bc65559f1b849afec646758dc6a507023f9440,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_candidate_scope_matrix.csv
rsr001_actual_data_inventory.csv,8cd25f954e7414981374897c86c4031c5984ed239595cc439d103655d699f7b7,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_actual_data_inventory.csv
rsr001_security_lifecycle_assessment.md,e5e3f184be1f8caa044dd1423515ac264017d37922c0fef5acb755d54321d698,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_security_lifecycle_assessment.md
rsr001_survivorship_assessment.csv,d9ecfde67b1a9278d0f3a491e24c9d6cb81ddb601483f1d601569032588c8139,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_survivorship_assessment.csv
rsr001_point_in_time_assessment.csv,a72217fe9a220b5456376f0b191bb0c7cc202f3d3d5e03d35596583b95df7275,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_point_in_time_assessment.csv
rsr001_identifier_integrity_report.md,f6fcbb31b4bb69e125dff6e4774c3f68ef916e71e2f2b57c3c67418c705ffd0a,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_identifier_integrity_report.md
rsr001_corporate_action_assessment.md,803ce8f5ea92873578aa5203f3b6b12c6a86a243f4cc16eb3aa16456036f2f07,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_corporate_action_assessment.md
rsr001_universe_definition_candidates.md,c45df6b25faea04097911667edb4f5fa5dcb9d570165c0d698c43b769ac21242,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_universe_definition_candidates.md
rsr001_historical_start_date_assessment.md,96d2d4fab4484870ecfd805b96a0a00758f7fe3d4a489553abf475e2d7d54b1c,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_historical_start_date_assessment.md
rsr001_data_lineage.md,2ff5df6e4535517f628651bc20f3a6bfc4f81cd0076545d6c891fd979f5f6111,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_data_lineage.md
rsr001_reproducibility_assessment.md,6d054ce580de0756b715dce2bbf6b6008653a35d0c40482c6aa4b0826fb9221d,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_reproducibility_assessment.md
rsr001_license_operational_assessment.md,4a951b0b1ede8765f2c1773c83c65733cda0b13f75288dbde2271ff0cddf0e09,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_license_operational_assessment.md
rsr001_model_scope_compatibility.md,70dfebde1df721567305e5109b1117a87847949035670994f4029510b87c0ada,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_model_scope_compatibility.md
rsr001_historical_scope_limitations.md,43933f4e2ae6c0f1f1909d9dd07a3305bdf122ccbd1eb58573f7112798b56744,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_historical_scope_limitations.md
rsr001_prospective_capture_plan.md,62fd06f6bfa255f6c420ac9894b65d3896bfcf2f403b14f3d8fd02d86d0f085d,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_prospective_capture_plan.md
rsr001_research_claim_classification.md,42c50abd5be89c64f80775284c9ffe8985447c205b6f84e9b482b35595b5ebd8,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_research_claim_classification.md
rsr001_protocol_incidents.md,0140aa31255a9bf44d5f3bbc44076b1e8aa78a12c689a3f5c8f77a7c165c4871,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_protocol_incidents.md
rsr001_final_decision.md,90942a9cd0c6158650d7253b820165db237cbec5a2979682a132a7be1bb4bc61,research\market_edge_discovery_program\rsr_001_research_scope_revision\rsr001_final_decision.md
