variable,type,definition,availability_requirement
date,date,Instrument observation date,Known at observation time
ticker,string,Instrument identifier,Known before construct calculation
adjusted_close,float,Adjusted close price on date t,Known at close on date t
price_t_minus_21,float,Adjusted close 21 trading days before date t,Historical only
price_t_minus_252,float,Adjusted close 252 trading days before date t,Historical only
tsm_return_12_1,float,price_t_minus_21 / price_t_minus_252 - 1,Uses historical prices only
tsm001_direction_score,int,sign(tsm_return_12_1),Uses historical prices only
tsm001_state,string,POSITIVE / NEGATIVE / NEUTRAL based on tsm_return_12_1,Uses historical prices only
tsm001_positive_state,bool,True when tsm_return_12_1 > 0,Uses historical prices only
tsm001_negative_state,bool,True when tsm_return_12_1 < 0,Uses historical prices only
tsm001_valid_observation,bool,True when instrument-date satisfies eligibility rules,Uses current and historical availability only
