year,tsm001_state,observations,unique_tickers,mean_tsm_return_12_1,median_tsm_return_12_1,mean_abs_tsm_return_12_1,year_observations,state_share
2011,NEGATIVE,22821,335,-0.13036817964502598,-0.0973808899642554,0.13036817964502598,107293,0.21269793928774477
2011,NEUTRAL,19,17,0.0,0.0,0.0,107293,0.00017708517797060386
2011,POSITIVE,84453,427,0.2881337177743701,0.2291844046827904,0.2881337177743701,107293,0.7871249755342846
2012,NEGATIVE,32128,331,-0.14270004557680202,-0.10584588093091675,0.14270004557680202,108773,0.2953674165463856
2012,NEUTRAL,22,17,0.0,0.0,0.0,108773,0.00020225607457733077
2012,POSITIVE,76623,432,0.23918249062248778,0.1896996982356822,0.23918249062248778,108773,0.7044303273790371
2013,NEGATIVE,12285,210,-0.1128121675188343,-0.0750918135262752,0.1128121675188343,111214,0.11046271152912403
2013,NEUTRAL,12,8,0.0,0.0,0.0,111214,0.00010790008452173288
2013,POSITIVE,98917,443,0.3201759493721002,0.2591209427033945,0.3201759493721002,111214,0.8894293883863542
2014,NEGATIVE,12756,250,-0.08759009441485895,-0.0576517011756872,0.08759009441485895,113525,0.1123629156573442
2014,NEUTRAL,9,8,0.0,0.0,0.0,113525,7.927769213829552e-05
2014,POSITIVE,100760,453,0.2796894698800562,0.2228176870190661,0.2796894698800562,113525,0.8875578066505175
2015,NEGATIVE,28175,331,-0.1305796202502709,-0.101025452803995,0.1305796202502709,115201,0.2445725297523459
2015,NEUTRAL,10,9,0.0,0.0,0.0,115201,8.680480204164895e-05
2015,POSITIVE,87016,448,0.22926934375248104,0.18713295403376615,0.22926934375248104,115201,0.7553406654456124
2016,NEGATIVE,45194,422,-0.15076722847994825,-0.11866792396615085,0.15076722847994825,116558,0.38773829338183563
2016,NEUTRAL,11,10,0.0,0.0,0.0,116558,9.43736165685753e-05
2016,POSITIVE,71353,463,0.19378986303974036,0.1578121464427075,0.19378986303974036,116558,0.6121673330015958
2017,NEGATIVE,16546,222,-0.10423089544445026,-0.0826694240386493,0.10423089544445026,117356,0.1409898087869389
2017,NEUTRAL,5,5,0.0,0.0,0.0,117356,4.260540577388459e-05
2017,POSITIVE,100805,470,0.2917024082789549,0.2340458974215544,0.2917024082789549,117356,0.8589675858072873
2018,NEGATIVE,28898,356,-0.11033266901449941,-0.08489020444469325,0.11033266901449941,118781,0.24328806795699648
2018,NEUTRAL,3,3,0.0,0.0,0.0,118781,2.5256564602082826e-05
2018,POSITIVE,89880,467,0.27423541684181124,0.21764850093623495,0.27423541684181124,118781,0.7566866754784014
2019,NEGATIVE,41071,404,-0.15566582416863203,-0.1305608704661685,0.15566582416863203,119819,0.34277535282384264
2019,NEUTRAL,6,6,0.0,0.0,0.0,119819,5.007553059197623e-05
2019,POSITIVE,78742,468,0.23094205433588422,0.19508972364930893,0.23094205433588422,119819,0.6571745716455654
2020,NEGATIVE,49879,452,-0.20485894599555943,-0.1708295203746567,0.20485894599555943,121825,0.40943156166632466
2020,NEUTRAL,5,5,0.0,0.0,0.0,121825,4.104247896572953e-05
2020,POSITIVE,71941,472,0.2888895604930356,0.2154158847133449,0.2888895604930356,121825,0.5905273958547096
2021,NEGATIVE,13255,309,-0.11512915820568217,-0.0885782757364339,0.11512915820568217,122464,0.10823588973085968
2021,NEUTRAL,1,1,0.0,0.0,0.0,122464,8.165665011758557e-06
2021,POSITIVE,109208,489,0.4967211191156,0.38454025628697763,0.4967211191156,122464,0.8917559446041285
2022,NEGATIVE,60096,456,-0.19548146261870988,-0.16422799593341414,0.19548146261870988,123435,0.48686353141329447
2022,NEUTRAL,9,7,0.0,0.0,0.0,123435,7.291286912139993e-05
2022,POSITIVE,63330,477,0.23933065220230373,0.1786129576050978,0.23933065220230373,123435,0.5130635557175841
2023,NEGATIVE,54304,466,-0.15750876431740837,-0.1273041317449733,0.15750876431740837,123497,0.43971918346194644
2023,NEUTRAL,8,6,0.0,0.0,0.0,123497,6.477890151177762e-05
2023,POSITIVE,69185,476,0.2476249362233074,0.170659324094403,0.2476249362233074,123497,0.5602160376365418
2024,NEGATIVE,28477,331,-0.12353067831673466,-0.0974663170336495,0.12353067831673466,124967,0.22787615930605679
2024,NEUTRAL,3,3,0.0,0.0,0.0,124967,2.400633767314571e-05
2024,POSITIVE,96487,489,0.3618003570695464,0.2662050806278675,0.3618003570695464,124967,0.77209983435627
2025,NEGATIVE,44383,408,-0.16274019282491783,-0.1363491876805904,0.16274019282491783,124132,0.3575468050140173
2025,NEUTRAL,4,3,0.0,0.0,0.0,124132,3.222376180195276e-05
2025,POSITIVE,79745,478,0.30681216303732856,0.2106845205467922,0.30681216303732856,124132,0.6424209712241807
