sample,horizon_days,transaction_cost_scenario,scenarios_evaluated,survival_rate,min_net_spread,max_net_spread
oos,21,High,4,1.0,0.03557293297636302,0.035666300104270715
oos,21,Low,4,1.0,0.03561352737980115,0.03570689450770884
oos,21,Medium,4,1.0,0.03560337877894162,0.03569674590684931
oos,21,Stress,4,1.0,0.03552218997206536,0.03561555709997306
oos,63,High,4,1.0,0.18232194359152018,0.18243204977526234
oos,63,Low,4,1.0,0.18236981584532114,0.1824799220290633
oos,63,Medium,4,1.0,0.1823578477818709,0.18246795396561305
oos,63,Stress,4,1.0,0.182262103274269,0.18237220945801116
oos,126,High,4,1.0,0.19440406110924824,0.19448151163789681
oos,126,Low,4,1.0,0.19443773525213892,0.1945151857807875
oos,126,Medium,4,1.0,0.19442931671641625,0.19450676724506483
oos,126,Stress,4,1.0,0.19436196843063488,0.19443941895928346
reference,21,High,4,1.0,0.006359276911285714,0.006570904596819393
reference,21,Low,4,1.0,0.00645128894847427,0.00666291663400795
reference,21,Medium,4,1.0,0.006428285939177131,0.006639913624710811
reference,21,Stress,4,1.0,0.006244261864800018,0.006455889550333698
reference,63,High,4,1.0,0.017886618635422808,0.018099088613837477
reference,63,Low,4,1.0,0.017978996886907447,0.018191466865322112
reference,63,Medium,4,1.0,0.017955902324036287,0.018168372302450955
reference,63,Stress,4,1.0,0.01777114582106701,0.01798361579948168
reference,126,High,4,1.0,0.041057311988807556,0.041270132047317325
reference,126,Low,4,1.0,0.041149842449029195,0.041362662507538964
reference,126,Medium,4,1.0,0.04112670983397378,0.04133952989248355
reference,126,Stress,4,1.0,0.040941648913530505,0.041154468972040274
