sample,horizon_days,workflow,observations,date_count,ticker_count,average_positions_per_date,position_count_feasible
reference,21,CSM_SUBSET_WITHIN_TSM,177562,3750,481,47.349866666666664,True
reference,21,TSM_BROAD_NOT_CSM,1095258,3750,498,292.0688,True
reference,63,CSM_SUBSET_WITHIN_TSM,175462,3708,481,47.31984897518878,True
reference,63,TSM_BROAD_NOT_CSM,1085222,3708,498,292.67044228694715,True
reference,126,CSM_SUBSET_WITHIN_TSM,172312,3645,480,47.27352537722908,True
reference,126,TSM_BROAD_NOT_CSM,1067944,3645,498,292.9887517146776,True
oos,21,CSM_SUBSET_WITHIN_TSM,6250,125,119,50.0,True
oos,21,TSM_BROAD_NOT_CSM,35092,125,434,280.736,True
oos,63,CSM_SUBSET_WITHIN_TSM,4150,83,109,50.0,True
oos,63,TSM_BROAD_NOT_CSM,23622,83,424,284.6024096385542,True
oos,126,CSM_SUBSET_WITHIN_TSM,1000,20,72,50.0,True
oos,126,TSM_BROAD_NOT_CSM,5304,20,335,265.2,True
