sample,horizon_days,workflow,turnover_proxy,rebalance_feasibility
reference,21,CSM_SUBSET_WITHIN_TSM,0.1159176391917305,Feasible
reference,21,TSM_BROAD_NOT_CSM,0.0699116205974523,Feasible
reference,63,CSM_SUBSET_WITHIN_TSM,0.1160240568760868,Feasible
reference,63,TSM_BROAD_NOT_CSM,0.0698349311337679,Feasible
reference,126,CSM_SUBSET_WITHIN_TSM,0.1161748125351397,Feasible
reference,126,TSM_BROAD_NOT_CSM,0.0699095824243205,Feasible
oos,21,CSM_SUBSET_WITHIN_TSM,0.0833203155622689,Feasible
oos,21,TSM_BROAD_NOT_CSM,0.0630231138432046,Feasible
oos,63,CSM_SUBSET_WITHIN_TSM,0.0932605363589906,Feasible
oos,63,TSM_BROAD_NOT_CSM,0.0693244094585212,Feasible
oos,126,CSM_SUBSET_WITHIN_TSM,0.0873019201484649,Feasible
oos,126,TSM_BROAD_NOT_CSM,0.0704648487031227,Feasible
