sample,horizon_days,slippage_scenario,scenarios_evaluated,survival_rate,min_net_spread,max_net_spread
oos,21,High,4,1.0,0.03558308157722255,0.03567441898495834
oos,21,Low,4,1.0,0.03561555709997306,0.03570689450770884
oos,21,Medium,4,1.0,0.03560337877894162,0.035694716186677404
oos,21,Stress,4,1.0,0.03552218997206536,0.03561352737980115
oos,63,High,4,1.0,0.18233391165497043,0.18244162422602253
oos,63,Low,4,1.0,0.18237220945801116,0.1824799220290633
oos,63,Medium,4,1.0,0.1823578477818709,0.182465560352923
oos,63,Stress,4,1.0,0.182262103274269,0.18236981584532114
oos,126,High,4,1.0,0.1944124796449709,0.19448824646647495
oos,126,Low,4,1.0,0.19443941895928346,0.1945151857807875
oos,126,Medium,4,1.0,0.19442931671641625,0.1945050835379203
oos,126,Stress,4,1.0,0.19436196843063488,0.19443773525213892
reference,21,High,4,1.0,0.006382279920582852,0.006589307004257105
reference,21,Low,4,1.0,0.006455889550333698,0.00666291663400795
reference,21,Medium,4,1.0,0.006428285939177131,0.006635313022851383
reference,21,Stress,4,1.0,0.006244261864800018,0.00645128894847427
reference,63,High,4,1.0,0.01790971319829397,0.018117564264134405
reference,63,Low,4,1.0,0.01798361579948168,0.018191466865322112
reference,63,Medium,4,1.0,0.017955902324036287,0.018163753389876722
reference,63,Stress,4,1.0,0.01777114582106701,0.017978996886907447
reference,126,High,4,1.0,0.04108044460386297,0.04128863813936165
reference,126,Low,4,1.0,0.041154468972040274,0.041362662507538964
reference,126,Medium,4,1.0,0.04112670983397378,0.04133490336947247
reference,126,Stress,4,1.0,0.040941648913530505,0.041149842449029195
