sample,account_size,participation_limit,observations,pass_rate_adv20,pass_rate_adv60,median_participation_adv20,median_participation_adv60
oos,100000,0.01,7300,1.0,1.0,1.9575902600847426e-06,2.0740385666732865e-06
oos,100000,0.05,7300,1.0,1.0,1.9575902600847426e-06,2.0740385666732865e-06
oos,1000000,0.01,7300,1.0,1.0,1.957590260084743e-05,2.0740385666732865e-05
oos,1000000,0.05,7300,1.0,1.0,1.957590260084743e-05,2.0740385666732865e-05
oos,10000000,0.01,7300,1.0,1.0,0.00019575902600847429,0.00020740385666732865
oos,10000000,0.05,7300,1.0,1.0,0.00019575902600847429,0.00020740385666732865
reference,100000,0.01,178612,0.9971278525519002,0.9970270754484581,1.0055781158862379e-05,1.017633856626983e-05
reference,100000,0.05,178612,0.9976989228047387,0.997950865563344,1.0055781158862379e-05,1.017633856626983e-05
reference,1000000,0.01,178612,0.9934718831881396,0.9931135645981233,0.00010055781158862377,0.00010176338566269829
reference,1000000,0.05,178612,0.9969654894407991,0.996982285624706,0.00010055781158862377,0.00010176338566269829
reference,10000000,0.01,178612,0.9496954291984862,0.9507647862405662,0.0010055781158862377,0.0010176338566269829
reference,10000000,0.05,178612,0.9905437484603498,0.9907565001231721,0.0010055781158862377,0.0010176338566269829
