ticker,observations,date_count,csm_high_count,tsm_high_count,csm_high_tsm_low_count,workflow_state_count
ZTS,146,146,0,0,0,1
A,146,146,0,119,0,2
AAPL,146,146,0,146,0,1
ABBV,146,146,0,146,0,1
WM,146,146,0,78,0,2
WFC,146,146,0,138,0,2
WELL,146,146,11,146,0,2
WEC,146,146,0,146,0,1
WDC,146,146,146,146,0,1
WDAY,146,146,0,0,0,1
WBD,146,146,146,146,0,1
WAT,146,146,0,51,0,2
WAB,146,146,0,146,0,1
VZ,146,146,0,139,0,2
VTRS,146,146,85,139,0,3
VTR,146,146,0,146,0,1
VST,146,146,0,83,0,2
VRTX,146,146,0,42,0,2
VRT,146,146,127,146,0,2
VRSN,146,146,0,86,0,2
APA,146,146,81,145,0,3
AOS,146,146,0,71,0,2
AON,146,146,0,1,0,2
ANET,146,146,36,146,0,2
AMZN,146,146,0,132,0,2
AMT,146,146,0,10,0,2
AMP,146,146,0,14,0,2
AMGN,146,146,0,146,0,1
AME,146,146,0,146,0,1
AMD,146,146,146,146,0,1
AMCR,146,146,0,14,0,2
AMAT,146,146,136,146,0,2
ALLE,146,146,0,99,0,2
ALL,146,146,0,145,0,2
ALGN,146,146,0,43,0,2
ALB,146,146,136,146,0,2
BA,146,146,0,127,0,2
AZO,146,146,0,56,0,2
AXP,146,146,0,139,0,2
AXON,146,146,0,14,0,2
AWK,146,146,0,38,0,2
AVY,146,146,0,64,0,2
AVGO,146,146,78,146,0,2
AVB,146,146,0,1,0,2
ATO,146,146,0,146,0,1
ARES,146,146,0,3,0,2
ARE,146,146,0,0,0,1
APTV,146,146,0,92,0,2
APP,146,146,50,146,0,2
APO,146,146,0,13,0,2
APH,146,146,89,146,0,2
APD,146,146,0,65,0,2
BR,146,146,0,13,0,2
BNY,146,146,7,146,0,2
BMY,146,146,0,116,0,2
BLK,146,146,0,125,0,2
BLDR,146,146,0,0,0,1
BKR,146,146,28,143,0,3
BKNG,146,146,0,45,0,2
BIIB,146,146,4,146,0,2
BG,146,146,27,146,0,2
BF.B,146,146,0,11,0,2
BEN,146,146,0,146,0,1
BDX,146,146,0,87,0,2
BBY,146,146,0,44,0,2
BAX,146,146,0,0,0,1
BALL,146,146,0,110,0,2
BAC,146,146,0,146,0,1
CDNS,146,146,0,125,0,2
CCL,146,146,0,130,0,2
CCI,146,146,0,30,0,2
CBRE,146,146,0,113,0,2
CBOE,146,146,0,144,0,2
CB,146,146,0,146,0,1
CAT,146,146,142,146,0,2
CASY,146,146,24,146,0,2
CARR,146,146,0,13,0,2
CAH,146,146,59,146,0,2
C,146,146,50,146,0,2
BXP,146,146,0,13,0,2
BX,146,146,0,4,0,2
BSX,146,146,0,7,0,2
BRO,146,146,0,0,0,1
BRK.B,146,146,0,64,0,2
CMI,146,146,120,146,0,2
CMG,146,146,0,0,0,1
CME,146,146,0,126,0,2
CMCSA,146,146,0,6,0,2
CLX,146,146,0,0,0,1
CL,146,146,0,54,0,2
CINF,146,146,0,146,0,1
CIEN,146,146,146,146,0,1
CI,146,146,0,3,0,2
CHTR,146,146,0,0,0,1
CHRW,146,146,144,146,0,2
CHD,146,146,0,39,0,2
CFG,146,146,3,146,0,2
CF,146,146,8,117,0,3
CEG,146,146,4,103,0,3
CDW,146,146,0,0,0,1
CRM,146,146,0,0,0,1
CRL,146,146,0,132,0,2
CRH,146,146,0,146,0,1
CPT,146,146,0,22,0,2
CPRT,146,146,0,0,0,1
CPAY,146,146,0,41,0,2
COST,146,146,0,72,0,2
COR,146,146,3,107,0,3
COP,146,146,0,119,0,2
COO,146,146,0,16,0,2
COIN,146,146,0,23,0,2
COHR,146,146,146,146,0,1
COF,146,146,0,103,0,2
CNP,146,146,0,146,0,1
CNC,146,146,20,39,0,3
CMS,146,146,0,145,0,2
DE,146,146,0,139,0,2
DDOG,146,146,10,119,0,3
DD,146,146,30,146,0,2
DASH,146,146,0,50,0,2
DAL,146,146,6,146,0,2
D,146,146,0,146,0,1
CVX,146,146,0,140,0,2
CVS,146,146,29,146,0,2
CVNA,146,146,58,128,0,3
CTVA,146,146,0,145,0,2
CTSH,146,146,0,32,0,2
CTAS,146,146,0,22,0,2
CSX,146,146,0,146,0,1
CSGP,146,146,0,0,0,1
CSCO,146,146,33,146,0,2
CRWD,146,146,2,117,0,3
DUK,146,146,0,146,0,1
DTE,146,146,0,146,0,1
DRI,146,146,0,90,0,2
DPZ,146,146,0,12,0,2
DOW,146,146,0,83,0,2
DOV,146,146,0,140,0,2
DOC,146,146,0,60,0,2
DLTR,146,146,57,130,0,3
DLR,146,146,0,113,0,2
DIS,146,146,0,76,0,2
DHR,146,146,0,57,0,2
DHI,146,146,0,145,0,2
DGX,146,146,0,146,0,1
DG,146,146,60,124,0,3
DELL,146,146,81,142,0,3
DECK,146,146,0,32,0,2
EOG,146,146,0,94,0,2
EMR,146,146,0,140,0,2
EME,146,146,88,146,0,2
ELV,146,146,0,39,0,2
EL,146,146,25,130,0,3
EIX,146,146,0,136,0,2
EG,146,146,0,45,0,2
EFX,146,146,0,0,0,1
ED,146,146,0,146,0,1
ECL,146,146,0,114,0,2
ECHO,146,146,146,146,0,1
EBAY,146,146,0,146,0,1
EA,146,146,22,146,0,2
DXCM,146,146,0,13,0,2
DVN,146,146,2,142,0,3
DVA,146,146,0,90,0,2
F,146,146,6,146,0,2
EXR,146,146,0,61,0,2
EXPE,146,146,20,146,0,2
EXPD,146,146,0,146,0,1
EXE,146,146,0,73,0,2
EXC,146,146,0,146,0,1
EW,146,146,0,146,0,1
EVRG,146,146,0,146,0,1
ETR,146,146,0,146,0,1
ETN,146,146,0,134,0,2
ESS,146,146,0,25,0,2
ES,146,146,0,146,0,1
ERIE,146,146,0,0,0,1
EQT,146,146,0,115,0,2
EQR,146,146,0,30,0,2
EQIX,146,146,0,100,0,2
FRT,146,146,0,115,0,2
FOXA,146,146,7,133,0,3
FOX,146,146,0,132,0,2
FLEX,146,146,129,146,0,2
FIX,146,146,146,146,0,1
FITB,146,146,0,146,0,1
FISV,146,146,0,0,0,1
FIS,146,146,0,0,0,1
FICO,146,146,0,0,0,1
FFIV,146,146,0,104,0,2
FE,146,146,0,146,0,1
FDX,146,146,51,143,0,3
FDS,146,146,0,0,0,1
FCX,146,146,40,146,0,2
FAST,146,146,0,142,0,2
FANG,146,146,0,112,0,2
GOOG,146,146,145,146,0,2
GNRC,146,146,73,130,0,3
GM,146,146,42,146,0,2
GLW,146,146,146,146,0,1
GL,146,146,0,146,0,1
GIS,146,146,0,0,0,1
GILD,146,146,0,146,0,1
GEV,146,146,144,146,0,2
GEN,146,146,0,18,0,2
GEHC,146,146,0,47,0,2
GE,146,146,34,146,0,2
GDDY,146,146,0,0,0,1
GD,146,146,1,146,0,2
FTV,146,146,0,102,0,2
FTNT,146,146,0,38,0,2
FSLR,146,146,34,145,0,3
HOOD,146,146,68,121,0,3
HON,146,146,0,114,0,2
HLT,146,146,0,146,0,1
HII,146,146,96,146,0,2
HIG,146,146,0,146,0,1
HD,146,146,0,27,0,2
HCA,146,146,21,138,0,3
HBAN,146,146,0,136,0,2
HAS,146,146,32,146,0,2
HAL,146,146,63,142,0,3
GWW,146,146,0,119,0,2
GS,146,146,10,146,0,2
GRMN,146,146,0,102,0,2
GPN,146,146,0,2,0,2
GPC,146,146,0,64,0,2
GOOGL,146,146,145,146,0,2
INCY,146,146,4,146,0,2
IFF,146,146,0,49,0,2
IEX,146,146,0,114,0,2
IDXX,146,146,33,142,0,3
ICE,146,146,0,56,0,2
IBM,146,146,0,92,0,2
IBKR,146,146,9,146,0,2
HWM,146,146,79,146,0,2
HUM,146,146,4,60,0,3
HUBB,146,146,0,145,0,2
HSY,146,146,0,141,0,2
HST,146,146,0,146,0,1
HSIC,146,146,0,129,0,2
HRL,146,146,0,0,0,1
HPQ,146,146,0,17,0,2
HPE,146,146,35,144,0,3
JKHY,146,146,0,45,0,2
JCI,146,146,27,146,0,2
JBL,146,146,91,146,0,2
JBHT,146,146,48,146,0,2
J,146,146,0,97,0,2
IVZ,146,146,115,146,0,2
ITW,146,146,0,126,0,2
IT,146,146,0,0,0,1
ISRG,146,146,0,30,0,2
IRM,146,146,0,115,0,2
IR,146,146,0,67,0,2
IQV,146,146,0,123,0,2
IP,146,146,0,3,0,2
INVH,146,146,0,2,0,2
INTU,146,146,0,30,0,2
INTC,146,146,146,146,0,1
LDOS,146,146,0,96,0,2
L,146,146,0,146,0,1
KVUE,146,146,0,0,0,1
KR,146,146,0,91,0,2
KO,146,146,0,146,0,1
KMI,146,146,0,135,0,2
KMB,146,146,0,0,0,1
KLAC,146,146,146,146,0,1
KKR,146,146,0,1,0,2
KIM,146,146,0,112,0,2
KHC,146,146,0,0,0,1
KEYS,146,146,89,146,0,2
KEY,146,146,0,146,0,1
KDP,146,146,0,3,0,2
JPM,146,146,0,146,0,1
JNJ,146,146,3,146,0,2
LYV,146,146,0,129,0,2
LYB,146,146,0,75,0,2
LVS,146,146,10,141,0,3
LUV,146,146,11,146,0,2
LULU,146,146,0,0,0,1
LRCX,146,146,146,146,0,1
LOW,146,146,0,112,0,2
LNT,146,146,0,146,0,1
LMT,146,146,0,136,0,2
LLY,146,146,0,146,0,1
LITE,146,146,146,146,0,1
LIN,146,146,0,106,0,2
LII,146,146,0,3,0,2
LHX,146,146,33,146,0,2
LH,146,146,0,135,0,2
LEN,146,146,0,13,0,2
MMM,146,146,0,134,0,2
MLM,146,146,0,141,0,2
MKC,146,146,0,0,0,1
MGM,146,146,0,133,0,2
META,146,146,0,80,0,2
MET,146,146,0,56,0,2
MDT,146,146,0,102,0,2
MDLZ,146,146,0,1,0,2
MCO,146,146,0,64,0,2
MCK,146,146,1,146,0,2
MCHP,146,146,0,145,0,2
MCD,146,146,0,86,0,2
MAS,146,146,0,84,0,2
MAR,146,146,0,146,0,1
MAA,146,146,0,0,0,1
MA,146,146,0,41,0,2
MU,146,146,146,146,0,1
MTD,146,146,0,112,0,2
MTB,146,146,0,146,0,1
MSI,146,146,0,65,0,2
MSFT,146,146,0,75,0,2
MSCI,146,146,0,105,0,2
MS,146,146,0,146,0,1
MRVL,146,146,67,101,0,3
MRSH,146,146,0,0,0,1
MRNA,146,146,68,122,0,3
MRK,146,146,0,145,0,2
MPWR,146,146,130,146,0,2
MPC,146,146,18,146,0,2
MOS,146,146,0,52,0,2
MO,146,146,0,146,0,1
MNST,146,146,25,146,0,2
NVDA,146,146,9,146,0,2
NUE,146,146,51,146,0,2
NTRS,146,146,0,146,0,1
NTAP,146,146,0,113,0,2
NSC,146,146,0,146,0,1
NRG,146,146,35,99,0,3
NOW,146,146,0,0,0,1
NOC,146,146,4,138,0,3
NKE,146,146,0,8,0,2
NI,146,146,0,146,0,1
NFLX,146,146,0,26,0,2
NEM,146,146,133,146,0,2
NEE,146,146,0,146,0,1
NDSN,146,146,0,146,0,1
NDAQ,146,146,0,128,0,2
NCLH,146,146,0,62,0,2
PCAR,146,146,0,145,0,2
PAYX,146,146,0,0,0,1
PANW,146,146,2,62,0,3
OXY,146,146,1,101,0,3
OTIS,146,146,0,0,0,1
ORLY,146,146,0,99,0,2
ORCL,146,146,0,102,0,2
ON,146,146,53,131,0,3
OMC,146,146,0,94,0,2
OKE,146,146,0,80,0,2
ODFL,146,146,0,104,0,2
O,146,146,0,146,0,1
NXPI,146,146,0,142,0,2
NWSA,146,146,0,3,0,2
NWS,146,146,0,2,0,2
NVR,146,146,0,36,0,2
PNW,146,146,0,146,0,1
PNR,146,146,0,78,0,2
PNC,146,146,0,146,0,1
PM,146,146,0,117,0,2
PLTR,146,146,46,118,0,3
PLD,146,146,0,146,0,1
PKG,146,146,0,124,0,2
PHM,146,146,0,145,0,2
PH,146,146,0,146,0,1
PGR,146,146,0,0,0,1
PG,146,146,0,9,0,2
PFG,146,146,0,146,0,1
PFE,146,146,0,141,0,2
PEP,146,146,0,134,0,2
PEG,146,146,0,75,0,2
PCG,146,146,0,101,0,2
RJF,146,146,0,112,0,2
