date,state,crd001_hy_oas,crd001_zscore_252d,crd001_percentile_252d
2025-04-07,HIGH_CREDIT_STRESS,4.61,5.25549502356865,1.0
2025-04-08,HIGH_CREDIT_STRESS,4.57,4.870907583614537,0.996031746031746
2025-04-04,HIGH_CREDIT_STRESS,4.45,5.005910940162801,1.0
2025-04-10,HIGH_CREDIT_STRESS,4.42,4.081533172029012,0.988095238095238
2025-04-09,HIGH_CREDIT_STRESS,4.37,4.083089768417925,0.988095238095238
2025-04-11,HIGH_CREDIT_STRESS,4.26,3.5047141145708927,0.98015873015873
2025-04-16,HIGH_CREDIT_STRESS,4.16,3.014384388693973,0.9761904761904762
2025-04-21,HIGH_CREDIT_STRESS,4.16,2.8611457440522803,0.9761904761904762
2025-04-14,HIGH_CREDIT_STRESS,4.14,3.0872714969491524,0.9761904761904762
2025-04-15,HIGH_CREDIT_STRESS,4.09,2.8856285545930778,0.9722222222222222
2025-04-17,HIGH_CREDIT_STRESS,4.02,2.5852660145670643,0.9642857142857144
2025-04-18,HIGH_CREDIT_STRESS,4.02,2.543857089528001,0.9642857142857144
2025-04-03,HIGH_CREDIT_STRESS,4.01,3.640486888048818,1.0
2025-04-22,HIGH_CREDIT_STRESS,3.99,2.376003676248168,0.9484126984126984
2025-04-30,HIGH_CREDIT_STRESS,3.94,2.1269683134061106,0.9444444444444444
