episode_id,start,end,observations,max_vix,mean_vix,mean_spy_realized_vol_20d_ann,min_spy_drawdown_252d,mean_abs_return_1d
1,2008-01-02,2008-02-21,30,31.01,26.412,0.22792881217428418,-0.08197053904915197,0.011061812105663022
2,2008-02-29,2008-03-26,15,32.24,27.690666666666665,0.20732130526608958,-0.11681496951189985,0.01585538571508572
3,2008-07-11,2008-07-15,3,28.54,28.169999999999998,0.17495927351439633,-0.16518316443696512,0.011597711932652244
4,2008-09-15,2008-12-17,67,80.86,56.38134328358209,0.6841906273062862,-0.4794038448823411,0.036192135935501295
5,2009-01-15,2009-01-20,2,56.65,53.825,0.2921011054603992,-0.43677037416299336,0.026570903531881906
6,2009-02-23,2009-03-02,2,52.65,52.635,0.3582042842747652,-0.5064662917303339,0.040410729224695796
7,2010-05-06,2010-06-14,25,45.79,33.601600000000005,0.2936319650938055,-0.133979148033181,0.015871049386564192
8,2010-06-22,2010-07-06,10,34.54,30.252999999999997,0.24692858925084088,-0.16098843283301634,0.010036747872918583
9,2010-08-19,2010-08-30,5,27.46,27.036,0.1661793079615091,-0.13611357469804364,0.011466431401044886
10,2011-03-16,2011-03-17,2,29.4,27.884999999999998,0.17420884769936257,-0.062067929457278015,0.015873891078659386
11,2011-07-27,2011-11-25,70,48.0,34.87728571428572,0.32938489977051066,-0.1942387582881523,0.017509044164261234
12,2012-12-28,2012-12-28,1,22.72,22.72,0.10889565568628902,-0.04896771559956192,0.010808129455241011
13,2013-02-25,2013-02-25,1,18.99,18.99,0.12193136339527914,-0.027732463295269127,0.019026923439736332
14,2013-06-12,2013-06-12,1,18.59,18.59,0.1239383499788719,-0.0324220747042645,0.008277167706902566
15,2013-06-20,2013-06-25,4,20.49,19.4925,0.17009597824910036,-0.06047736269120607,0.01227466196755167
16,2013-08-27,2013-08-30,3,17.01,16.863333333333333,0.10112703017507407,-0.044574409202794985,0.006946001185351751
17,2013-10-03,2013-10-15,6,20.34,18.736666666666665,0.1081690368089463,-0.04374462404346002,0.007511374464303351
18,2013-12-17,2013-12-17,1,16.21,16.21,0.08025240056124226,-0.015159868205780191,0.003180489456178548
19,2014-01-24,2014-02-06,10,21.44,18.214,0.13379383061840092,-0.05696033425414271,0.010222551040325411
20,2014-03-13,2014-03-14,2,17.82,17.02,0.08825282475799363,-0.019122442100123926,0.007010604421726463
21,2014-04-11,2014-04-11,1,17.03,17.03,0.13725249206237675,-0.03901953719531692,0.009008566948476848
22,2014-07-31,2014-08-08,6,17.03,16.608333333333334,0.10883724832138027,-0.03835889932701575,0.00829936282470565
