start_date,end_date,duration_days,max_zscore,max_volatility,mean_volatility,min_drawdown
2011-08-01,2011-11-23,82,5.844355774844912,0.4412716389309363,0.3216266715071375,-0.18605509476865378
2018-01-30,2018-05-07,68,7.550239413872198,0.2452480585574229,0.1879228453853849,-0.10101857784831991
2022-04-29,2022-07-19,55,2.4074307422907206,0.3063967994116909,0.2614634310435902,-0.2300996308449883
2020-02-20,2020-05-04,52,7.6305323506088545,0.9337193549641284,0.600094749956716,-0.3371724134041141
2022-01-24,2022-04-04,50,3.2364768047003194,0.2737121980886954,0.24209944780979023,-0.12865546428446306
2025-03-07,2025-05-14,48,5.438371485344738,0.4603577379844953,0.30912813654215715,-0.18755229425221787
2018-12-03,2019-01-25,36,2.4551055209288437,0.3006241068768261,0.2489845504625213,-0.19348914758134095
2022-10-04,2022-11-17,33,1.8191429475967984,0.3082031951755455,0.2780549087820715,-0.24496400650373296
2015-08-24,2015-10-05,30,5.465472478985117,0.3967738745643094,0.3249365659399029,-0.11910268538900137
2018-10-18,2018-11-28,29,2.189569111674288,0.2395397735280013,0.20985196294804057,-0.09925201036376985
2013-06-11,2013-07-18,27,1.9516058513333463,0.1700628291469782,0.16044142254103202,-0.05550584272028658
2014-10-08,2014-11-12,26,4.218974068675531,0.1896146122296938,0.16851010082244428,-0.07273474738738062
2024-04-12,2024-05-17,26,3.0966034077714446,0.1579703504947274,0.1379466197348721,-0.053539136241458896
2024-07-31,2024-09-03,24,6.070930515316073,0.2447672586938197,0.22123130474496042,-0.08405603274634699
2016-01-15,2016-02-19,24,1.5894121196912965,0.2788588657989638,0.2584106307459111,-0.13022911176866037
2014-12-16,2015-01-16,22,2.736564502459192,0.1942671369389856,0.18084677788119594,-0.04850945898193615
2017-12-01,2017-12-29,20,2.224061340707704,0.0930716199764667,0.08653018987063019,-0.00686740501466343
2021-12-03,2021-12-31,20,1.883692847333376,0.1973486025642809,0.17743128002383185,-0.03472200617113508
2015-01-21,2015-02-18,20,1.6701415569582678,0.1757505334736092,0.158924164347574,-0.0444139612755976
2014-02-03,2014-02-26,17,1.079252341877661,0.1322959007810878,0.12976059783684774,-0.0569601381314121
2011-11-28,2011-12-07,8,0.9996242819201248,0.2948777098504266,0.28537970753485864,-0.11364175002745747
2025-01-13,2025-01-22,7,1.0407436437213704,0.1655764296969717,0.15894552155352853,-0.040248102537625674
2025-01-31,2025-02-07,6,0.9476855824542638,0.1643545491072915,0.15990151245750997,-0.019647438152317953
2019-08-23,2019-08-30,6,0.9310682204725907,0.2031655085615254,0.1995254019658206,-0.05681917889166943
2024-09-19,2024-09-26,6,0.8378842260965645,0.1552163269293832,0.15316866389111153,-0.0022054649913506585
2015-07-10,2015-07-15,4,0.8933224392447285,0.1489829777954932,0.14619893525483807,-0.023470012176641908
2025-01-27,2025-01-29,3,0.9997846638200668,0.1653497710057456,0.16361566070544023,-0.01702332713941046
2016-02-24,2016-02-24,1,0.7363329331724833,0.218676555962186,0.218676555962186,-0.08104661050035133
2015-07-27,2015-07-27,1,0.7097283280791676,0.1446852137453027,0.1446852137453027,-0.027282614225947466
